,BTCUSDT,ETHUSDT,XRPUSDT,DOGEUSDT,SOLUSDT
2023-01-01 00:00:00+00:00,20.0,20.0,20.0,20.0,20.0
2023-01-01 01:00:00+00:00,20.0,20.0,20.0,20.0,20.0
2023-01-01 02:00:00+00:00,20.0,20.0,20.0,20.0,20.0
2023-01-01 03:00:00+00:00,20.0,20.0,20.0,20.0,20.0
2023-01-01 04:00:00+00:00,20.0,20.0,20.0,20.0,20.0
2023-01-01 05:00:00+00:00,20.0,20.0,20.0,20.0,20.0
2023-01-01 06:00:00+00:00,20.0,20.0,20.0,20.0,20.0
2023-01-01 07:00:00+00:00,20.0,20.0,20.0,20.0,20.0
2023-01-01 08:00:00+00:00,20.0,20.0,20.0,20.0,20.0
2023-01-01 09:00:00+00:00,20.0,20.0,20.0,20.0,20.0
2023-01-01 10:00:00+00:00,20.0,20.0,20.0,20.0,20.0
2023-01-01 11:00:00+00:00,20.0,20.0,20.0,20.0,20.0
2023-01-01 12:00:00+00:00,20.0,20.0,20.0,20.0,20.0
2023-01-01 13:00:00+00:00,20.0,20.0,20.0,20.0,20.0
2023-01-01 14:00:00+00:00,20.0,20.0,20.0,20.0,20.0
2023-01-01 15:00:00+00:00,20.0,20.0,20.0,20.0,20.0
2023-01-01 16:00:00+00:00,20.0,20.0,20.0,20.0,20.0
2023-01-01 17:00:00+00:00,20.0,20.0,20.0,20.0,20.0
2023-01-01 18:00:00+00:00,20.0,20.0,20.0,20.0,20.0
2023-01-01 19:00:00+00:00,20.0,20.0,20.0,20.0,20.0
2023-01-01 20:00:00+00:00,20.0,20.0,19.979104747626188,20.0,20.0
2023-01-01 21:00:00+00:00,20.0,20.0,19.981025602002696,20.0,20.0
2023-01-01 22:00:00+00:00,20.0,20.0,20.306250166932728,20.0,19.979104747626188
2023-01-01 23:00:00+00:00,20.0,20.0,20.217845541937578,20.0,20.027467695371776
2023-01-02 00:00:00+00:00,20.0,20.0,20.355089816773724,20.0,20.150899115071766
2023-01-02 01:00:00+00:00,20.0,20.0,20.510732853712433,20.0,20.03986701782219
2023-01-02 02:00:00+00:00,20.0,20.0,20.437800900393512,20.0,19.9677057
2023-01-02 03:00:00+00:00,20.0,20.0,20.369799591477324,20.0,19.9677057
2023-01-02 04:00:00+00:00,20.0,20.0,20.490126208998568,20.0,19.9677057
2023-01-02 05:00:00+00:00,20.0,20.0,20.596310840182067,20.0,19.9677057
2023-01-02 06:00:00+00:00,20.0,20.0,20.596310840182067,20.0,19.9677057
2023-01-02 07:00:00+00:00,20.0,20.0,20.596310840182067,20.0,19.9677057
2023-01-02 08:00:00+00:00,20.0,20.0,20.596310840182067,20.0,19.9677057
2023-01-02 09:00:00+00:00,20.0,20.0,20.596310840182067,20.0,19.9677057
