pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,strategy_name,symbol,timeframe,sig_type,category,tp_display,sl_display,session,has_lowvol,has_breakeven,has_trailing,max_bars,avg_hold_min,pnl_tokyo,trades_tokyo,pnl_london,trades_london,pnl_newyork,trades_newyork
0.6603,43.63,17.53,0.02,-17.36,64.2,1657,15,7,-0.0105,0.8529,momentum_565d63e9,EURJPY,M1,momentum,trend_follow,7p,7p,london,False,False,True,15,1.1,-3.9,369,-13.47,1288,0.0,0
1.1085,46.15,0.79,0.0,0.31,316.2,52,6,6,0.006,1.2933,atr_break_bc18667d,EURJPY,M1,atr_break,breakout,ATR×2.0,ATR×1.5,newyork,True,False,True,15,5.3,0.0,0,0.65,21,-0.33,31
0.7735,52.77,9.46,0.01,-9.16,89.6,1192,9,9,-0.0077,0.6924,bb_bounce_bdb95394,EURJPY,M1,bb_bounce,mean_reversion,7p,15p,newyork,True,True,False,0,1.5,0.0,0,-4.48,410,-4.68,782
0.761,46.38,9.59,0.01,-8.92,82.2,1104,9,9,-0.0081,0.8799,momentum_14eb2ab9,EURJPY,M1,momentum,trend_follow,10p,10p,newyork,True,True,False,15,1.4,0.0,0,-4.16,340,-4.77,764
0.8898,51.67,1.61,0.0,-1.0,78.1,329,5,6,-0.003,0.8322,donchian_break_9452ff3b,EURJPY,M1,donchian_break,breakout,5p,15p,newyork,False,True,False,15,1.3,0.0,0,-0.31,99,-0.69,230
0.7266,47.47,3.09,0.0,-2.48,61.6,297,9,6,-0.0084,0.8038,consecutive_reversal_fbc95605,EURJPY,M1,consecutive_reversal,mean_reversion,5p,5p,london,True,True,True,60,1.0,-0.58,59,-1.9,238,0.0,0
0.7098,46.23,3.06,0.0,-2.48,66.6,292,8,5,-0.0085,0.8255,bb_bounce_9a45141f,EURJPY,M1,bb_bounce,mean_reversion,5p,10p,london,False,True,True,0,1.1,0.5,67,-2.98,225,0.0,0
0.8852,47.88,1.21,0.0,-0.67,65.6,236,5,7,-0.0028,0.9635,donchian_break_583619f4,EURJPY,M1,donchian_break,breakout,5p,10p,newyork,True,False,True,15,1.1,0.0,0,-0.69,73,0.03,163
0.715,47.78,7.81,0.01,-7.49,78.6,835,9,14,-0.009,0.7813,momentum_94c5f56c,EURJPY,M1,momentum,trend_follow,5p,15p,newyork,True,False,True,15,1.3,0.0,0,-3.97,262,-3.51,573
0.3908,25.81,1.74,0.0,-1.64,402.6,31,15,4,-0.0529,1.1235,hilo_break_6b37932e,EURJPY,M1,hilo_break,breakout,ATR×2.0,ATR×1.0,london,True,False,False,15,6.7,-0.78,6,-0.86,25,0.0,0
0.7462,52.52,13.12,0.01,-12.79,341.0,813,11,8,-0.0157,0.6745,bb_bounce_85b5e846,EURJPY,M1,bb_bounce,mean_reversion,ATR×3.0,ATR×1.5,newyork,True,True,False,0,5.7,0.0,0,-8.97,275,-3.82,538
0.7501,47.05,9.87,0.01,-9.24,61.0,1320,8,8,-0.007,0.8443,momentum_3e6f33fe,EURJPY,M1,momentum,trend_follow,5p,5p,newyork,False,True,False,0,1.0,0.0,0,-5.43,432,-3.81,888
