rank,pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,strategy_name,symbol,timeframe
1,inf,100.0,0.0,0.0,0.14,840.0,1,rsi_reversal_03ce1c28,EURJPY,M1
2,inf,100.0,0.0,0.0,0.15,17400.0,1,rsi_reversal_ea79811e,USDJPY,M5
3,inf,100.0,0.0,0.0,0.15,17400.0,1,rsi_reversal_f39ae529,USDJPY,M5
4,inf,100.0,0.0,0.0,0.15,17400.0,1,rsi_reversal_03ce1c28,USDJPY,M5
5,inf,100.0,0.0,0.0,0.14,840.0,1,rsi_reversal_f39ae529,EURJPY,M1
6,inf,100.0,0.0,0.0,0.17,900.0,1,rsi_reversal_ea79811e,EURJPY,M1
7,inf,100.0,0.0,0.0,0.14,840.0,1,rsi_reversal_dc42794d,EURJPY,M1
8,1.1475,33.33,2.76,0.0,0.52,5114.3,21,bb_bounce_a3c33d1f,GBPJPY,M5
9,1.0768,57.14,2.61,0.0,0.41,12578.6,14,rsi_reversal_566ca4f1,GBPJPY,M5
10,0.9883,66.67,0.71,0.0,-0.02,16450.0,6,rsi_reversal_9fec002c,USDJPY,M5
11,0.9645,68.42,1.81,0.0,-0.11,2122.1,19,rsi_reversal_566ca4f1,EURJPY,M1
12,0.9033,60.0,0.91,0.0,-0.15,8580.0,5,rsi_reversal_9fec002c,EURJPY,M5
13,0.7973,50.53,14.19,0.01,-7.72,11027.4,95,rsi_reversal_42c0f48a,GBPJPY,M5
14,0.7603,50.0,1.87,0.0,-0.88,4612.5,16,rsi_reversal_76543b15,EURJPY,M5
15,0.7307,45.45,2.27,0.0,-1.42,5359.1,22,rsi_reversal_f8f5d99f,EURJPY,M5
16,0.7243,52.17,6.78,0.01,-4.09,6873.9,46,rsi_reversal_1e31b4c1,GBPJPY,M5
17,0.7113,55.88,10.33,0.01,-7.15,9088.2,68,rsi_reversal_1361b9e1,GBPJPY,M5
18,0.7113,55.88,10.33,0.01,-7.15,9088.2,68,rsi_reversal_8c7c3c1f,GBPJPY,M5
19,0.7068,55.56,5.18,0.01,-4.39,8033.3,54,rsi_reversal_1e31b4c1,EURJPY,M5
20,0.6923,55.81,6.46,0.01,-4.77,9034.9,43,rsi_reversal_7a08475b,GBPJPY,M5
