strategy,symbol,month,pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio
FXFactory_atr_break_01,EURJPY,2025-01,0.3417,36.84,1.66,0.0,-1.66,219.5,38,5,4,-0.0437,0.5857
FXFactory_atr_break_01,EURJPY,2025-02,0.8658,58.82,0.78,0.0,-0.37,232.9,51,3,5,-0.0072,0.6061
FXFactory_atr_break_01,EURJPY,2025-03,1.4014,57.89,0.74,0.0,1.1,231.6,57,3,6,0.0192,1.0192
FXFactory_atr_break_01,EURJPY,2025-04,inf,100.0,0.0,0.0,0.14,240.0,1,0,1,0.142,0.0
FXFactory_atr_break_01,GBPJPY,2025-01,0.5917,48.33,2.1,0.0,-1.7,254.0,60,7,4,-0.0283,0.6325
FXFactory_atr_break_01,GBPJPY,2025-02,2.0005,62.5,0.52,0.0,1.92,248.8,48,2,9,0.04,1.2003
FXFactory_atr_break_01,GBPJPY,2025-03,1.0203,56.25,1.04,0.0,0.07,240.0,64,4,5,0.0012,0.7935
FXFactory_atr_break_01,GBPJPY,2025-04,1.942,33.33,0.19,0.0,0.28,280.0,3,1,1,0.092,3.884
FXFactory_atr_break_01,USDJPY,2025-01,1.0922,53.33,0.68,0.0,0.14,238.7,45,4,6,0.0032,0.9557
FXFactory_atr_break_01,USDJPY,2025-02,0.5153,39.47,1.23,0.0,-0.89,219.5,38,6,3,-0.0233,0.7901
FXFactory_atr_break_01,USDJPY,2025-03,1.2377,56.86,0.45,0.0,0.4,240.0,51,4,7,0.0078,0.9389
FXFactory_atr_break_01,USDJPY,2025-04,0.8966,50.0,0.06,0.0,-0.01,270.0,2,1,1,-0.003,0.8966
FXFactory_atr_break_02,EURJPY,2025-01,0.3417,36.84,1.66,0.0,-1.66,219.5,38,5,4,-0.0437,0.5857
FXFactory_atr_break_02,EURJPY,2025-02,0.8582,58.82,0.78,0.0,-0.39,235.3,51,3,5,-0.0076,0.6007
FXFactory_atr_break_02,EURJPY,2025-03,1.3868,57.89,0.74,0.0,1.06,234.7,57,3,6,0.0185,1.0085
FXFactory_atr_break_02,EURJPY,2025-04,inf,100.0,0.0,0.0,0.14,240.0,1,0,1,0.142,0.0
FXFactory_atr_break_02,GBPJPY,2025-01,0.5917,48.33,2.1,0.0,-1.7,254.0,60,7,4,-0.0283,0.6325
FXFactory_atr_break_02,GBPJPY,2025-02,2.0005,62.5,0.52,0.0,1.92,248.8,48,2,9,0.04,1.2003
FXFactory_atr_break_02,GBPJPY,2025-03,1.0203,56.25,1.04,0.0,0.07,240.0,64,4,5,0.0012,0.7935
FXFactory_atr_break_02,GBPJPY,2025-04,2.6416,33.33,0.19,0.0,0.48,360.0,3,1,1,0.1603,5.2833
FXFactory_atr_break_02,USDJPY,2025-01,1.2253,53.33,0.68,0.0,0.35,256.0,45,4,6,0.0077,1.0722
FXFactory_atr_break_02,USDJPY,2025-02,0.5153,39.47,1.23,0.0,-0.89,219.5,38,6,3,-0.0233,0.7901
FXFactory_atr_break_02,USDJPY,2025-03,1.2377,56.86,0.45,0.0,0.4,240.0,51,4,7,0.0078,0.9389
FXFactory_atr_break_02,USDJPY,2025-04,0.8966,50.0,0.06,0.0,-0.01,270.0,2,1,1,-0.003,0.8966
FXFactory_hilo_break_03,EURJPY,2025-01,0.9047,19.88,5.11,0.01,-2.27,1841.6,166,15,3,-0.0137,3.6462
FXFactory_hilo_break_03,EURJPY,2025-02,0.6689,18.06,9.38,0.01,-7.39,1885.2,155,21,2,-0.0477,3.034
FXFactory_hilo_break_03,EURJPY,2025-03,0.9563,20.22,5.04,0.01,-1.1,1721.6,183,17,4,-0.006,3.7734
FXFactory_hilo_break_03,EURJPY,2025-04,1.9569,33.33,0.37,0.0,0.35,2920.0,3,2,1,0.1183,3.9137
FXFactory_hilo_break_03,GBPJPY,2025-01,0.8808,18.95,4.96,0.0,-3.68,1538.8,190,16,2,-0.0194,3.768
FXFactory_hilo_break_03,GBPJPY,2025-02,1.0132,20.65,9.07,0.01,0.38,1765.4,184,17,3,0.0021,3.8927
FXFactory_hilo_break_03,GBPJPY,2025-03,1.3606,27.59,2.78,0.0,8.89,2135.2,174,9,3,0.0511,3.5717
FXFactory_hilo_break_03,GBPJPY,2025-04,1.8218,28.57,0.76,0.0,0.71,762.9,7,4,2,0.1014,4.5544
FXFactory_hilo_break_03,USDJPY,2025-01,1.0458,23.26,3.06,0.0,0.88,2013.5,172,16,3,0.0051,3.451
FXFactory_hilo_break_03,USDJPY,2025-02,0.7002,16.87,7.78,0.01,-6.08,1526.4,166,18,3,-0.0366,3.4509
FXFactory_hilo_break_03,USDJPY,2025-03,0.8183,19.89,5.49,0.01,-4.07,1891.9,186,14,3,-0.0219,3.2954
FXFactory_hilo_break_03,USDJPY,2025-04,0.1066,25.0,0.42,0.0,-0.38,2340.0,4,3,1,-0.0943,0.3199
FXFactory_hilo_break_04,EURJPY,2025-01,0.9565,42.86,1.37,0.0,-0.29,263.0,133,10,4,-0.0022,1.2754
FXFactory_hilo_break_04,EURJPY,2025-02,0.9025,47.4,1.67,0.0,-0.73,249.0,154,6,6,-0.0047,1.0014
FXFactory_hilo_break_04,EURJPY,2025-03,0.8234,45.52,1.76,0.0,-1.28,281.6,134,8,4,-0.0096,0.9854
FXFactory_hilo_break_04,EURJPY,2025-04,0.0,0.0,0.16,0.0,-0.16,150.0,2,2,0,-0.079,0.0
FXFactory_hilo_break_04,GBPJPY,2025-01,0.9198,47.45,3.28,0.0,-0.62,226.4,137,7,6,-0.0045,1.0188
FXFactory_hilo_break_04,GBPJPY,2025-02,0.6636,44.44,3.39,0.0,-2.44,221.9,126,8,5,-0.0194,0.8295
FXFactory_hilo_break_04,GBPJPY,2025-03,1.1356,51.92,1.37,0.0,1.13,239.6,156,5,8,0.0072,1.0515
FXFactory_hilo_break_04,GBPJPY,2025-04,0.6015,57.14,0.42,0.0,-0.21,171.4,7,2,2,-0.0306,0.4511
FXFactory_hilo_break_04,USDJPY,2025-01,0.9984,45.83,0.97,0.0,-0.01,268.5,120,7,5,-0.0001,1.1799
FXFactory_hilo_break_04,USDJPY,2025-02,0.8458,43.48,1.3,0.0,-0.8,253.6,115,6,4,-0.0069,1.0996
FXFactory_hilo_break_04,USDJPY,2025-03,0.7454,40.74,1.89,0.0,-1.69,243.6,135,8,5,-0.0125,1.0842
FXFactory_hilo_break_04,USDJPY,2025-04,0.4565,40.0,0.37,0.0,-0.2,288.0,5,3,2,-0.04,0.6848
FXFactory_atr_break_05,EURJPY,2025-01,0.91,37.82,2.31,0.0,-1.36,579.2,193,10,5,-0.007,1.496
FXFactory_atr_break_05,EURJPY,2025-02,0.7643,33.33,4.0,0.0,-3.42,527.2,174,12,4,-0.0197,1.5287
