strategy,symbol,is_period,oos_period,is_pf,oos_pf,oos_trades,oos_pnl
FXFactory_atr_break_01,EURJPY,2025-01,2025-02,0.3417,0.8658,51,-0.37
FXFactory_atr_break_01,EURJPY,2025-02,2025-03,0.8658,1.4014,57,1.1
FXFactory_atr_break_01,EURJPY,2025-03,2025-04,1.4014,0.0,1,0.14
FXFactory_atr_break_01,GBPJPY,2025-01,2025-02,0.5917,2.0005,48,1.92
FXFactory_atr_break_01,GBPJPY,2025-02,2025-03,2.0005,1.0203,64,0.07
FXFactory_atr_break_01,GBPJPY,2025-03,2025-04,1.0203,1.942,3,0.28
FXFactory_atr_break_01,USDJPY,2025-01,2025-02,1.0922,0.5153,38,-0.89
FXFactory_atr_break_01,USDJPY,2025-02,2025-03,0.5153,1.2377,51,0.4
FXFactory_atr_break_01,USDJPY,2025-03,2025-04,1.2377,0.8966,2,-0.01
FXFactory_atr_break_02,EURJPY,2025-01,2025-02,0.3417,0.8582,51,-0.39
FXFactory_atr_break_02,EURJPY,2025-02,2025-03,0.8582,1.3868,57,1.06
FXFactory_atr_break_02,EURJPY,2025-03,2025-04,1.3868,0.0,1,0.14
FXFactory_atr_break_02,GBPJPY,2025-01,2025-02,0.5917,2.0005,48,1.92
FXFactory_atr_break_02,GBPJPY,2025-02,2025-03,2.0005,1.0203,64,0.07
FXFactory_atr_break_02,GBPJPY,2025-03,2025-04,1.0203,2.6416,3,0.48
FXFactory_atr_break_02,USDJPY,2025-01,2025-02,1.2253,0.5153,38,-0.89
FXFactory_atr_break_02,USDJPY,2025-02,2025-03,0.5153,1.2377,51,0.4
FXFactory_atr_break_02,USDJPY,2025-03,2025-04,1.2377,0.8966,2,-0.01
FXFactory_hilo_break_03,EURJPY,2025-01,2025-02,0.9047,0.6689,155,-7.39
FXFactory_hilo_break_03,EURJPY,2025-02,2025-03,0.6689,0.9563,183,-1.1
FXFactory_hilo_break_03,EURJPY,2025-03,2025-04,0.9563,1.9569,3,0.35
FXFactory_hilo_break_03,GBPJPY,2025-01,2025-02,0.8808,1.0132,184,0.38
FXFactory_hilo_break_03,GBPJPY,2025-02,2025-03,1.0132,1.3606,174,8.89
FXFactory_hilo_break_03,GBPJPY,2025-03,2025-04,1.3606,1.8218,7,0.71
FXFactory_hilo_break_03,USDJPY,2025-01,2025-02,1.0458,0.7002,166,-6.08
FXFactory_hilo_break_03,USDJPY,2025-02,2025-03,0.7002,0.8183,186,-4.07
FXFactory_hilo_break_03,USDJPY,2025-03,2025-04,0.8183,0.1066,4,-0.38
FXFactory_hilo_break_04,EURJPY,2025-01,2025-02,0.9565,0.9025,154,-0.73
FXFactory_hilo_break_04,EURJPY,2025-02,2025-03,0.9025,0.8234,134,-1.28
FXFactory_hilo_break_04,EURJPY,2025-03,2025-04,0.8234,0.0,2,-0.16
FXFactory_hilo_break_04,GBPJPY,2025-01,2025-02,0.9198,0.6636,126,-2.44
FXFactory_hilo_break_04,GBPJPY,2025-02,2025-03,0.6636,1.1356,156,1.13
FXFactory_hilo_break_04,GBPJPY,2025-03,2025-04,1.1356,0.6015,7,-0.21
FXFactory_hilo_break_04,USDJPY,2025-01,2025-02,0.9984,0.8458,115,-0.8
FXFactory_hilo_break_04,USDJPY,2025-02,2025-03,0.8458,0.7454,135,-1.69
FXFactory_hilo_break_04,USDJPY,2025-03,2025-04,0.7454,0.4565,5,-0.2
FXFactory_atr_break_05,EURJPY,2025-01,2025-02,0.91,0.7643,174,-3.42
FXFactory_atr_break_05,EURJPY,2025-02,2025-03,0.7643,0.8946,224,-1.87
FXFactory_atr_break_05,EURJPY,2025-03,2025-04,0.8946,1.9756,6,0.2
FXFactory_atr_break_05,GBPJPY,2025-01,2025-02,0.9837,0.9705,207,-0.51
FXFactory_atr_break_05,GBPJPY,2025-02,2025-03,0.9705,1.0692,228,1.36
FXFactory_atr_break_05,GBPJPY,2025-03,2025-04,1.0692,2.3508,9,0.52
FXFactory_atr_break_05,USDJPY,2025-01,2025-02,0.8389,1.002,170,0.02
FXFactory_atr_break_05,USDJPY,2025-02,2025-03,1.002,1.2547,200,3.13
FXFactory_atr_break_05,USDJPY,2025-03,2025-04,1.2547,0.0,8,-0.86
