strategy,symbol,pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,session
FXFactory_atr_break_01,EURJPY,0.7809,50.63,2.12,0.0,-1.75,225.2,158,6,7,-0.0111,0.7614,london
FXFactory_atr_break_01,EURJPY,0.9012,53.06,2.3,0.0,-0.79,229.0,147,7,6,-0.0054,0.7972,newyork
FXFactory_atr_break_01,EURJPY,0.8298,51.38,3.43,0.0,-2.22,223.9,253,6,7,-0.0088,0.7851,london_ny
FXFactory_atr_break_01,GBPJPY,1.032,52.06,2.78,0.0,0.34,219.0,194,7,6,0.0018,0.9503,london
FXFactory_atr_break_01,GBPJPY,1.0572,54.86,2.1,0.0,0.57,247.9,175,7,9,0.0033,0.87,newyork
FXFactory_atr_break_01,GBPJPY,1.0452,53.25,3.12,0.0,0.78,229.7,308,5,9,0.0025,0.9178,london_ny
FXFactory_atr_break_01,USDJPY,1.0322,52.21,1.09,0.0,0.12,238.4,113,6,6,0.0011,0.9447,london
FXFactory_atr_break_01,USDJPY,0.9303,50.74,1.64,0.0,-0.36,234.3,136,6,7,-0.0026,0.9033,newyork
FXFactory_atr_break_01,USDJPY,0.9234,50.68,2.11,0.0,-0.62,233.4,219,7,7,-0.0028,0.8984,london_ny
FXFactory_atr_break_02,EURJPY,0.7809,50.63,2.12,0.0,-1.75,225.2,158,6,7,-0.0111,0.7614,london
FXFactory_atr_break_02,EURJPY,0.8936,53.06,2.3,0.0,-0.85,231.0,147,7,6,-0.0058,0.7905,newyork
FXFactory_atr_break_02,EURJPY,0.8251,51.38,3.45,0.0,-2.29,225.1,253,6,7,-0.009,0.7807,london_ny
FXFactory_atr_break_02,GBPJPY,1.032,52.06,2.78,0.0,0.34,219.0,194,7,6,0.0018,0.9503,london
FXFactory_atr_break_02,GBPJPY,1.0777,54.86,2.1,0.0,0.78,249.3,175,7,9,0.0044,0.8868,newyork
FXFactory_atr_break_02,GBPJPY,1.057,53.25,3.12,0.0,0.99,230.5,308,5,9,0.0032,0.9281,london_ny
FXFactory_atr_break_02,USDJPY,1.0322,52.21,1.09,0.0,0.12,238.4,113,6,6,0.0011,0.9447,london
FXFactory_atr_break_02,USDJPY,0.9706,50.74,1.64,0.0,-0.15,240.0,136,6,7,-0.0011,0.9424,newyork
FXFactory_atr_break_02,USDJPY,0.9487,50.68,2.11,0.0,-0.41,237.0,219,7,7,-0.0019,0.9231,london_ny
FXFactory_hilo_break_03,EURJPY,0.838,20.04,14.51,0.01,-11.21,2124.7,489,20,3,-0.0229,3.3433,london
