strategy,symbol,spread_pips,pf,trades,pnl
FXFactory_atr_break_01,EURJPY,0.3,0.9012,147,-0.79
FXFactory_atr_break_01,EURJPY,0.5,0.8669,147,-1.08
FXFactory_atr_break_01,EURJPY,1.0,0.7864,147,-1.82
FXFactory_atr_break_01,GBPJPY,0.3,1.0572,175,0.57
FXFactory_atr_break_01,GBPJPY,0.5,1.0219,175,0.22
FXFactory_atr_break_01,GBPJPY,1.0,0.9384,175,-0.65
FXFactory_atr_break_01,USDJPY,0.3,0.9303,136,-0.36
FXFactory_atr_break_01,USDJPY,0.5,0.8801,136,-0.63
FXFactory_atr_break_01,USDJPY,1.0,0.7659,136,-1.31
FXFactory_atr_break_02,EURJPY,0.3,0.8936,147,-0.85
FXFactory_atr_break_02,EURJPY,0.5,0.8594,147,-1.15
FXFactory_atr_break_02,EURJPY,1.0,0.7793,147,-1.88
FXFactory_atr_break_02,GBPJPY,0.3,1.0777,175,0.78
FXFactory_atr_break_02,GBPJPY,0.5,1.0421,175,0.43
FXFactory_atr_break_02,GBPJPY,1.0,0.9578,175,-0.45
FXFactory_atr_break_02,USDJPY,0.3,0.9706,136,-0.15
FXFactory_atr_break_02,USDJPY,0.5,0.9193,136,-0.42
FXFactory_atr_break_02,USDJPY,1.0,0.8027,136,-1.1
FXFactory_hilo_break_03,EURJPY,0.3,0.855,507,-10.41
FXFactory_hilo_break_03,EURJPY,0.5,0.8427,507,-11.43
FXFactory_hilo_break_03,EURJPY,1.0,0.813,507,-13.96
FXFactory_hilo_break_03,GBPJPY,0.3,1.0738,555,6.3
FXFactory_hilo_break_03,GBPJPY,0.5,1.0602,555,5.19
FXFactory_hilo_break_03,GBPJPY,1.0,1.0273,555,2.42
FXFactory_hilo_break_03,USDJPY,0.3,0.8455,528,-9.65
FXFactory_hilo_break_03,USDJPY,0.5,0.8309,528,-10.7
FXFactory_hilo_break_03,USDJPY,1.0,0.796,528,-13.34
FXFactory_hilo_break_04,EURJPY,0.3,0.8863,423,-2.46
FXFactory_hilo_break_04,EURJPY,0.5,0.8505,423,-3.31
FXFactory_hilo_break_04,EURJPY,1.0,0.7676,423,-5.42
FXFactory_hilo_break_04,GBPJPY,0.3,0.9097,426,-2.15
FXFactory_hilo_break_04,GBPJPY,0.5,0.8763,426,-3.0
FXFactory_hilo_break_04,GBPJPY,1.0,0.7978,426,-5.13
FXFactory_hilo_break_04,USDJPY,0.3,0.8434,375,-2.69
FXFactory_hilo_break_04,USDJPY,0.5,0.8046,375,-3.44
FXFactory_hilo_break_04,USDJPY,1.0,0.7158,375,-5.31
FXFactory_atr_break_05,EURJPY,0.3,0.8643,597,-6.45
FXFactory_atr_break_05,EURJPY,0.5,0.8418,597,-7.64
FXFactory_atr_break_05,EURJPY,1.0,0.7885,597,-10.63
FXFactory_atr_break_05,GBPJPY,0.3,1.0182,659,1.04
FXFactory_atr_break_05,GBPJPY,0.5,0.9952,659,-0.28
FXFactory_atr_break_05,GBPJPY,1.0,0.9404,659,-3.57
FXFactory_atr_break_05,USDJPY,0.3,1.006,579,0.22
FXFactory_atr_break_05,USDJPY,0.5,0.9755,579,-0.93
FXFactory_atr_break_05,USDJPY,1.0,0.9042,579,-3.83
