strategy,symbol,week,pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio
FXFactory_atr_break_01,EURJPY,2025-W00,0.0145,25.0,0.42,0.0,-0.41,180.0,4,3,1,-0.1022,0.0434
FXFactory_atr_break_01,EURJPY,2025-W01,0.7736,40.0,0.37,0.0,-0.08,210.0,10,5,4,-0.0084,1.1604
FXFactory_atr_break_01,EURJPY,2025-W02,0.3642,40.0,0.44,0.0,-0.31,228.0,10,4,2,-0.0309,0.5463
FXFactory_atr_break_01,EURJPY,2025-W03,0.4443,50.0,0.51,0.0,-0.37,255.0,8,2,2,-0.0461,0.4443
FXFactory_atr_break_01,EURJPY,2025-W04,0.1089,12.5,0.89,0.0,-0.79,195.0,8,7,1,-0.0993,0.7621
FXFactory_atr_break_01,EURJPY,2025-W05,0.8336,54.55,0.48,0.0,-0.12,223.6,11,2,3,-0.0109,0.6946
FXFactory_atr_break_01,EURJPY,2025-W06,1.9398,75.0,0.43,0.0,0.44,215.0,12,1,5,0.0364,0.6466
FXFactory_atr_break_01,EURJPY,2025-W07,1.4224,62.5,0.26,0.0,0.21,195.0,16,2,2,0.0129,0.8535
FXFactory_atr_break_01,EURJPY,2025-W08,0.5649,58.33,0.59,0.0,-0.33,315.0,12,3,3,-0.0279,0.4035
FXFactory_atr_break_01,EURJPY,2025-W09,1.1387,54.55,0.26,0.0,0.07,180.0,11,2,2,0.006,0.9489
FXFactory_atr_break_01,EURJPY,2025-W10,2.6404,53.85,0.19,0.0,0.67,226.2,13,2,5,0.0512,2.2632
FXFactory_atr_break_01,EURJPY,2025-W11,0.6994,45.45,0.42,0.0,-0.24,223.6,11,2,2,-0.0215,0.8392
FXFactory_atr_break_01,EURJPY,2025-W12,1.2445,64.71,0.67,0.0,0.24,278.8,17,2,6,0.0144,0.6788
FXFactory_atr_break_01,EURJPY,2025-W13,4.6029,75.0,0.07,0.0,0.25,225.0,4,1,3,0.0613,1.5343
FXFactory_atr_break_01,GBPJPY,2025-W00,0.3438,42.86,0.48,0.0,-0.31,197.1,7,4,3,-0.0447,0.4584
FXFactory_atr_break_01,GBPJPY,2025-W01,0.4382,42.86,0.78,0.0,-0.58,167.1,14,4,4,-0.0416,0.5843
FXFactory_atr_break_01,GBPJPY,2025-W02,0.7279,63.64,0.38,0.0,-0.21,289.1,11,1,2,-0.0187,0.4159
FXFactory_atr_break_01,GBPJPY,2025-W03,0.4067,50.0,0.86,0.0,-0.63,355.7,14,3,2,-0.0452,0.4067
FXFactory_atr_break_01,GBPJPY,2025-W04,1.125,41.18,0.52,0.0,0.11,229.4,17,4,3,0.0068,1.6071
FXFactory_atr_break_01,GBPJPY,2025-W05,3.955,78.57,0.23,0.0,0.85,214.3,14,2,8,0.061,1.0786
FXFactory_atr_break_01,GBPJPY,2025-W06,0.747,55.56,0.52,0.0,-0.17,246.7,9,2,2,-0.0187,0.5976
FXFactory_atr_break_01,GBPJPY,2025-W07,2.1171,58.33,0.44,0.0,0.56,275.0,12,2,6,0.0469,1.5122
FXFactory_atr_break_01,GBPJPY,2025-W08,2.3659,60.0,0.47,0.0,0.92,280.0,15,3,3,0.0615,1.5773
FXFactory_atr_break_01,GBPJPY,2025-W09,0.3928,50.0,0.78,0.0,-0.76,187.5,16,4,3,-0.0476,0.3928
FXFactory_atr_break_01,GBPJPY,2025-W10,1.325,53.33,0.3,0.0,0.19,288.0,15,2,4,0.0129,1.1593
FXFactory_atr_break_01,GBPJPY,2025-W11,2.2056,76.92,0.4,0.0,0.56,221.5,13,1,5,0.0433,0.6617
FXFactory_atr_break_01,GBPJPY,2025-W12,0.739,46.15,0.48,0.0,-0.23,258.5,13,2,3,-0.0178,0.8621
FXFactory_atr_break_01,GBPJPY,2025-W13,1.6047,40.0,0.19,0.0,0.26,264.0,5,1,1,0.0514,2.4071
FXFactory_atr_break_01,USDJPY,2025-W00,0.359,33.33,0.12,0.0,-0.08,200.0,3,2,1,-0.025,0.7179
FXFactory_atr_break_01,USDJPY,2025-W01,2.9924,58.33,0.11,0.0,0.53,230.0,12,2,4,0.0438,2.1374
FXFactory_atr_break_01,USDJPY,2025-W02,0.7747,66.67,0.19,0.0,-0.07,226.7,9,1,4,-0.0073,0.3874
FXFactory_atr_break_01,USDJPY,2025-W03,0.6494,53.33,0.5,0.0,-0.22,264.0,15,4,5,-0.0145,0.5683
FXFactory_atr_break_01,USDJPY,2025-W04,0.6209,37.5,0.32,0.0,-0.14,217.5,8,3,1,-0.0172,1.0348
FXFactory_atr_break_01,USDJPY,2025-W05,0.1328,25.0,0.44,0.0,-0.43,277.5,8,5,1,-0.0539,0.3984
FXFactory_atr_break_01,USDJPY,2025-W06,0.3788,50.0,0.33,0.0,-0.2,190.0,6,3,2,-0.0342,0.3788
FXFactory_atr_break_01,USDJPY,2025-W07,0.6005,33.33,0.33,0.0,-0.17,195.0,12,4,3,-0.0143,1.2009
FXFactory_atr_break_01,USDJPY,2025-W08,1.1993,53.85,0.31,0.0,0.11,207.7,13,3,3,0.0085,1.028
FXFactory_atr_break_01,USDJPY,2025-W09,0.4874,37.5,0.23,0.0,-0.16,172.5,8,3,2,-0.0204,0.8124
FXFactory_atr_break_01,USDJPY,2025-W10,1.8259,80.0,0.18,0.0,0.17,210.0,10,1,5,0.0166,0.4565
FXFactory_atr_break_01,USDJPY,2025-W11,2.2464,38.46,0.11,0.0,0.43,258.5,13,4,3,0.0331,3.5942
FXFactory_atr_break_01,USDJPY,2025-W12,0.6992,60.0,0.36,0.0,-0.21,316.0,15,3,7,-0.0142,0.4661
FXFactory_atr_break_01,USDJPY,2025-W13,2.5862,75.0,0.06,0.0,0.09,195.0,4,1,2,0.023,0.8621
FXFactory_atr_break_02,EURJPY,2025-W00,0.0145,25.0,0.42,0.0,-0.41,180.0,4,3,1,-0.1022,0.0434
FXFactory_atr_break_02,EURJPY,2025-W01,0.7736,40.0,0.37,0.0,-0.08,210.0,10,5,4,-0.0084,1.1604
FXFactory_atr_break_02,EURJPY,2025-W02,0.3642,40.0,0.44,0.0,-0.31,228.0,10,4,2,-0.0309,0.5463
FXFactory_atr_break_02,EURJPY,2025-W03,0.4443,50.0,0.51,0.0,-0.37,255.0,8,2,2,-0.0461,0.4443
FXFactory_atr_break_02,EURJPY,2025-W04,0.1089,12.5,0.89,0.0,-0.79,195.0,8,7,1,-0.0993,0.7621
FXFactory_atr_break_02,EURJPY,2025-W05,0.8336,54.55,0.48,0.0,-0.12,223.6,11,2,3,-0.0109,0.6946
FXFactory_atr_break_02,EURJPY,2025-W06,1.8946,75.0,0.43,0.0,0.42,225.0,12,1,5,0.0347,0.6315
FXFactory_atr_break_02,EURJPY,2025-W07,1.4224,62.5,0.26,0.0,0.21,195.0,16,2,2,0.0129,0.8535
FXFactory_atr_break_02,EURJPY,2025-W08,0.5649,58.33,0.59,0.0,-0.33,315.0,12,3,3,-0.0279,0.4035
FXFactory_atr_break_02,EURJPY,2025-W09,1.1387,54.55,0.26,0.0,0.07,180.0,11,2,2,0.006,0.9489
FXFactory_atr_break_02,EURJPY,2025-W10,2.5419,53.85,0.19,0.0,0.63,240.0,13,2,5,0.0482,2.1787
FXFactory_atr_break_02,EURJPY,2025-W11,0.6994,45.45,0.42,0.0,-0.24,223.6,11,2,2,-0.0215,0.8392
FXFactory_atr_break_02,EURJPY,2025-W12,1.2445,64.71,0.67,0.0,0.24,278.8,17,2,6,0.0144,0.6788
FXFactory_atr_break_02,EURJPY,2025-W13,4.6029,75.0,0.07,0.0,0.25,225.0,4,1,3,0.0613,1.5343
FXFactory_atr_break_02,GBPJPY,2025-W00,0.3438,42.86,0.48,0.0,-0.31,197.1,7,4,3,-0.0447,0.4584
FXFactory_atr_break_02,GBPJPY,2025-W01,0.4382,42.86,0.78,0.0,-0.58,167.1,14,4,4,-0.0416,0.5843
FXFactory_atr_break_02,GBPJPY,2025-W02,0.7279,63.64,0.38,0.0,-0.21,289.1,11,1,2,-0.0187,0.4159
FXFactory_atr_break_02,GBPJPY,2025-W03,0.4067,50.0,0.86,0.0,-0.63,355.7,14,3,2,-0.0452,0.4067
FXFactory_atr_break_02,GBPJPY,2025-W04,1.125,41.18,0.52,0.0,0.11,229.4,17,4,3,0.0068,1.6071
FXFactory_atr_break_02,GBPJPY,2025-W05,3.955,78.57,0.23,0.0,0.85,214.3,14,2,8,0.061,1.0786
FXFactory_atr_break_02,GBPJPY,2025-W06,0.747,55.56,0.52,0.0,-0.17,246.7,9,2,2,-0.0187,0.5976
FXFactory_atr_break_02,GBPJPY,2025-W07,2.1171,58.33,0.44,0.0,0.56,275.0,12,2,6,0.0469,1.5122
FXFactory_atr_break_02,GBPJPY,2025-W08,2.3659,60.0,0.47,0.0,0.92,280.0,15,3,3,0.0615,1.5773
FXFactory_atr_break_02,GBPJPY,2025-W09,0.3928,50.0,0.78,0.0,-0.76,187.5,16,4,3,-0.0476,0.3928
FXFactory_atr_break_02,GBPJPY,2025-W10,1.325,53.33,0.3,0.0,0.19,288.0,15,2,4,0.0129,1.1593
FXFactory_atr_break_02,GBPJPY,2025-W11,2.2056,76.92,0.4,0.0,0.56,221.5,13,1,5,0.0433,0.6617
FXFactory_atr_break_02,GBPJPY,2025-W12,0.739,46.15,0.48,0.0,-0.23,258.5,13,2,3,-0.0178,0.8621
FXFactory_atr_break_02,GBPJPY,2025-W13,2.0871,40.0,0.19,0.0,0.46,312.0,5,1,1,0.0924,3.1306
FXFactory_atr_break_02,USDJPY,2025-W00,0.359,33.33,0.12,0.0,-0.08,200.0,3,2,1,-0.025,0.7179
FXFactory_atr_break_02,USDJPY,2025-W01,3.7689,58.33,0.11,0.0,0.73,295.0,12,2,4,0.0609,2.6921
FXFactory_atr_break_02,USDJPY,2025-W02,0.7747,66.67,0.19,0.0,-0.07,226.7,9,1,4,-0.0073,0.3874
FXFactory_atr_break_02,USDJPY,2025-W03,0.6494,53.33,0.5,0.0,-0.22,264.0,15,4,5,-0.0145,0.5683
FXFactory_atr_break_02,USDJPY,2025-W04,0.6209,37.5,0.32,0.0,-0.14,217.5,8,3,1,-0.0172,1.0348
FXFactory_atr_break_02,USDJPY,2025-W05,0.1328,25.0,0.44,0.0,-0.43,277.5,8,5,1,-0.0539,0.3984
FXFactory_atr_break_02,USDJPY,2025-W06,0.3788,50.0,0.33,0.0,-0.2,190.0,6,3,2,-0.0342,0.3788
FXFactory_atr_break_02,USDJPY,2025-W07,0.6005,33.33,0.33,0.0,-0.17,195.0,12,4,3,-0.0143,1.2009
FXFactory_atr_break_02,USDJPY,2025-W08,1.1993,53.85,0.31,0.0,0.11,207.7,13,3,3,0.0085,1.028
FXFactory_atr_break_02,USDJPY,2025-W09,0.4874,37.5,0.23,0.0,-0.16,172.5,8,3,2,-0.0204,0.8124
FXFactory_atr_break_02,USDJPY,2025-W10,1.8259,80.0,0.18,0.0,0.17,210.0,10,1,5,0.0166,0.4565
FXFactory_atr_break_02,USDJPY,2025-W11,2.2464,38.46,0.11,0.0,0.43,258.5,13,4,3,0.0331,3.5942
FXFactory_atr_break_02,USDJPY,2025-W12,0.6992,60.0,0.36,0.0,-0.21,316.0,15,3,7,-0.0142,0.4661
FXFactory_atr_break_02,USDJPY,2025-W13,2.5862,75.0,0.06,0.0,0.09,195.0,4,1,2,0.023,0.8621
FXFactory_hilo_break_03,EURJPY,2025-W00,0.6679,16.0,2.42,0.0,-1.23,1776.0,25,13,1,-0.0494,3.5066
FXFactory_hilo_break_03,EURJPY,2025-W01,0.7748,17.5,3.4,0.0,-1.31,1848.0,40,15,3,-0.0327,3.6524
FXFactory_hilo_break_03,EURJPY,2025-W02,1.079,20.0,1.98,0.0,0.39,1666.3,35,9,2,0.0111,4.3161
FXFactory_hilo_break_03,EURJPY,2025-W03,1.3997,27.91,1.72,0.0,2.13,1865.6,43,6,2,0.0495,3.616
FXFactory_hilo_break_03,EURJPY,2025-W04,0.3871,12.9,3.95,0.0,-3.15,2355.5,31,10,1,-0.1015,2.6126
FXFactory_hilo_break_03,EURJPY,2025-W05,0.2868,8.33,5.45,0.01,-5.23,1360.0,48,21,1,-0.1089,3.1544
FXFactory_hilo_break_03,EURJPY,2025-W06,0.7971,21.05,2.72,0.0,-1.18,2090.5,38,11,1,-0.0312,2.9891
FXFactory_hilo_break_03,EURJPY,2025-W07,0.8914,22.22,2.26,0.0,-0.53,1998.3,36,12,2,-0.0148,3.12
FXFactory_hilo_break_03,EURJPY,2025-W08,1.0047,23.53,1.79,0.0,0.02,1882.9,34,10,2,0.0006,3.2652
FXFactory_hilo_break_03,EURJPY,2025-W09,0.6825,16.67,2.46,0.0,-1.89,1602.9,42,11,2,-0.0449,3.4127
FXFactory_hilo_break_03,EURJPY,2025-W10,1.4833,28.21,2.34,0.0,2.32,1866.2,39,13,3,0.0596,3.7756
FXFactory_hilo_break_03,EURJPY,2025-W11,0.8488,17.78,2.55,0.0,-0.94,1636.0,45,14,1,-0.0209,3.9258
FXFactory_hilo_break_03,EURJPY,2025-W12,0.879,19.51,3.61,0.0,-0.73,1715.1,41,17,4,-0.0179,3.626
FXFactory_hilo_break_03,EURJPY,2025-W13,1.7158,30.0,0.62,0.0,0.92,2712.0,10,3,1,0.0922,4.0036
FXFactory_hilo_break_03,GBPJPY,2025-W00,0.9452,19.23,2.69,0.0,-0.23,1121.5,26,13,2,-0.009,3.9699
FXFactory_hilo_break_03,GBPJPY,2025-W01,0.9372,19.23,2.97,0.0,-0.52,1181.5,52,13,2,-0.01,3.9362
FXFactory_hilo_break_03,GBPJPY,2025-W02,1.2126,24.32,1.71,0.0,1.17,2090.3,37,9,2,0.0316,3.7726
FXFactory_hilo_break_03,GBPJPY,2025-W03,0.7249,14.63,2.55,0.0,-1.82,1833.7,41,13,1,-0.0444,4.2284
FXFactory_hilo_break_03,GBPJPY,2025-W04,0.4959,13.73,5.95,0.01,-4.93,1468.2,51,13,1,-0.0966,3.1171
FXFactory_hilo_break_03,GBPJPY,2025-W05,0.5821,12.5,4.96,0.0,-4.13,1408.9,56,17,2,-0.0738,4.0747
