pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,strategy_name,symbol,timeframe
0.0152,11.83,20.73,0.02,-20.73,640.0,93,bb_break_6fc3d727,EURJPY,M1
0.2638,27.87,13.03,0.01,-13.03,1483.3,61,donchian_break_1d1e6dd4,EURJPY,M1
0.09,11.2,28.73,0.03,-28.73,372.5,125,donchian_break_67ae5630,EURJPY,M1
0.2683,28.57,11.86,0.01,-11.86,1492.5,56,donchian_break_c9960c99,EURJPY,M1
0.1627,28.77,17.41,0.02,-17.41,1109.6,73,donchian_break_c9b609d1,EURJPY,M1
0.2993,25.71,16.12,0.02,-16.03,1830.0,70,donchian_break_f969b62d,EURJPY,M1
0.0797,22.97,18.81,0.02,-18.81,742.7,74,ema_cross_0b2d6a5b,EURJPY,M1
0.4885,29.73,6.68,0.01,-5.52,3280.5,37,ema_cross_13118541,EURJPY,M1
0.2248,45.9,15.45,0.02,-15.09,2685.2,61,ema_cross_156f8a41,EURJPY,M1
0.1132,13.56,34.06,0.03,-33.76,1065.8,118,ema_cross_5809e979,EURJPY,M1
0.2631,17.54,14.3,0.01,-13.79,2794.7,57,ema_cross_5e5710c1,EURJPY,M1
0.1989,28.95,19.68,0.02,-19.29,1409.2,76,ema_cross_66822117,EURJPY,M1
0.2726,32.43,7.77,0.01,-7.37,1214.6,37,ema_cross_6e788a01,EURJPY,M1
0.1439,16.13,10.11,0.01,-9.86,1747.7,31,ema_cross_8f6badbd,EURJPY,M1
0.0374,23.33,37.17,0.04,-37.17,633.6,150,ema_cross_902d3a73,EURJPY,M1
0.0,0.0,12.9,0.01,-12.9,140.7,55,ema_cross_b02e045d,EURJPY,M1
0.0901,32.47,17.18,0.02,-17.15,854.0,77,ema_cross_b1324308,EURJPY,M1
0.1626,11.45,31.82,0.03,-31.64,1009.5,131,ema_cross_bdb5fe2a,EURJPY,M1
0.0935,9.26,16.97,0.02,-16.63,1234.4,54,ema_cross_deca493e,EURJPY,M1
0.3919,18.87,10.55,0.01,-9.81,2937.7,53,ema_cross_ef9924e5,EURJPY,M1
0.0682,25.4,30.5,0.03,-30.5,779.0,126,ema_cross_f0deb4f0,EURJPY,M1
0.1279,21.37,33.38,0.03,-33.38,939.4,131,ema_cross_fea5572c,EURJPY,M1
0.2105,15.69,25.96,0.03,-25.92,1744.7,102,momentum_0b77e21d,EURJPY,M1
0.1952,26.92,30.19,0.03,-29.98,1259.1,130,momentum_3967e139,EURJPY,M1
0.1527,17.39,17.16,0.02,-17.16,1085.2,69,momentum_44a50e6c,EURJPY,M1
0.137,15.85,22.68,0.02,-22.2,1100.5,82,momentum_490863a0,EURJPY,M1
0.1306,12.73,26.32,0.03,-26.32,643.1,110,momentum_5100332c,EURJPY,M1
0.0726,6.25,23.15,0.02,-22.83,463.8,96,momentum_6a62b07c,EURJPY,M1
0.2259,24.19,13.58,0.01,-13.58,1299.7,62,momentum_7279aa16,EURJPY,M1
0.2507,25.93,11.65,0.01,-11.16,1266.7,54,momentum_d74757dc,EURJPY,M1
0.2793,50.91,10.75,0.01,-10.44,2177.5,55,momentum_dc40cb70,EURJPY,M1
0.0782,14.4,54.64,0.05,-54.64,576.0,257,rsi_reversal_1267fc98,EURJPY,M1
0.0,0.0,4.58,0.0,-4.58,264.5,22,rsi_reversal_2673622a,EURJPY,M1
0.1707,44.44,27.69,0.03,-27.69,2066.1,108,rsi_reversal_3cc77779,EURJPY,M1
0.1604,29.03,7.18,0.01,-6.77,766.5,31,rsi_reversal_5999e02d,EURJPY,M1
0.1399,35.71,9.26,0.01,-9.18,1325.7,42,rsi_reversal_76543b15,EURJPY,M1
0.2885,53.66,7.46,0.01,-6.77,2126.3,41,rsi_reversal_7a08475b,EURJPY,M1
0.264,52.31,12.27,0.01,-11.65,2002.2,65,rsi_reversal_8c7c3c1f,EURJPY,M1
0.0,0.0,0.0,0.0,0.0,0.0,0,rsi_reversal_a73f69c6,EURJPY,M1
0.0766,34.12,59.58,0.06,-59.56,930.6,296,rsi_reversal_da6a2ac4,EURJPY,M1
inf,100.0,0.0,0.0,0.17,900.0,1,rsi_reversal_ea79811e,EURJPY,M1
inf,100.0,0.0,0.0,0.14,840.0,1,rsi_reversal_f39ae529,EURJPY,M1
0.1622,36.84,9.89,0.01,-9.82,1717.9,38,rsi_reversal_f8f5d99f,EURJPY,M1
0.1815,45.0,19.12,0.02,-19.12,2297.2,80,rsi_trend_08bc1cb9,EURJPY,M1
0.1713,36.9,21.71,0.02,-21.71,2172.1,84,rsi_trend_0a63e580,EURJPY,M1
0.1572,37.93,15.12,0.02,-15.12,1934.5,58,rsi_trend_4e8ecd2c,EURJPY,M1
0.1625,39.08,21.56,0.02,-21.56,2033.8,87,rsi_trend_5d31b21a,EURJPY,M1
0.1883,40.0,22.12,0.02,-22.12,2066.0,90,rsi_trend_65d1a53d,EURJPY,M1
0.1387,14.13,24.25,0.02,-23.58,1022.6,92,rsi_trend_8cdd4186,EURJPY,M1
0.1624,43.48,21.58,0.02,-21.59,1939.6,92,rsi_trend_d066d7d9,EURJPY,M1
0.1111,30.77,23.1,0.02,-23.1,2175.8,91,bb_break_6fc3d727,EURJPY,M5
0.1178,16.22,20.13,0.02,-20.13,1540.5,74,donchian_break_1d1e6dd4,EURJPY,M5
0.0476,7.43,38.95,0.04,-38.95,1135.1,148,donchian_break_67ae5630,EURJPY,M5
0.1129,16.18,18.6,0.02,-18.6,1601.5,68,donchian_break_c9960c99,EURJPY,M5
0.0851,15.91,25.27,0.03,-25.27,1431.8,88,donchian_break_c9b609d1,EURJPY,M5
0.2936,34.18,21.53,0.02,-21.45,4963.3,79,donchian_break_f969b62d,EURJPY,M5
0.3151,31.43,16.48,0.02,-15.58,4860.0,70,ema_cross_0b2d6a5b,EURJPY,M5
0.5729,37.5,6.29,0.01,-6.29,7735.7,56,ema_cross_13118541,EURJPY,M5
0.2132,43.2,29.39,0.03,-29.33,3705.6,125,ema_cross_156f8a41,EURJPY,M5
0.4217,25.98,26.58,0.03,-25.87,5619.7,127,ema_cross_5809e979,EURJPY,M5
0.4682,39.19,13.94,0.01,-13.38,8655.4,74,ema_cross_5e5710c1,EURJPY,M5
0.2651,47.5,18.59,0.02,-18.59,4410.0,80,ema_cross_66822117,EURJPY,M5
0.2075,37.78,11.3,0.01,-11.3,3593.3,45,ema_cross_6e788a01,EURJPY,M5
0.2067,12.31,18.67,0.02,-18.67,4241.5,65,ema_cross_8f6badbd,EURJPY,M5
0.0595,24.02,42.59,0.04,-42.47,1696.1,179,ema_cross_902d3a73,EURJPY,M5
0.0007,1.27,16.82,0.02,-16.81,368.4,79,ema_cross_b02e045d,EURJPY,M5
0.0692,21.95,21.63,0.02,-21.63,2729.3,82,ema_cross_b1324308,EURJPY,M5
0.2573,19.72,33.18,0.03,-33.18,3344.4,142,ema_cross_bdb5fe2a,EURJPY,M5
0.2506,15.79,17.29,0.02,-17.28,6857.9,57,ema_cross_deca493e,EURJPY,M5
