pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,strategy_name,symbol,timeframe,rsi_period,oversold,overbought,tp_pips,sl_pips,has_breakeven,max_bars,has_lowvol,session,tp_display,sl_display,threshold,avg_hold_min,pnl_tokyo,trades_tokyo,pnl_london,trades_london,pnl_newyork,trades_newyork
0.7393,44.67,13.2,0.01,-12.72,66.0,1641,11,10,-0.0078,0.9158,rsi_reversal_03998f1f,EURJPY,M1,5,30,70,0.1,0.05,False,15,True,london,10p,5p,30/70,1.1,-1.11,329,-11.61,1312,0.0,0
0.777,46.59,36.51,0.04,-35.84,83.0,4797,12,9,-0.0075,0.8907,rsi_reversal_5ed44612,EURJPY,M1,5,40,60,0.1,0.1,False,0,False,london,10p,10p,40/60,1.4,-8.48,1074,-27.37,3723,0.0,0
0.7034,45.67,26.31,0.03,-26.02,65.2,2866,19,11,-0.0091,0.8366,rsi_reversal_5378cdea,EURJPY,M1,5,40,60,0.07,0.07,True,15,True,newyork,7p,7p,40/60,1.1,0.0,0,-8.26,966,-17.76,1900
0.7544,43.8,8.52,0.01,-8.34,65.0,1146,9,7,-0.0073,0.9678,rsi_reversal_015659fd,EURJPY,M1,7,30,70,0.1,0.05,True,15,True,london,10p,5p,30/70,1.1,0.15,232,-8.49,914,0.0,0
0.6467,43.36,18.15,0.02,-18.0,61.0,1656,14,6,-0.0109,0.8448,rsi_reversal_26c2a1e5,EURJPY,M1,5,30,70,0.05,0.05,True,0,True,newyork,5p,5p,30/70,1.0,0.0,0,-7.91,555,-10.09,1101
0.7707,45.81,14.34,0.01,-14.02,62.2,2185,13,7,-0.0064,0.9116,rsi_reversal_5cfb03a6,EURJPY,M1,7,30,70,0.07,0.05,False,15,False,london,7p,5p,30/70,1.0,-1.08,482,-12.94,1703,0.0,0
0.7339,43.95,22.21,0.02,-21.88,66.7,2678,12,10,-0.0082,0.9359,rsi_reversal_0117f4e3,EURJPY,M1,6,40,60,0.1,0.05,False,30,True,newyork,10p,5p,40/60,1.1,0.0,0,-5.68,896,-16.19,1782
0.7685,45.3,32.88,0.03,-32.41,70.7,4583,12,11,-0.0071,0.928,rsi_reversal_e0f35226,EURJPY,M1,7,40,60,0.1,0.07,True,0,False,london,10p,7p,40/60,1.2,-5.74,1000,-26.67,3583,0.0,0
0.7249,46.86,18.68,0.02,-18.61,71.3,2153,12,12,-0.0086,0.8219,rsi_reversal_db71e1e3,EURJPY,M1,7,30,70,0.07,0.1,False,15,False,newyork,7p,10p,30/70,1.2,0.0,0,-7.14,723,-11.47,1430
0.7366,44.5,20.34,0.02,-19.94,66.4,2564,14,9,-0.0078,0.9186,rsi_reversal_494958dc,EURJPY,M1,6,30,70,0.1,0.05,False,15,False,london,10p,5p,30/70,1.1,-2.69,556,-17.25,2008,0.0,0
0.7751,48.48,12.45,0.01,-11.99,70.7,1747,11,12,-0.0069,0.8236,rsi_reversal_4f83959c,EURJPY,M1,7,35,65,0.07,0.1,True,15,True,london,7p,10p,35/65,1.2,-2.55,354,-9.43,1393,0.0,0
0.7514,47.29,37.05,0.04,-36.59,66.7,4967,10,12,-0.0074,0.8375,rsi_reversal_50e24eec,EURJPY,M1,6,40,60,0.05,0.1,False,30,False,london,5p,10p,40/60,1.1,-7.67,1098,-28.92,3869,0.0,0
0.7512,46.72,27.88,0.03,-27.26,66.4,3714,10,9,-0.0073,0.8569,rsi_reversal_284f503b,EURJPY,M1,6,35,65,0.05,0.1,True,30,False,london,5p,10p,35/65,1.1,-4.06,808,-23.2,2906,0.0,0
0.6992,44.81,18.46,0.02,-18.28,62.7,2033,11,8,-0.009,0.8612,rsi_reversal_7d07a384,EURJPY,M1,6,35,65,0.05,0.07,False,30,True,newyork,5p,7p,35/65,1.0,0.0,0,-8.47,689,-9.8,1344
