pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,strategy_name,symbol,timeframe,rsi_period,oversold,overbought,tp_pips,sl_pips,tp_type,sl_type,has_breakeven,max_bars,has_lowvol,lowvol_lb,session,tp_display,sl_display,avg_hold_min,pnl_tokyo,trades_tokyo,pnl_london,trades_london,pnl_newyork,trades_newyork
0.372,34.34,48.95,0.05,-48.93,60.9,1730,14,6,-0.0283,0.7115,rsi_reversal_94628254,GBPJPY,M1,6,33,67,0.03,0.08,fixed,fixed,True,15,True,30,london,3p,8p,1.0,-10.42,361,-38.51,1369,0.0,0
0.3648,35.23,135.33,0.14,-135.18,65.4,4519,17,8,-0.0299,0.6707,rsi_reversal_60cfbbd0,GBPJPY,M1,6,38,62,0.08,0.08,fixed,fixed,False,10,False,0,newyork,8p,8p,1.1,0.0,0,-50.53,1537,-84.65,2982
0.3702,35.5,50.84,0.05,-50.76,63.4,1766,13,7,-0.0287,0.6725,rsi_reversal_8ac54564,GBPJPY,M1,7,35,65,0.05,0.1,fixed,fixed,True,0,True,60,newyork,5p,10p,1.1,0.0,0,-20.19,645,-30.57,1121
0.3488,34.21,61.92,0.06,-61.9,60.1,2099,15,7,-0.0295,0.6709,rsi_reversal_81333319,GBPJPY,M1,7,37,63,0.05,0.03,fixed,fixed,True,30,True,30,newyork,5p,3p,1.0,0.0,0,-22.54,749,-39.36,1350
0.3397,34.04,75.81,0.08,-75.65,62.0,2509,16,6,-0.0302,0.6583,rsi_reversal_3a10a2f0,GBPJPY,M1,5,37,63,0.03,0.1,fixed,fixed,True,0,True,30,newyork,3p,10p,1.0,0.0,0,-26.63,868,-49.01,1641
0.3542,34.94,74.78,0.07,-74.62,60.5,2513,16,6,-0.0297,0.6596,rsi_reversal_db02533a,GBPJPY,M1,5,37,63,0.05,0.05,fixed,fixed,True,30,True,60,newyork,5p,5p,1.0,0.0,0,-27.03,878,-47.59,1635
0.3608,34.37,53.25,0.05,-53.17,60.7,1798,14,6,-0.0296,0.6889,rsi_reversal_40b1df22,GBPJPY,M1,7,35,65,0.03,0.08,fixed,fixed,True,30,True,120,newyork,3p,8p,1.0,0.0,0,-21.76,676,-31.42,1122
0.345,34.62,145.14,0.15,-144.77,63.6,4711,17,8,-0.0307,0.6514,rsi_reversal_9fb60c53,GBPJPY,M1,5,37,63,0.05,0.1,fixed,fixed,False,10,False,0,newyork,5p,10p,1.1,0.0,0,-53.99,1586,-90.78,3125
0.3719,36.52,115.15,0.12,-115.04,68.3,3850,15,7,-0.0299,0.6465,rsi_reversal_b9ebdd56,GBPJPY,M1,7,37,63,0.08,0.1,fixed,fixed,False,30,False,0,newyork,8p,10p,1.1,0.0,0,-44.94,1327,-70.1,2523
0.3571,33.99,72.66,0.07,-72.66,62.3,2442,14,6,-0.0298,0.6936,rsi_reversal_9e7f1ebe,GBPJPY,M1,6,38,62,0.05,0.08,fixed,fixed,True,15,True,30,london,5p,8p,1.0,-15.66,519,-57.01,1923,0.0,0
0.3494,34.3,68.4,0.07,-68.22,60.5,2300,12,7,-0.0297,0.6691,rsi_reversal_68c820a1,GBPJPY,M1,5,35,65,0.05,0.05,fixed,fixed,False,15,True,120,newyork,5p,5p,1.0,0.0,0,-26.11,812,-42.11,1488
0.3469,33.96,62.05,0.06,-62.04,60.9,2014,15,6,-0.0308,0.6745,rsi_reversal_568ea7a3,GBPJPY,M1,6,35,65,0.03,0.08,fixed,fixed,True,0,True,120,london,3p,8p,1.0,-12.33,436,-49.7,1578,0.0,0
0.371,35.31,45.14,0.05,-45.12,60.8,1555,12,7,-0.029,0.6798,rsi_reversal_b3909d97,GBPJPY,M1,7,33,67,0.03,0.08,fixed,fixed,True,30,True,60,london,3p,8p,1.0,-9.1,343,-36.02,1212,0.0,0
0.3752,35.49,45.14,0.05,-45.01,71.6,1468,19,7,-0.0307,0.6819,rsi_reversal_9fc01f68,GBPJPY,M1,7,33,67,0.1,0.1,fixed,fixed,True,10,True,30,newyork,10p,10p,1.2,0.0,0,-16.94,539,-28.08,929
0.3739,35.31,50.62,0.05,-50.55,61.8,1784,11,7,-0.0283,0.6849,rsi_reversal_e10fd14b,GBPJPY,M1,7,35,65,0.05,0.08,fixed,fixed,True,15,True,60,newyork,5p,8p,1.0,0.0,0,-19.16,652,-31.38,1132
0.324,33.09,152.23,0.15,-152.2,60.3,4751,16,8,-0.032,0.6552,rsi_reversal_9ce48976,GBPJPY,M1,5,37,63,0.03,0.05,fixed,fixed,True,15,False,0,london,3p,5p,1.0,-33.4,1038,-118.8,3713,0.0,0
0.3577,35.17,118.33,0.12,-118.17,63.7,3955,18,6,-0.0299,0.6593,rsi_reversal_5f9a12fc,GBPJPY,M1,7,37,63,0.05,0.1,fixed,fixed,True,0,False,0,newyork,5p,10p,1.1,0.0,0,-46.31,1363,-71.86,2592
0.3399,33.8,68.91,0.07,-68.77,60.1,2299,14,6,-0.0299,0.6659,rsi_reversal_d483a786,GBPJPY,M1,5,35,65,0.05,0.03,fixed,fixed,True,15,True,30,newyork,5p,3p,1.0,0.0,0,-24.1,801,-44.67,1498
0.3415,33.22,55.54,0.06,-55.45,62.0,1776,12,8,-0.0312,0.6864,rsi_reversal_84575283,GBPJPY,M1,6,33,67,0.1,0.03,fixed,fixed,True,15,True,120,newyork,10p,3p,1.0,0.0,0,-20.9,658,-34.55,1118
0.327,33.55,138.6,0.14,-138.6,63.7,4268,18,9,-0.0325,0.6477,rsi_reversal_d1fe591b,GBPJPY,M1,6,37,63,0.05,0.1,fixed,fixed,True,0,False,0,london,5p,10p,1.1,-27.83,923,-110.77,3345,0.0,0
0.3725,36.24,123.68,0.12,-123.57,68.4,4128,16,7,-0.0299,0.6553,rsi_reversal_60828e6b,GBPJPY,M1,7,38,62,0.08,0.1,fixed,fixed,True,30,False,0,newyork,8p,10p,1.1,0.0,0,-49.68,1413,-73.89,2715
