pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,name,sym,tf,sig_type,cat,tp_d,sl_d,sess,lv,be,trail,trail_type,mb,hold_m,pnl_tokyo,tr_tokyo,pnl_london,tr_london,pnl_newyork,tr_newyork
0.7575,20.61,5.61,0.01,-4.94,577.3,262,19,3,-0.0188,2.9178,donchian_break_1f76c154,EURJPY,M1,donchian_break,breakout,A×3.0,A×1.0,newyork,True,False,False,,30,9.6,0.0,0,-0.69,82,-4.24,180
0.7778,30.19,0.86,0.0,-0.54,204.9,53,9,2,-0.0101,1.7987,atr_break_905cadfc,EURJPY,M1,atr_break,breakout,A×3.0,A×0.7,newyork,True,False,True,atr_mult,60,3.4,0.0,0,-0.29,22,-0.25,31
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_1f0b433c,EURJPY,M1,atr_break,breakout,A×4.0,A×1.0,newyork,True,False,True,fixed,30,0.0,0.0,0,0.0,0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_e4a26b09,EURJPY,M1,atr_break,breakout,A×2.0,A×0.7,london,True,True,True,atr_mult,60,0.0,0.0,0,0.0,0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,wick_reversal_7e7e86b5,EURJPY,M1,wick_reversal,mean_reversion,A×3.0,A×0.7,london,False,True,True,fixed,60,0.0,0.0,0,0.0,0,0.0,0
0.7091,43.13,5.45,0.01,-5.45,159.2,422,7,6,-0.0129,0.935,bb_bounce_2ced6a63,EURJPY,M1,bb_bounce,mean_reversion,A×3.0,A×1.0,newyork,True,False,True,fixed,120,2.7,0.0,0,-2.09,141,-3.36,281
1.041,48.52,1.49,0.0,0.44,146.0,270,11,10,0.0016,1.1046,donchian_break_f7bef23e,EURJPY,M1,donchian_break,breakout,A×2.5,A×1.0,newyork,True,True,True,fixed,30,2.4,0.0,0,-0.09,83,0.53,187
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_45ac71be,EURJPY,M1,atr_break,breakout,15p,7p,london,False,True,False,,0,0.0,0.0,0,0.0,0,0.0,0
0.972,56.35,4.73,0.0,-1.74,349.4,1205,6,9,-0.0014,0.7529,wick_reversal_988816e8,EURJPY,M1,wick_reversal,mean_reversion,A×3.0,A×1.5,london,True,True,False,,30,5.8,0.87,251,-2.62,954,0.0,0
0.9023,44.8,12.24,0.01,-12.12,250.3,2444,18,13,-0.005,1.1116,wick_reversal_fdb266ee,EURJPY,M1,wick_reversal,mean_reversion,A×3.0,A×1.0,newyork,False,True,True,atr_mult,0,4.2,0.0,0,-7.9,822,-4.22,1622
0.5799,44.68,1.12,0.0,-1.02,149.4,47,6,3,-0.0216,0.718,atr_break_e0d8ef3f,EURJPY,M1,atr_break,breakout,15p,15p,london,True,True,True,atr_mult,30,2.5,-0.44,9,-0.57,38,0.0,0
0.7014,45.24,1.12,0.0,-0.66,218.6,42,4,3,-0.0157,0.849,hilo_break_d0d5f10a,EURJPY,M1,hilo_break,breakout,A×2.0,A×1.0,newyork,True,True,True,atr_mult,0,3.6,0.0,0,-0.62,17,-0.04,25
0.7663,37.01,42.28,0.04,-41.03,122.6,4310,18,7,-0.0095,1.3044,wick_reversal_c8ddf2ae,EURJPY,M1,wick_reversal,mean_reversion,20p,10p,london,False,True,True,atr_mult,60,2.0,-4.85,972,-36.17,3338,0.0,0
0.8702,40.51,3.28,0.0,-1.57,115.2,311,7,7,-0.0051,1.2777,donchian_break_91b86314,EURJPY,M1,donchian_break,breakout,20p,10p,newyork,False,True,True,atr_mult,0,1.9,0.0,0,-0.56,96,-1.01,215
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_0d2d9bc3,EURJPY,M1,atr_break,breakout,A×5.0,A×1.5,london,False,True,True,atr_mult,120,0.0,0.0,0,0.0,0,0.0,0
0.8485,46.22,19.82,0.02,-18.45,274.7,2302,10,11,-0.008,0.9872,wick_reversal_4b482a60,EURJPY,M1,wick_reversal,mean_reversion,A×2.5,A×1.0,london,False,True,True,atr_mult,30,4.6,-0.5,518,-17.96,1784,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_a457b0d8,EURJPY,M1,atr_break,breakout,15p,15p,newyork,False,True,False,,120,0.0,0.0,0,0.0,0,0.0,0
1.0949,51.57,1.89,0.0,1.63,159.3,446,6,7,0.0036,1.0282,hilo_break_a4cde957,EURJPY,M1,hilo_break,breakout,A×2.5,A×1.0,newyork,False,True,True,fixed,120,2.7,0.0,0,0.44,142,1.19,304
0.7678,51.29,6.14,0.01,-5.08,206.4,427,7,7,-0.0119,0.7293,donchian_break_5de2df8e,EURJPY,M1,donchian_break,breakout,A×5.0,A×1.5,london,True,True,True,fixed,0,3.4,-1.15,94,-3.93,333,0.0,0
0.8326,45.24,14.34,0.01,-12.77,224.9,1627,12,8,-0.0079,1.0079,wick_reversal_fc91c31b,EURJPY,M1,wick_reversal,mean_reversion,A×2.5,A×1.0,london,True,True,False,,0,3.7,-2.09,349,-10.68,1278,0.0,0
0.7647,37.92,20.91,0.02,-20.19,144.2,2178,12,8,-0.0093,1.2517,wick_reversal_35b0d0e7,EURJPY,M1,wick_reversal,mean_reversion,A×3.0,A×0.7,london,True,True,True,atr_mult,60,2.4,-4.39,462,-15.8,1716,0.0,0
1.3828,60.0,0.92,0.0,0.81,302.4,50,9,6,0.0163,0.9218,atr_break_90b5a7a0,EURJPY,M1,atr_break,breakout,A×5.0,A×1.5,newyork,True,True,True,atr_mult,30,5.0,0.0,0,-0.32,20,1.13,30
0.664,59.57,1.35,0.0,-1.02,418.7,47,4,4,-0.0218,0.4506,atr_break_ee748c8d,EURJPY,M1,atr_break,breakout,A×5.0,A×1.5,london,True,True,True,atr_mult,30,7.0,0.16,9,-1.18,38,0.0,0
0.7813,45.74,3.54,0.0,-1.54,265.6,129,10,6,-0.012,0.927,donchian_break_5dd8379a,EURJPY,M1,donchian_break,breakout,A×2.5,A×1.0,london,True,True,False,,120,4.4,-0.39,29,-1.15,100,0.0,0
0.3515,25.0,1.49,0.0,-1.33,223.5,40,11,2,-0.0333,1.0544,hilo_break_283d15b7,EURJPY,M1,hilo_break,breakout,A×3.0,A×0.7,newyork,True,False,True,atr_mult,60,3.7,0.0,0,-0.91,14,-0.42,26
0.8944,46.15,1.06,0.0,-0.28,230.8,52,5,6,-0.0053,1.0435,atr_break_8c0c432b,EURJPY,M1,atr_break,breakout,A×2.5,A×1.0,london,True,True,True,atr_mult,30,3.8,0.5,11,-0.77,41,0.0,0
0.7683,43.01,11.07,0.01,-10.85,148.0,1051,11,9,-0.0103,1.0182,bb_bounce_8706ac27,EURJPY,M1,bb_bounce,mean_reversion,A×2.5,A×1.0,newyork,True,True,True,fixed,60,2.5,0.0,0,-7.04,354,-3.81,697
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_f03a42fd,EURJPY,M1,atr_break,breakout,A×5.0,A×1.5,london,True,False,True,atr_mult,60,0.0,0.0,0,0.0,0,0.0,0
0.8445,44.15,7.64,0.01,-7.1,153.3,1085,9,9,-0.0065,1.0684,bb_bounce_744fb75b,EURJPY,M1,bb_bounce,mean_reversion,A×2.0,A×1.0,london,True,True,True,fixed,120,2.6,-2.8,230,-4.3,855,0.0,0
1.3836,62.65,1.0,0.0,1.23,204.6,83,5,7,0.0148,0.8248,atr_break_a4418e54,EURJPY,M1,atr_break,breakout,A×3.0,A×1.5,newyork,False,False,True,fixed,0,3.4,0.0,0,-0.6,29,1.83,54
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_070979f2,EURJPY,M1,atr_break,breakout,15p,5p,newyork,True,True,True,fixed,0,0.0,0.0,0,0.0,0,0.0,0
0.5547,33.56,9.67,0.01,-9.4,118.1,447,18,6,-0.021,1.0982,donchian_break_f26bde36,EURJPY,M1,donchian_break,breakout,A×2.0,A×0.7,london,True,True,True,fixed,30,2.0,-3.3,108,-6.11,339,0.0,0
0.7116,35.76,3.76,0.0,-3.27,88.4,330,9,9,-0.0099,1.2784,bb_bounce_52e7c60b,EURJPY,M1,bb_bounce,mean_reversion,20p,7p,newyork,False,False,True,fixed,60,1.5,0.0,0,-0.84,101,-2.42,229
0.7965,43.96,16.79,0.02,-16.29,186.6,1804,12,9,-0.009,1.0155,wick_reversal_727dd416,EURJPY,M1,wick_reversal,mean_reversion,A×3.0,A×1.0,london,True,True,True,atr_mult,60,3.1,-3.68,383,-12.61,1421,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_546ce838,EURJPY,M1,atr_break,breakout,A×3.0,A×1.5,newyork,True,True,False,,60,0.0,0.0,0,0.0,0,0.0,0
0.7868,44.19,17.54,0.02,-17.54,151.0,1901,12,6,-0.0092,0.9938,wick_reversal_775d08aa,EURJPY,M1,wick_reversal,mean_reversion,A×2.0,A×1.0,newyork,True,True,True,fixed,30,2.5,0.0,0,-2.26,636,-15.28,1265
0.9479,51.35,1.73,0.0,-0.83,124.1,407,7,9,-0.002,0.898,bb_bounce_7c1beb64,EURJPY,M1,bb_bounce,mean_reversion,15p,15p,london,True,False,True,fixed,60,2.1,-0.32,92,-0.51,315,0.0,0
0.6562,39.47,3.26,0.0,-2.81,76.6,228,7,7,-0.0123,1.0062,donchian_break_45fbc806,EURJPY,M1,donchian_break,breakout,15p,5p,london,True,True,False,,120,1.3,-0.59,51,-2.23,177,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_1c22c0f0,EURJPY,M1,atr_break,breakout,A×3.0,A×0.7,london,True,True,True,atr_mult,30,0.0,0.0,0,0.0,0,0.0,0
0.786,34.63,6.78,0.01,-5.02,314.3,387,14,4,-0.013,1.484,donchian_break_5fe67a01,EURJPY,M1,donchian_break,breakout,A×2.5,A×1.0,london,False,False,True,atr_mult,60,5.2,-1.75,95,-3.27,292,0.0,0
0.8195,53.01,0.94,0.0,-0.69,217.6,83,6,6,-0.0083,0.7264,atr_break_7c39323f,EURJPY,M1,atr_break,breakout,A×3.0,A×1.5,london,False,True,True,fixed,60,3.6,0.44,22,-1.12,61,0.0,0
0.9907,47.08,3.41,0.0,-0.17,340.0,342,9,8,-0.0005,1.1138,donchian_break_839c9413,EURJPY,M1,donchian_break,breakout,A×4.0,A×1.0,newyork,False,True,True,atr_mult,60,5.7,0.0,0,-0.51,113,0.35,229
0.8974,41.36,11.51,0.01,-10.89,431.5,1608,12,8,-0.0068,1.2725,wick_reversal_9422926b,EURJPY,M1,wick_reversal,mean_reversion,A×4.0,A×1.5,newyork,False,False,True,atr_mult,120,7.2,0.0,0,-6.28,544,-4.61,1064
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_53dcb7d3,EURJPY,M1,atr_break,breakout,A×3.0,A×1.5,newyork,True,True,True,fixed,0,0.0,0.0,0,0.0,0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_89f31e97,EURJPY,M1,atr_break,breakout,15p,15p,london,True,False,True,atr_mult,30,0.0,0.0,0,0.0,0,0.0,0
0.8566,37.81,9.82,0.01,-9.79,171.1,1690,12,8,-0.0058,1.4089,wick_reversal_f7d7bce9,EURJPY,M1,wick_reversal,mean_reversion,A×3.0,A×0.7,newyork,True,True,True,atr_mult,0,2.9,0.0,0,-4.19,551,-5.6,1139
0.7419,44.06,4.99,0.0,-5.0,181.3,429,10,8,-0.0116,0.9421,bb_bounce_98b86673,EURJPY,M1,bb_bounce,mean_reversion,A×2.5,A×1.0,newyork,True,True,True,atr_mult,60,3.0,0.0,0,-1.59,141,-3.4,288
0.9233,51.92,0.81,0.0,-0.19,138.5,52,5,7,-0.0037,0.8549,atr_break_09939ab2,EURJPY,M1,atr_break,breakout,15p,15p,newyork,True,True,True,atr_mult,120,2.3,0.0,0,-0.06,21,-0.13,31
0.7323,40.21,3.01,0.0,-2.51,83.3,291,11,6,-0.0086,1.0891,bb_bounce_e143396c,EURJPY,M1,bb_bounce,mean_reversion,15p,7p,london,False,True,True,atr_mult,120,1.4,0.37,65,-2.88,226,0.0,0
0.7068,35.59,3.39,0.0,-2.47,95.4,222,11,5,-0.0111,1.2794,hilo_break_9b390a3d,EURJPY,M1,hilo_break,breakout,20p,7p,london,True,True,True,atr_mult,120,1.6,-0.55,48,-1.92,174,0.0,0
0.9435,35.73,6.08,0.01,-1.96,702.6,417,16,5,-0.0047,1.6971,hilo_break_d6207e3b,EURJPY,M1,hilo_break,breakout,A×3.0,A×1.5,newyork,False,False,True,atr_mult,60,11.7,0.0,0,1.61,135,-3.57,282
0.8856,50.85,4.58,0.0,-3.81,125.2,879,9,9,-0.0043,0.8559,bb_bounce_6f98dcd7,EURJPY,M1,bb_bounce,mean_reversion,15p,15p,london,False,True,True,fixed,120,2.1,1.37,193,-5.18,686,0.0,0
0.7207,34.32,10.59,0.01,-10.07,125.3,810,9,9,-0.0124,1.3791,donchian_break_89dac2c3,EURJPY,M1,donchian_break,breakout,20p,10p,london,False,False,True,atr_mult,60,2.1,-3.92,188,-6.15,622,0.0,0
1.1423,55.24,0.92,0.0,1.26,211.1,210,5,9,0.006,0.9257,hilo_break_8e47c28a,EURJPY,M1,hilo_break,breakout,A×5.0,A×1.5,newyork,True,True,True,fixed,0,3.5,0.0,0,1.13,66,0.13,144
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,wick_reversal_a29cac32,EURJPY,M1,wick_reversal,mean_reversion,15p,5p,newyork,False,False,True,atr_mult,60,0.0,0.0,0,0.0,0,0.0,0
0.7122,37.34,3.97,0.0,-3.73,115.6,316,9,5,-0.0118,1.1951,bb_bounce_d59ec7a2,EURJPY,M1,bb_bounce,mean_reversion,20p,10p,newyork,False,True,False,,30,1.9,0.0,0,-0.89,98,-2.84,218
0.5185,12.5,4.06,0.0,-4.06,641.2,96,32,3,-0.0423,3.6294,bb_bounce_a5c89c28,EURJPY,M1,bb_bounce,mean_reversion,A×3.0,A×1.0,newyork,True,False,False,,120,10.7,0.0,0,-0.91,30,-3.16,66
0.8356,40.7,7.24,0.01,-6.87,106.2,1150,9,7,-0.006,1.2177,bb_bounce_0162e8de,EURJPY,M1,bb_bounce,mean_reversion,20p,10p,london,True,False,True,fixed,0,1.8,-0.99,242,-5.88,908,0.0,0
1.0821,38.58,2.87,0.0,1.53,353.9,337,14,5,0.0045,1.723,hilo_break_8ec48075,EURJPY,M1,hilo_break,breakout,A×3.0,A×1.0,newyork,False,False,True,atr_mult,60,5.9,0.0,0,1.02,107,0.51,230
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_d5aa4feb,EURJPY,M1,atr_break,breakout,A×4.0,A×1.0,london,True,False,True,fixed,60,0.0,0.0,0,0.0,0,0.0,0
1.0152,44.98,1.9,0.0,0.18,405.1,209,9,10,0.0008,1.242,hilo_break_66b4d157,EURJPY,M1,hilo_break,breakout,A×5.0,A×1.5,newyork,True,False,True,atr_mult,120,6.8,0.0,0,1.36,69,-1.18,140
0.7195,41.27,1.64,0.0,-1.14,82.4,126,8,4,-0.009,1.0239,bb_bounce_0da50eda,EURJPY,M1,bb_bounce,mean_reversion,15p,7p,london,True,True,True,fixed,30,1.4,0.11,30,-1.25,96,0.0,0
0.8417,50.55,3.26,0.0,-2.37,302.6,275,9,8,-0.0086,0.8235,hilo_break_c912a535,EURJPY,M1,hilo_break,breakout,A×3.0,A×1.5,newyork,True,True,True,atr_mult,0,5.0,0.0,0,0.13,90,-2.49,185
0.7591,37.02,11.52,0.01,-10.82,151.2,1121,14,7,-0.0097,1.2914,bb_bounce_80772557,EURJPY,M1,bb_bounce,mean_reversion,A×3.0,A×0.7,london,True,True,True,atr_mult,0,2.5,-1.34,240,-9.48,881,0.0,0
0.7675,45.52,2.24,0.0,-1.69,196.1,145,5,5,-0.0116,0.9186,donchian_break_82b138ea,EURJPY,M1,donchian_break,breakout,A×2.0,A×1.0,newyork,True,True,True,atr_mult,60,3.3,0.0,0,-0.32,46,-1.37,99
0.6671,36.43,4.68,0.0,-4.02,116.1,280,18,4,-0.0143,1.1641,donchian_break_25f3df9e,EURJPY,M1,donchian_break,breakout,A×3.0,A×0.7,london,False,True,True,fixed,60,1.9,-1.17,69,-2.85,211,0.0,0
1.0252,57.71,3.19,0.0,0.42,218.1,376,7,8,0.0011,0.7512,donchian_break_fb8115a7,EURJPY,M1,donchian_break,breakout,A×4.0,A×1.5,newyork,False,False,True,fixed,120,3.6,0.0,0,0.65,122,-0.22,254
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_ae3a01fc,EURJPY,M1,atr_break,breakout,A×5.0,A×1.5,london,False,True,True,atr_mult,60,0.0,0.0,0,0.0,0,0.0,0
0.8541,38.3,2.45,0.0,-1.42,187.7,235,11,5,-0.006,1.376,donchian_break_012c8fa5,EURJPY,M1,donchian_break,breakout,A×3.0,A×0.7,newyork,True,True,True,atr_mult,30,3.1,0.0,0,-1.25,82,-0.17,153
0.7569,51.34,3.61,0.0,-2.24,224.0,187,7,10,-0.012,0.7174,hilo_break_1389711c,EURJPY,M1,hilo_break,breakout,A×4.0,A×1.5,london,True,True,True,fixed,60,3.7,-0.22,39,-2.01,148,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_ad672b79,EURJPY,M1,atr_break,breakout,A×2.0,A×1.0,london,False,False,False,,30,0.0,0.0,0,0.0,0,0.0,0
0.7197,41.05,51.23,0.05,-49.95,74.3,5676,16,8,-0.0088,1.0336,wick_reversal_71932ab9,EURJPY,M1,wick_reversal,mean_reversion,15p,5p,london,False,True,True,fixed,120,1.2,-7.18,1268,-42.77,4408,0.0,0
0.9397,48.0,2.43,0.0,-0.52,295.9,175,7,10,-0.003,1.018,donchian_break_c79512f6,EURJPY,M1,donchian_break,breakout,A×4.0,A×1.5,newyork,True,False,True,atr_mult,60,4.9,0.0,0,0.06,61,-0.58,114
0.8438,54.98,13.12,0.01,-11.27,329.0,1295,10,13,-0.0087,0.691,wick_reversal_dd0273f1,EURJPY,M1,wick_reversal,mean_reversion,A×3.0,A×1.5,newyork,True,True,True,atr_mult,60,5.5,0.0,0,-5.04,438,-6.23,857
1.0475,46.04,0.86,0.0,0.23,119.1,139,5,5,0.0017,1.2275,donchian_break_b5fb8084,EURJPY,M1,donchian_break,breakout,A×3.0,A×0.7,newyork,True,False,True,fixed,60,2.0,0.0,0,-0.38,42,0.61,97
0.7282,47.66,21.47,0.02,-21.43,304.3,1322,10,8,-0.0162,0.7999,wick_reversal_bef0a642,EURJPY,M1,wick_reversal,mean_reversion,A×5.0,A×1.5,newyork,True,True,True,atr_mult,0,5.1,0.0,0,-6.8,446,-14.63,876
0.865,34.28,12.4,0.01,-11.4,285.4,1619,13,8,-0.007,1.6583,wick_reversal_1edffecc,EURJPY,M1,wick_reversal,mean_reversion,A×4.0,A×1.0,newyork,True,False,True,atr_mult,0,4.8,0.0,0,-0.67,534,-10.73,1085
