pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,name,sym,sig,tp,sl,sess,lv,be,trail,mb,ab_period,ab_mult,hold_m,hl_lb,hl_cb,bb_p,bb_std
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_5f737d01,EURJPY,atr_break,A×4.0,A×1.5,london,True,False,True,120,20.0,1.8,0.0,,,,
1.0307,48.0,0.74,0.0,0.07,240.0,50,9,6,0.0014,1.1166,atr_break_ad193c09,EURJPY,atr_break,A×4.0,A×1.0,newyork,True,True,True,30,14.0,1.0,4.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_b735bdea,EURJPY,atr_break,A×3.0,A×0.7,london,True,True,True,120,14.0,2.0,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_5b21f694,EURJPY,atr_break,A×5.0,A×1.5,london,True,True,True,0,12.0,1.5,0.0,,,,
0.6229,48.0,1.89,0.0,-1.29,312.0,50,7,5,-0.0257,0.6748,atr_break_c438674a,EURJPY,atr_break,A×5.0,A×1.5,london,True,True,True,30,10.0,1.0,5.2,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_7c33919f,EURJPY,atr_break,A×3.0,A×0.7,london,True,True,True,30,12.0,2.0,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_44176cb9,EURJPY,atr_break,A×3.0,A×0.7,newyork,True,True,True,0,16.0,1.8,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_4f4c5826,EURJPY,atr_break,A×5.0,A×2.0,newyork,True,False,True,30,20.0,2.0,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_310c7290,EURJPY,atr_break,A×3.0,A×1.5,london,True,False,True,120,10.0,1.8,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_8fdd3460,EURJPY,atr_break,A×3.0,A×1.0,newyork,False,True,True,30,16.0,2.5,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_231e0239,EURJPY,atr_break,A×4.0,A×1.5,london,True,True,True,120,16.0,2.5,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_ece8bf9c,EURJPY,atr_break,A×4.0,A×1.5,newyork,True,True,True,60,14.0,1.5,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_3e94010b,EURJPY,atr_break,A×4.0,A×1.0,london,True,False,True,120,20.0,2.0,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_d849a197,EURJPY,atr_break,A×2.5,A×1.0,london,True,False,True,60,7.0,1.5,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_d6334892,EURJPY,atr_break,A×5.0,A×1.5,london,True,True,False,30,5.0,2.5,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_d3ec35a6,EURJPY,atr_break,A×3.0,A×1.0,newyork,False,False,True,0,16.0,2.0,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_5faa0639,EURJPY,atr_break,A×3.0,A×0.7,london,False,True,True,30,16.0,1.8,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_6c792c83,EURJPY,atr_break,A×3.0,A×1.5,london,False,True,True,30,16.0,2.5,0.0,,,,
1.267,59.62,0.68,0.0,0.79,303.5,52,3,5,0.0152,0.8583,atr_break_399687a7,EURJPY,atr_break,A×4.0,A×1.5,newyork,True,True,True,0,5.0,1.0,5.1,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_cba2af28,EURJPY,atr_break,A×3.0,A×0.7,london,True,False,False,30,5.0,2.0,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_02531a30,EURJPY,atr_break,A×4.0,A×1.0,london,False,False,True,120,12.0,1.5,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_ff407a7b,EURJPY,atr_break,A×2.0,A×0.7,london,True,False,True,60,14.0,2.0,0.0,,,,
1.4696,50.0,0.32,0.0,0.46,411.0,20,3,3,0.0228,1.4696,atr_break_bee51be7,EURJPY,atr_break,A×4.0,A×1.0,newyork,False,False,True,60,12.0,1.2,6.8,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_510b2118,EURJPY,atr_break,A×5.0,A×2.0,newyork,True,False,False,0,14.0,1.5,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_65e62b42,EURJPY,atr_break,A×2.0,A×0.7,newyork,False,False,True,30,10.0,2.5,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_edbd1c5c,EURJPY,atr_break,A×2.5,A×1.0,newyork,True,True,True,120,16.0,2.0,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_eacd2f37,EURJPY,atr_break,A×6.0,A×1.5,london,True,True,True,120,14.0,2.5,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_b5a4cc7d,EURJPY,atr_break,A×2.5,A×1.0,london,True,True,True,120,5.0,1.8,0.0,,,,
0.3213,40.0,0.73,0.0,-0.69,306.0,10,4,2,-0.0693,0.4819,atr_break_2adee348,EURJPY,atr_break,A×6.0,A×1.5,london,True,True,True,120,10.0,1.2,5.1,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_4714dda4,EURJPY,atr_break,A×4.0,A×1.0,newyork,True,True,False,30,20.0,1.5,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_965f7e9c,EURJPY,atr_break,A×4.0,A×1.5,london,True,False,True,60,16.0,2.5,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_1cff7a7f,EURJPY,atr_break,A×4.0,A×1.0,london,True,False,True,0,16.0,1.5,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_0c71f981,EURJPY,atr_break,A×3.0,A×1.0,newyork,False,True,True,30,5.0,1.5,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_24f60e3b,EURJPY,atr_break,A×3.0,A×1.0,newyork,True,True,True,0,12.0,2.5,0.0,,,,
1.2311,53.01,1.11,0.0,0.87,298.6,83,8,5,0.0104,1.0912,atr_break_0502777a,EURJPY,atr_break,A×3.0,A×1.5,newyork,False,False,True,30,14.0,1.0,5.0,,,,
0.803,41.3,0.93,0.0,-0.36,167.0,46,8,5,-0.0079,1.1411,atr_break_0592276d,EURJPY,atr_break,A×2.0,A×0.7,newyork,True,True,False,60,20.0,1.0,2.8,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_409d62cc,EURJPY,atr_break,A×4.0,A×1.5,london,True,False,True,120,12.0,1.8,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_e8553fc7,EURJPY,atr_break,A×6.0,A×1.5,london,True,True,False,120,12.0,2.0,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_ab71c3e7,EURJPY,atr_break,A×5.0,A×2.0,london,False,True,False,30,14.0,1.8,0.0,,,,
0.0,0.0,0.52,0.0,-0.52,77.1,7,7,0,-0.0741,0.0,atr_break_a8f5cdd0,EURJPY,atr_break,A×2.0,A×0.7,london,True,False,True,30,12.0,1.2,1.3,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_d293da37,EURJPY,atr_break,A×3.0,A×1.0,london,True,False,False,0,14.0,2.5,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_8a748972,EURJPY,atr_break,A×2.5,A×1.0,london,False,True,True,120,12.0,2.0,0.0,,,,
0.9596,35.39,5.1,0.01,-0.9,345.0,373,10,5,-0.0024,1.752,atr_break_664105d1,EURJPY,atr_break,A×4.0,A×1.0,newyork,False,False,True,120,12.0,0.8,5.8,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_95f647cd,EURJPY,atr_break,A×4.0,A×1.0,newyork,True,True,True,30,8.0,1.8,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_e39493d2,EURJPY,atr_break,A×2.5,A×1.0,newyork,False,True,True,60,10.0,2.5,0.0,,,,
0.5782,33.33,0.33,0.0,-0.23,260.0,9,3,2,-0.0258,1.1564,atr_break_a695b68d,EURJPY,atr_break,A×4.0,A×1.0,london,True,True,True,0,14.0,1.2,4.3,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_a1c8189c,EURJPY,atr_break,A×2.0,A×0.7,newyork,True,True,True,120,12.0,1.8,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_104985ea,EURJPY,atr_break,A×3.0,A×1.5,london,False,True,True,30,5.0,2.5,0.0,,,,
0.7701,42.31,1.42,0.0,-1.02,249.2,78,6,4,-0.013,1.0502,atr_break_58c2965b,EURJPY,atr_break,A×2.5,A×1.0,newyork,False,True,True,30,8.0,1.0,4.2,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_182ac8c6,EURJPY,atr_break,A×5.0,A×1.5,newyork,True,False,True,0,7.0,1.5,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_1d102b0f,EURJPY,atr_break,A×5.0,A×1.5,newyork,True,True,True,120,10.0,2.5,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_05a7f51e,EURJPY,atr_break,A×2.5,A×1.0,newyork,True,True,True,120,10.0,1.8,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_df303f54,EURJPY,atr_break,A×2.5,A×1.0,london,True,True,True,30,14.0,1.5,0.0,,,,
1.0056,20.56,5.47,0.01,0.16,764.1,321,16,4,0.0005,3.8854,atr_break_17efff84,EURJPY,atr_break,A×3.0,A×1.0,newyork,False,False,False,120,20.0,0.8,12.7,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_9895c998,EURJPY,atr_break,A×4.0,A×1.0,newyork,True,False,True,120,5.0,2.0,0.0,,,,
0.7856,35.5,2.33,0.0,-2.13,148.8,231,14,4,-0.0092,1.4275,atr_break_69e2643f,EURJPY,atr_break,A×2.0,A×0.7,newyork,True,True,True,30,5.0,0.8,2.5,,,,
0.771,51.72,1.52,0.0,-0.99,298.6,87,6,4,-0.0113,0.7196,atr_break_34cf7ed0,EURJPY,atr_break,A×4.0,A×1.0,london,False,True,True,120,8.0,1.0,5.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_8b3fee5d,EURJPY,atr_break,A×5.0,A×2.0,newyork,True,True,False,30,5.0,2.5,0.0,,,,
1.0323,35.0,0.49,0.0,0.03,186.0,20,6,3,0.0016,1.9172,atr_break_d18d3b2f,EURJPY,atr_break,A×2.0,A×0.7,newyork,False,True,True,0,10.0,1.2,3.1,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_8aa0eb93,EURJPY,atr_break,A×2.0,A×0.7,newyork,True,False,True,0,16.0,2.0,0.0,,,,
0.7778,30.19,0.86,0.0,-0.54,204.9,53,9,2,-0.0101,1.7987,atr_break_fdc39748,EURJPY,atr_break,A×3.0,A×0.7,newyork,True,False,True,30,14.0,1.0,3.4,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_d9618a2c,EURJPY,atr_break,A×4.0,A×1.5,london,False,False,True,120,8.0,2.5,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_64ae7526,EURJPY,atr_break,A×3.0,A×1.5,london,True,True,False,60,5.0,1.8,0.0,,,,
1.0874,52.38,1.18,0.0,0.35,287.9,84,8,5,0.0042,0.9885,atr_break_e49d5bab,EURJPY,atr_break,A×2.5,A×1.0,newyork,False,True,True,120,14.0,1.0,4.8,,,,
0.679,15.14,3.85,0.0,-3.63,365.5,185,16,2,-0.0196,3.8071,atr_break_a99c81f2,EURJPY,atr_break,A×3.0,A×0.7,london,True,False,False,60,20.0,0.8,6.1,,,,
0.8009,50.0,0.35,0.0,-0.13,222.9,14,3,3,-0.0094,0.8009,atr_break_4c292888,EURJPY,atr_break,A×4.0,A×1.0,london,False,True,True,30,16.0,1.2,3.7,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_b180e724,EURJPY,atr_break,A×6.0,A×1.5,london,True,True,False,60,8.0,1.8,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_85c15e25,EURJPY,atr_break,A×3.0,A×1.5,newyork,True,True,True,0,12.0,2.5,0.0,,,,
1.2129,65.06,1.44,0.0,0.8,353.5,83,7,8,0.0097,0.6514,atr_break_593cf57b,EURJPY,atr_break,A×3.0,A×1.5,london,False,True,True,0,20.0,1.0,5.9,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_1ae58e3a,EURJPY,atr_break,A×5.0,A×1.5,london,True,True,False,120,7.0,2.5,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_a03bee90,EURJPY,atr_break,A×4.0,A×1.5,newyork,True,True,True,30,5.0,2.0,0.0,,,,
0.2059,25.0,0.68,0.0,-0.68,270.0,8,4,1,-0.0844,0.6176,atr_break_9d8ea93c,EURJPY,atr_break,A×4.0,A×1.5,london,True,True,True,30,12.0,1.2,4.5,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_5cb3b90e,EURJPY,atr_break,A×3.0,A×0.7,london,False,False,True,120,14.0,1.5,0.0,,,,
0.9415,52.94,0.73,0.0,-0.15,251.8,51,6,6,-0.0029,0.8368,atr_break_a70d8482,EURJPY,atr_break,A×3.0,A×1.5,london,True,True,True,60,8.0,1.0,4.2,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_606e5e3a,EURJPY,atr_break,A×2.0,A×0.7,london,False,True,True,30,5.0,1.8,0.0,,,,
1.0793,51.48,1.8,0.0,1.34,274.1,338,10,6,0.004,1.0172,atr_break_fe2f9f7d,EURJPY,atr_break,A×6.0,A×1.5,london,False,True,True,30,5.0,0.8,4.6,,,,
1.0912,26.62,2.24,0.0,1.72,1752.5,139,11,3,0.0124,3.0081,atr_break_65fb9db7,EURJPY,atr_break,A×4.0,A×1.5,newyork,True,False,False,0,20.0,0.8,29.2,,,,
0.0,0.0,0.04,0.0,-0.04,120.0,1,1,0,-0.043,0.0,atr_break_795f0198,EURJPY,atr_break,A×2.5,A×1.0,london,True,False,True,30,8.0,1.5,2.0,,,,
2.1347,50.0,0.22,0.0,0.34,157.5,8,3,2,0.0421,2.1347,atr_break_1e1216cc,EURJPY,atr_break,A×2.0,A×0.7,newyork,True,False,True,60,5.0,1.2,2.6,,,,
0.7492,55.96,2.65,0.0,-2.61,439.6,193,5,11,-0.0135,0.5897,atr_break_ab8faf53,EURJPY,atr_break,A×5.0,A×1.5,london,True,True,False,0,14.0,0.8,7.3,,,,
0.3101,40.0,0.86,0.0,-0.83,390.0,10,3,2,-0.083,0.4651,atr_break_54cc9201,EURJPY,atr_break,A×3.0,A×1.5,london,True,True,True,60,10.0,1.2,6.5,,,,
0.9875,42.17,1.39,0.0,-0.05,411.3,83,12,4,-0.0006,1.3543,atr_break_d3ac691f,EURJPY,atr_break,A×4.0,A×1.5,newyork,False,False,True,0,14.0,1.0,6.9,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_46e72da5,EURJPY,atr_break,A×6.0,A×1.5,london,True,True,True,0,12.0,2.5,0.0,,,,
0.1269,37.5,0.91,0.0,-0.87,390.0,8,4,2,-0.1084,0.2115,atr_break_de8d13e7,EURJPY,atr_break,A×5.0,A×1.5,london,True,True,True,30,20.0,1.2,6.5,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_5302418b,EURJPY,atr_break,A×2.5,A×1.0,newyork,False,True,True,0,8.0,2.5,0.0,,,,
0.9815,69.81,1.25,0.0,-0.05,510.6,53,3,11,-0.001,0.4244,atr_break_de1abefe,EURJPY,atr_break,A×6.0,A×1.5,newyork,True,True,False,30,14.0,1.0,8.5,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_5009b984,EURJPY,atr_break,A×2.0,A×0.7,london,False,True,False,60,14.0,1.8,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_113807e6,EURJPY,atr_break,A×5.0,A×1.5,london,True,True,True,30,14.0,2.0,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_f3f4c82f,EURJPY,atr_break,A×4.0,A×1.0,london,True,False,True,60,10.0,1.8,0.0,,,,
1.7641,55.56,0.29,0.0,0.39,313.3,9,3,3,0.0436,1.4113,atr_break_c4c9ccaf,EURJPY,atr_break,A×3.0,A×1.5,newyork,True,True,True,60,5.0,1.2,5.2,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_025589d2,EURJPY,atr_break,A×2.5,A×1.0,london,True,False,True,30,16.0,2.0,0.0,,,,
0.6841,62.5,1.66,0.0,-1.06,447.5,48,3,7,-0.022,0.4105,atr_break_c06fbcc9,EURJPY,atr_break,A×5.0,A×2.0,newyork,True,True,True,30,16.0,1.0,7.5,,,,
1.084,32.77,3.69,0.0,1.75,1187.8,177,13,3,0.0099,2.2242,atr_break_d0675dfa,EURJPY,atr_break,A×3.0,A×1.5,newyork,True,False,False,0,10.0,0.8,19.8,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_4632eaea,EURJPY,atr_break,A×3.0,A×1.5,london,False,False,True,0,5.0,1.5,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_77acec5a,EURJPY,atr_break,A×3.0,A×1.0,london,True,True,True,0,7.0,1.5,0.0,,,,
0.9511,56.82,1.31,0.0,-0.13,391.4,44,8,7,-0.0029,0.7228,atr_break_25b1a2d1,EURJPY,atr_break,A×6.0,A×1.5,newyork,True,True,True,0,20.0,1.0,6.5,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_24033723,EURJPY,atr_break,A×5.0,A×1.5,london,True,True,False,0,8.0,2.0,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_0356c0b1,EURJPY,atr_break,A×4.0,A×1.0,london,False,True,True,120,14.0,2.0,0.0,,,,
1.1035,49.47,2.46,0.0,2.03,311.7,374,9,6,0.0054,1.1273,atr_break_06e73b36,EURJPY,atr_break,A×5.0,A×1.5,london,False,False,True,30,16.0,0.8,5.2,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_629c4be3,EURJPY,atr_break,A×3.0,A×1.0,london,True,False,True,120,16.0,1.5,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_df070e84,EURJPY,atr_break,A×2.0,A×0.7,newyork,True,False,True,30,5.0,2.5,0.0,,,,
0.863,66.0,1.12,0.0,-0.35,517.2,50,3,6,-0.007,0.4446,atr_break_87b92f97,EURJPY,atr_break,A×4.0,A×1.5,london,True,True,False,0,8.0,1.0,8.6,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_3a67e84c,EURJPY,atr_break,A×5.0,A×1.5,london,True,True,True,60,14.0,1.5,0.0,,,,
