name,sym,sig,is_pf,oos_pf,oos_is,windows
atr_break_399687a7,EURJPY,atr_break,0.668,0.899,1.346,4
atr_break_0502777a,EURJPY,atr_break,0.738,0.935,1.267,4
atr_break_593cf57b,EURJPY,atr_break,1.24,1.148,0.926,4
atr_break_ab8faf53,EURJPY,atr_break,0.952,1.043,1.095,4
atr_break_d0675dfa,EURJPY,atr_break,0.746,0.736,0.987,4
atr_break_06e73b36,EURJPY,atr_break,0.912,1.075,1.179,4
atr_break_349ba344,EURJPY,atr_break,1.049,1.086,1.035,4
atr_break_80f84e46,EURJPY,atr_break,0.825,0.793,0.961,4
atr_break_eacfb318,EURJPY,atr_break,0.827,1.379,1.667,4
atr_break_56591bc1,EURJPY,atr_break,0.875,1.743,1.992,4
atr_break_50bd79db,EURJPY,atr_break,0.861,0.794,0.922,4
atr_break_beef6a93,EURJPY,atr_break,0.843,0.534,0.634,4
atr_break_0ee74b65,EURJPY,atr_break,0.755,1.252,1.659,4
hilo_break_f9921215,EURJPY,hilo_break,1.201,1.131,0.942,4
hilo_break_00369025,EURJPY,hilo_break,1.549,1.428,0.922,4
hilo_break_d5572633,EURJPY,hilo_break,0.853,1.0,1.173,4
hilo_break_b87f035e,EURJPY,hilo_break,1.178,1.053,0.894,4
hilo_break_989eabaa,EURJPY,hilo_break,1.017,0.807,0.794,4
hilo_break_80ddd660,EURJPY,hilo_break,1.09,1.596,1.464,4
hilo_break_57debe3f,EURJPY,hilo_break,0.929,1.103,1.188,4
hilo_break_01f007b6,EURJPY,hilo_break,0.561,1.257,2.24,4
hilo_break_792c002e,EURJPY,hilo_break,0.849,1.067,1.257,4
hilo_break_62e0d539,EURJPY,hilo_break,0.646,0.912,1.413,4
hilo_break_266d7125,EURJPY,hilo_break,1.791,1.321,0.738,4
hilo_break_72fe12cf,EURJPY,hilo_break,0.808,1.035,1.282,4
hilo_break_ae8019a0,EURJPY,hilo_break,0.752,1.121,1.491,4
hilo_break_1b46a381,EURJPY,hilo_break,0.614,0.767,1.25,4
bb_bounce_d0bc072e,EURJPY,bb_bounce,0.982,0.811,0.826,4
bb_bounce_e758a078,EURJPY,bb_bounce,0.831,0.723,0.871,4
bb_bounce_307220f1,EURJPY,bb_bounce,0.956,0.952,0.996,4
bb_bounce_3a650492,EURJPY,bb_bounce,0.781,0.777,0.995,4
bb_bounce_1f99b61b,EURJPY,bb_bounce,0.788,1.024,1.299,4
bb_bounce_cf2b95a6,EURJPY,bb_bounce,0.68,0.721,1.061,4
bb_bounce_e7dcc942,EURJPY,bb_bounce,0.617,0.75,1.215,4
bb_bounce_b27af868,EURJPY,bb_bounce,1.117,1.127,1.009,4
bb_bounce_5016f3f9,EURJPY,bb_bounce,0.658,0.652,0.99,4
bb_bounce_4396754b,EURJPY,bb_bounce,1.184,1.167,0.986,4
atr_break_399687a7,GBPJPY,atr_break,1.093,1.428,1.306,4
atr_break_0502777a,GBPJPY,atr_break,1.05,0.964,0.918,4
atr_break_593cf57b,GBPJPY,atr_break,0.944,1.557,1.65,4
atr_break_ab8faf53,GBPJPY,atr_break,1.008,0.923,0.915,4
atr_break_d0675dfa,GBPJPY,atr_break,0.84,0.94,1.119,4
atr_break_06e73b36,GBPJPY,atr_break,0.876,0.889,1.014,4
atr_break_349ba344,GBPJPY,atr_break,0.94,0.775,0.825,4
atr_break_80f84e46,GBPJPY,atr_break,0.733,0.851,1.161,4
atr_break_eacfb318,GBPJPY,atr_break,0.946,1.989,2.103,4
atr_break_56591bc1,GBPJPY,atr_break,0.828,0.635,0.767,4
atr_break_50bd79db,GBPJPY,atr_break,1.226,1.643,1.34,4
atr_break_beef6a93,GBPJPY,atr_break,0.894,0.924,1.033,4
atr_break_0ee74b65,GBPJPY,atr_break,0.667,0.804,1.205,4
hilo_break_f9921215,GBPJPY,hilo_break,0.785,1.018,1.297,4
hilo_break_00369025,GBPJPY,hilo_break,1.288,3.106,2.412,4
hilo_break_d5572633,GBPJPY,hilo_break,0.894,0.791,0.884,4
hilo_break_b87f035e,GBPJPY,hilo_break,1.158,0.953,0.823,4
hilo_break_989eabaa,GBPJPY,hilo_break,0.991,0.889,0.897,4
hilo_break_80ddd660,GBPJPY,hilo_break,0.657,0.548,0.833,4
hilo_break_57debe3f,GBPJPY,hilo_break,0.883,1.595,1.806,4
hilo_break_01f007b6,GBPJPY,hilo_break,0.643,1.638,2.547,4
hilo_break_792c002e,GBPJPY,hilo_break,0.54,0.959,1.775,4
