strategy_name,symbol,timeframe,session,pf,winrate,max_dd_pct,trade_count,avg_hold_min,total_pnl,expectancy,payoff_ratio,max_consecutive_losses,has_htf,htf_period,has_bb_touch,bb_touch_period,bb_touch_std,has_atr_low_vola,atr_low_vola_lb,has_wick_dir,wick_ratio,n_struct_filters,tp_type,sl_type,has_breakeven,max_bars,pnl_tokyo,pnl_london,pnl_newyork,trades_tokyo,trades_london,trades_newyork
rsi_reversal_ddeac5f0,GBPJPY,M5,london,1.1362,46.67,0.0,30,64.0,0.43,0.0145,1.2985,4,False,0,False,0,0.0,True,100,False,0.0,1,fixed,fixed,True,120,-0.49,0.92,0.0,4,26,0
rsi_reversal_a6e7184a,GBPJPY,M5,london,1.1289,50.0,0.0,30,46.3,0.39,0.0131,1.1289,4,False,0,False,0,0.0,True,60,False,0.0,1,atr_mult,fixed,True,0,-0.51,0.91,0.0,5,25,0
rsi_reversal_006502b5,GBPJPY,M5,london,1.0919,46.67,0.0,30,50.3,0.29,0.0095,1.2479,4,False,0,False,0,0.0,True,100,False,0.0,1,atr_mult,fixed,True,0,-0.32,0.61,0.0,4,26,0
rsi_reversal_17e788d9,GBPJPY,M5,london,1.0603,24.62,0.0,65,42.8,0.34,0.0052,3.2472,10,False,0,False,0,0.0,False,0,False,0.0,0,atr_mult,fixed,True,0,0.8,-0.46,0.0,11,54,0
rsi_reversal_d16da052,GBPJPY,M5,london,1.0504,48.28,0.0,29,63.6,0.16,0.0054,1.1254,4,False,0,False,0,0.0,True,60,False,0.0,1,fixed,atr_mult,True,60,-0.8,0.95,0.0,5,24,0
rsi_reversal_bb0cb202,GBPJPY,M5,london,1.0311,51.06,0.0,47,61.7,0.17,0.0036,0.9881,5,False,0,False,0,0.0,False,0,True,0.8,1,atr_mult,atr_mult,True,0,0.34,-0.16,0.0,9,38,0
rsi_reversal_d8151e1f,GBPJPY,M5,london,0.99,65.22,0.0,23,70.9,-0.02,-0.0008,0.528,3,False,0,True,14,2.0,False,0,False,0.0,1,atr_mult,fixed,True,60,0.46,-0.48,0.0,5,18,0
rsi_reversal_89a45537,GBPJPY,M5,london,0.9771,48.0,0.0,25,51.0,-0.07,-0.0027,1.0585,4,False,0,True,20,1.5,True,60,False,0.0,2,atr_mult,atr_mult,False,60,-0.64,0.57,0.0,5,20,0
rsi_reversal_bd95989f,GBPJPY,M5,london,0.963,25.86,0.0,58,53.9,-0.22,-0.0039,2.7607,8,False,0,False,0,0.0,False,0,False,0.0,0,fixed,atr_mult,False,60,0.68,-0.91,0.0,10,48,0
rsi_reversal_2896443b,GBPJPY,M5,london,0.9614,56.41,0.0,39,75.4,-0.19,-0.0049,0.7429,6,False,0,True,20,1.5,False,0,False,0.0,1,atr_mult,fixed,True,0,0.33,-0.52,0.0,6,33,0
rsi_reversal_d07a9a94,GBPJPY,M5,london,0.94,26.15,0.0,65,38.4,-0.33,-0.0052,2.654,8,False,0,False,0,0.0,False,0,False,0.0,0,fixed,fixed,True,120,0.49,-0.83,0.0,11,54,0
rsi_reversal_1c34eb39,GBPJPY,M5,london,0.9223,26.83,0.0,41,60.5,-0.36,-0.0087,2.5154,12,False,0,True,20,1.5,False,0,True,1.5,2,atr_mult,atr_mult,False,120,-0.02,-0.34,0.0,7,34,0
rsi_reversal_e51e9fb3,GBPJPY,M5,london,0.8961,48.57,0.0,35,40.1,-0.38,-0.0108,0.9488,4,False,0,True,30,2.0,False,0,False,0.0,1,atr_mult,fixed,True,120,-0.19,-0.19,0.0,5,30,0
rsi_reversal_bd16c9d6,GBPJPY,M5,london,0.8628,46.67,0.0,30,40.3,-0.39,-0.0129,0.986,3,False,0,False,0,0.0,True,100,False,0.0,1,atr_mult,fixed,True,0,-0.46,0.08,0.0,4,26,0
rsi_reversal_8c30b7ce,GBPJPY,M5,london,0.8597,46.67,0.0,45,38.2,-0.67,-0.0148,0.9825,6,False,0,False,0,0.0,False,0,True,1.5,1,atr_mult,fixed,False,120,0.01,-0.68,0.0,8,37,0
rsi_reversal_778c3443,GBPJPY,M5,london,0.8512,20.0,0.0,65,40.8,-0.89,-0.0137,3.4049,12,False,0,False,0,0.0,False,0,False,0.0,0,fixed,fixed,False,60,0.49,-1.38,0.0,11,54,0
rsi_reversal_a841f788,GBPJPY,M5,london,0.8477,38.46,0.0,65,25.2,-0.7,-0.0107,1.3564,8,False,0,False,0,0.0,False,0,False,0.0,0,atr_mult,fixed,True,0,0.19,-0.88,0.0,11,54,0
rsi_reversal_01bc3565,GBPJPY,M5,london,0.834,40.74,0.0,27,24.1,-0.33,-0.0121,1.2131,4,False,0,True,14,2.0,False,0,False,0.0,1,atr_mult,fixed,True,0,0.39,-0.72,0.0,5,22,0
rsi_reversal_563a61f7,GBPJPY,M5,london,0.8185,34.78,0.0,46,77.1,-1.35,-0.0293,1.5346,6,False,0,False,0,0.0,False,0,True,0.8,1,atr_mult,atr_mult,False,120,0.36,-1.71,0.0,9,37,0
rsi_reversal_ca147bf1,GBPJPY,M5,london,0.7957,57.14,0.0,49,40.8,-1.06,-0.0217,0.5967,4,False,0,False,0,0.0,False,0,False,0.0,0,fixed,atr_mult,True,60,-0.06,-1.01,0.0,9,40,0
rsi_reversal_e76eaade,GBPJPY,M5,london,0.7729,52.78,0.0,36,83.9,-1.17,-0.0324,0.6915,4,False,0,True,20,1.5,False,0,True,1.0,2,atr_mult,fixed,True,60,-0.05,-1.12,0.0,5,31,0
rsi_reversal_fb15666b,GBPJPY,M5,london,0.7728,47.83,0.0,23,25.2,-0.45,-0.0197,0.843,3,False,0,True,30,2.0,True,60,False,0.0,2,fixed,atr_mult,True,120,-0.5,0.05,0.0,4,19,0
rsi_reversal_c7d8c16b,GBPJPY,M5,london,0.7507,38.1,0.0,21,122.9,-0.96,-0.0456,1.2199,4,False,0,True,14,2.0,False,0,False,0.0,1,atr_mult,fixed,False,60,0.65,-1.61,0.0,5,16,0
rsi_reversal_1983f7b1,GBPJPY,M5,london,0.7487,36.54,0.0,52,34.2,-1.2,-0.0231,1.3005,8,False,0,False,0,0.0,False,0,True,1.0,1,atr_mult,atr_mult,True,60,-0.07,-1.13,0.0,9,43,0
