pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,name,sym,tf,sig_type,cat,tp_d,sl_d,sess,lv,be,trail,trail_type,mb,hold_m,pnl_tokyo,tr_tokyo,pnl_london,tr_london,pnl_newyork,tr_newyork
1.3869,49.71,0.9,0.0,2.38,187.7,171,6,7,0.0139,1.4032,hilo_break_eb18da08,EURJPY,M1,hilo_break,breakout,A×2.0,A×1.0,newyork,True,True,True,atr_mult,60,3.1,0.0,0,0.14,54,2.24,117
1.3737,52.53,1.08,0.0,3.19,301.7,217,6,8,0.0147,1.2412,bb_bounce_c8ffa861,USDJPY,M1,bb_bounce,mean_reversion,A×4.0,A×1.0,london,False,True,True,atr_mult,60,5.0,1.89,46,1.3,171,0.0,0
1.2285,55.79,3.33,0.0,3.61,459.7,242,5,7,0.0149,0.9737,hilo_break_5f0b3fef,GBPJPY,M1,hilo_break,breakout,A×5.0,A×1.5,london,True,True,False,,120,7.7,-0.83,60,4.44,182,0.0,0
1.1423,55.24,0.92,0.0,1.26,211.1,210,5,9,0.006,0.9257,hilo_break_8e47c28a,EURJPY,M1,hilo_break,breakout,A×5.0,A×1.5,newyork,True,True,True,fixed,0,3.5,0.0,0,1.13,66,0.13,144
1.1078,37.5,1.99,0.0,1.22,576.0,160,12,6,0.0076,1.8464,donchian_break_289bba52,EURJPY,M1,donchian_break,breakout,A×3.0,A×1.5,newyork,True,False,True,atr_mult,30,9.6,0.0,0,0.89,51,0.33,109
1.0991,58.22,3.8,0.0,6.21,447.9,1223,6,10,0.0051,0.7888,wick_reversal_070f6f2b,USDJPY,M1,wick_reversal,mean_reversion,A×3.0,A×1.5,newyork,True,True,False,,30,7.5,0.0,0,0.63,424,5.58,799
1.0949,51.57,1.89,0.0,1.63,159.3,446,6,7,0.0036,1.0282,hilo_break_a4cde957,EURJPY,M1,hilo_break,breakout,A×2.5,A×1.0,newyork,False,True,True,fixed,120,2.7,0.0,0,0.44,142,1.19,304
1.0893,57.8,1.61,0.0,0.8,208.3,218,6,9,0.0037,0.7954,bb_bounce_0a931938,USDJPY,M1,bb_bounce,mean_reversion,15p,15p,london,False,True,False,,120,3.5,0.76,46,0.04,172,0.0,0
1.0821,38.58,2.87,0.0,1.53,353.9,337,14,5,0.0045,1.723,hilo_break_8ec48075,EURJPY,M1,hilo_break,breakout,A×3.0,A×1.0,newyork,False,False,True,atr_mult,60,5.9,0.0,0,1.02,107,0.51,230
1.0812,38.24,5.62,0.01,2.12,324.0,408,17,5,0.0052,1.7466,donchian_break_5fe67a01,GBPJPY,M1,donchian_break,breakout,A×2.5,A×1.0,london,False,False,True,atr_mult,60,5.4,-2.44,102,4.56,306,0.0,0
