pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,name,sym,sig,tp,sl,sess,lv,be,trail,mb,ab_period,ab_mult,hold_m,hl_lb,hl_cb,bb_p,bb_std
2.0564,56.0,0.68,0.0,2.25,379.2,50,6,5,0.045,1.6157,hilo_break_57debe3f,GBPJPY,hilo_break,A×5.0,A×2.0,london,False,False,True,0,,,6.3,25.0,2.0,,
1.7474,69.84,1.07,0.0,2.3,508.6,63,3,9,0.0364,0.7546,hilo_break_1b46a381,GBPJPY,hilo_break,A×4.0,A×1.5,london,False,True,False,0,,,8.5,15.0,2.0,,
1.6138,52.63,0.56,0.0,1.51,213.7,57,6,4,0.0265,1.4524,hilo_break_b87f035e,GBPJPY,hilo_break,A×3.0,A×1.0,newyork,True,True,False,120,,,3.6,5.0,2.0,,
1.552,59.26,0.62,0.0,1.66,401.1,54,2,5,0.0307,1.067,atr_break_399687a7,GBPJPY,atr_break,A×4.0,A×1.5,newyork,True,True,True,0,5.0,1.0,6.7,,,,
1.5218,57.41,0.76,0.0,1.71,424.4,54,3,5,0.0317,1.1291,atr_break_50bd79db,GBPJPY,atr_break,A×6.0,A×1.5,newyork,True,True,True,120,5.0,1.0,7.1,,,,
1.496,54.0,0.83,0.0,1.17,393.6,50,5,7,0.0234,1.2743,atr_break_eacfb318,GBPJPY,atr_break,A×4.0,A×1.5,london,True,True,False,120,7.0,1.0,6.6,,,,
1.4511,54.72,0.74,0.0,1.29,295.5,53,4,5,0.0243,1.2009,atr_break_beef6a93,GBPJPY,atr_break,A×3.0,A×1.5,london,True,True,True,120,14.0,1.0,4.9,,,,
1.4178,57.69,0.95,0.0,1.38,343.8,52,4,8,0.0266,1.0397,hilo_break_00369025,GBPJPY,hilo_break,A×3.0,A×1.5,london,True,True,False,120,,,5.7,7.0,2.0,,
1.396,42.42,1.65,0.0,3.09,1230.0,66,7,5,0.0468,1.8946,hilo_break_80ddd660,GBPJPY,hilo_break,A×3.0,A×1.5,london,True,False,False,60,,,20.5,5.0,2.0,,
1.3805,27.7,3.32,0.0,8.33,2010.0,148,9,3,0.0563,3.6028,hilo_break_62e0d539,GBPJPY,hilo_break,A×5.0,A×1.5,newyork,True,False,False,120,,,33.5,15.0,1.0,,
1.3788,52.98,1.53,0.0,2.61,273.2,168,6,7,0.0155,1.2239,hilo_break_72fe12cf,EURJPY,hilo_break,A×5.0,A×1.5,newyork,True,False,True,120,,,4.6,20.0,1.0,,
1.3561,38.54,1.79,0.0,4.05,1068.1,96,6,3,0.0422,2.1625,bb_bounce_e758a078,GBPJPY,bb_bounce,A×6.0,A×1.5,newyork,True,False,False,30,,,17.8,,,30.0,2.5
1.3389,56.6,0.84,0.0,0.89,389.4,53,5,6,0.0169,1.0265,atr_break_56591bc1,GBPJPY,atr_break,A×5.0,A×2.0,london,True,True,True,120,8.0,1.0,6.5,,,,
1.3353,57.14,0.8,0.0,1.41,349.4,119,5,6,0.0118,1.0015,bb_bounce_b27af868,USDJPY,bb_bounce,A×5.0,A×2.0,london,True,True,True,30,,,5.8,,,30.0,2.5
1.3263,45.45,0.82,0.0,0.82,217.1,55,6,4,0.0149,1.5916,atr_break_0ee74b65,GBPJPY,atr_break,A×2.5,A×1.0,london,True,True,True,0,8.0,1.0,3.6,,,,
1.2879,50.79,0.65,0.0,0.94,235.2,63,3,5,0.0149,1.2476,hilo_break_ae8019a0,GBPJPY,hilo_break,A×3.0,A×1.0,newyork,False,True,False,120,,,3.9,12.0,2.0,,
1.2797,56.93,1.13,0.0,1.77,200.6,137,5,10,0.0129,0.968,hilo_break_989eabaa,GBPJPY,hilo_break,A×3.0,A×1.0,london,False,True,True,60,,,3.3,5.0,2.0,,
1.267,59.62,0.68,0.0,0.79,303.5,52,3,5,0.0152,0.8583,atr_break_399687a7,EURJPY,atr_break,A×4.0,A×1.5,newyork,True,True,True,0,5.0,1.0,5.1,,,,
1.2534,35.62,1.43,0.0,3.38,1103.4,146,8,8,0.0232,2.2657,atr_break_d0675dfa,USDJPY,atr_break,A×3.0,A×1.5,newyork,True,False,False,0,10.0,0.8,18.4,,,,
1.2492,56.0,0.6,0.0,0.51,314.4,50,7,4,0.0103,0.9815,bb_bounce_5016f3f9,USDJPY,bb_bounce,A×4.0,A×1.5,newyork,True,True,True,0,,,5.2,,,14.0,2.5
1.2489,56.12,1.68,0.0,2.78,479.4,196,6,12,0.0142,0.9764,atr_break_ab8faf53,GBPJPY,atr_break,A×5.0,A×1.5,london,True,True,False,0,14.0,0.8,8.0,,,,
1.2311,53.01,1.11,0.0,0.87,298.6,83,8,5,0.0104,1.0912,atr_break_0502777a,EURJPY,atr_break,A×3.0,A×1.5,newyork,False,False,True,30,14.0,1.0,5.0,,,,
1.2294,56.6,0.81,0.0,1.1,404.7,106,4,6,0.0104,0.9425,bb_bounce_cf2b95a6,USDJPY,bb_bounce,A×3.0,A×1.5,london,True,True,False,120,,,6.7,,,20.0,2.5
1.2289,29.19,1.67,0.0,2.48,497.1,161,18,4,0.0154,2.9807,hilo_break_f9921215,EURJPY,hilo_break,A×2.5,A×1.0,newyork,True,False,False,120,,,8.3,20.0,1.0,,
1.2273,40.0,1.38,0.0,1.4,776.7,90,6,3,0.0156,1.841,bb_bounce_3a650492,USDJPY,bb_bounce,A×5.0,A×2.0,london,True,False,True,120,,,12.9,,,20.0,2.5
1.2263,63.79,1.25,0.0,0.71,456.2,58,5,8,0.0122,0.696,hilo_break_01f007b6,GBPJPY,hilo_break,A×5.0,A×2.0,newyork,True,True,False,60,,,7.6,5.0,2.0,,
1.2129,65.06,1.44,0.0,0.8,353.5,83,7,8,0.0097,0.6514,atr_break_593cf57b,EURJPY,atr_break,A×3.0,A×1.5,london,False,True,True,0,20.0,1.0,5.9,,,,
1.2114,46.74,0.53,0.0,0.61,144.8,92,9,6,0.0067,1.3805,bb_bounce_e7dcc942,USDJPY,bb_bounce,A×3.0,A×0.7,london,True,True,True,60,,,2.4,,,20.0,2.5
1.2062,65.18,1.65,0.0,1.48,560.9,112,3,7,0.0133,0.6444,bb_bounce_d0bc072e,GBPJPY,bb_bounce,A×5.0,A×2.0,newyork,True,True,False,120,,,9.3,,,25.0,2.5
1.2051,64.0,0.77,0.0,0.42,337.2,50,4,5,0.0084,0.6778,hilo_break_266d7125,EURJPY,hilo_break,A×5.0,A×2.0,london,True,True,True,120,,,5.6,7.0,2.0,,
1.1861,23.28,3.42,0.0,6.57,2260.9,305,14,3,0.0216,3.9091,bb_bounce_4396754b,USDJPY,bb_bounce,A×6.0,A×1.5,london,True,False,False,120,,,37.7,,,20.0,1.5
1.1845,43.28,2.01,0.0,1.59,196.4,201,9,6,0.0079,1.5521,atr_break_80f84e46,GBPJPY,atr_break,A×3.0,A×0.7,newyork,True,True,False,30,14.0,0.8,3.3,,,,
1.1815,49.76,4.23,0.0,4.1,296.7,422,10,9,0.0097,1.1928,atr_break_06e73b36,GBPJPY,atr_break,A×5.0,A×1.5,london,False,False,True,30,16.0,0.8,4.9,,,,
1.1784,47.65,0.84,0.0,1.04,183.6,149,5,7,0.007,1.2945,hilo_break_792c002e,EURJPY,hilo_break,A×2.5,A×1.0,newyork,True,True,True,30,,,3.1,25.0,1.0,,
1.1668,60.48,1.5,0.0,1.77,449.7,210,4,8,0.0084,0.7625,bb_bounce_1f99b61b,USDJPY,bb_bounce,A×3.0,A×1.5,london,False,True,True,120,,,7.5,,,20.0,2.5
1.1646,42.19,3.51,0.0,4.21,800.3,301,7,9,0.014,1.5956,bb_bounce_307220f1,GBPJPY,bb_bounce,A×5.0,A×2.0,newyork,True,False,True,120,,,13.3,,,30.0,2.0
1.1639,39.56,1.71,0.0,2.31,615.5,182,6,6,0.0127,1.7782,atr_break_349ba344,EURJPY,atr_break,A×3.0,A×1.5,london,True,False,True,30,14.0,0.8,10.3,,,,
1.1618,33.85,2.11,0.0,1.14,1082.8,65,13,3,0.0176,2.2709,hilo_break_80ddd660,EURJPY,hilo_break,A×3.0,A×1.5,london,True,False,False,60,,,18.0,5.0,2.0,,
1.1592,59.62,0.79,0.0,0.51,349.6,52,4,5,0.0098,0.7853,atr_break_50bd79db,EURJPY,atr_break,A×6.0,A×1.5,newyork,True,True,True,120,5.0,1.0,5.8,,,,
1.1566,55.07,2.86,0.0,3.81,381.3,414,7,9,0.0092,0.9435,hilo_break_d5572633,GBPJPY,hilo_break,A×5.0,A×1.5,london,True,True,False,60,,,6.4,5.0,1.0,,
1.1468,49.5,2.73,0.0,1.59,243.6,200,11,11,0.0079,1.1699,atr_break_51a3bcdc,GBPJPY,atr_break,A×6.0,A×1.5,london,True,True,True,60,8.0,0.8,4.1,,,,
1.1467,38.72,2.4,0.0,1.79,190.4,266,10,7,0.0067,1.8147,hilo_break_b138804d,GBPJPY,hilo_break,A×3.0,A×0.7,london,True,True,False,0,,,3.2,10.0,1.0,,
1.1453,57.69,0.94,0.0,0.44,300.0,52,4,8,0.0085,0.8399,hilo_break_266d7125,GBPJPY,hilo_break,A×5.0,A×2.0,london,True,True,True,120,,,5.0,7.0,2.0,,
1.1448,34.72,1.84,0.0,0.65,264.2,72,9,5,0.0091,2.1521,hilo_break_40db661c,GBPJPY,hilo_break,A×3.0,A×1.0,london,True,False,True,30,,,4.4,5.0,2.0,,
