rank,pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,strategy_name,symbol,timeframe
1,inf,100.0,0.0,0.0,0.14,840.0,1,rsi_reversal_03ce1c28,EURJPY,M1
2,inf,100.0,0.0,0.0,0.15,17400.0,1,rsi_reversal_ea79811e,USDJPY,M5
3,inf,100.0,0.0,0.0,0.15,17400.0,1,rsi_reversal_f39ae529,USDJPY,M5
4,inf,100.0,0.0,0.0,0.15,17400.0,1,rsi_reversal_03ce1c28,USDJPY,M5
5,inf,100.0,0.0,0.0,0.14,840.0,1,rsi_reversal_f39ae529,EURJPY,M1
6,inf,100.0,0.0,0.0,0.17,900.0,1,rsi_reversal_ea79811e,EURJPY,M1
7,inf,100.0,0.0,0.0,0.14,840.0,1,rsi_reversal_dc42794d,EURJPY,M1
8,1.1475,33.33,2.76,0.0,0.52,5114.3,21,bb_bounce_a3c33d1f,GBPJPY,M5
9,1.0768,57.14,2.61,0.0,0.41,12578.6,14,rsi_reversal_566ca4f1,GBPJPY,M5
10,0.9883,66.67,0.71,0.0,-0.02,16450.0,6,rsi_reversal_9fec002c,USDJPY,M5
11,0.9645,68.42,1.81,0.0,-0.11,2122.1,19,rsi_reversal_566ca4f1,EURJPY,M1
12,0.9033,60.0,0.91,0.0,-0.15,8580.0,5,rsi_reversal_9fec002c,EURJPY,M5
13,0.7973,50.53,14.19,0.01,-7.72,11027.4,95,rsi_reversal_42c0f48a,GBPJPY,M5
14,0.7603,50.0,1.87,0.0,-0.88,4612.5,16,rsi_reversal_76543b15,EURJPY,M5
15,0.7307,45.45,2.27,0.0,-1.42,5359.1,22,rsi_reversal_f8f5d99f,EURJPY,M5
16,0.7243,52.17,6.78,0.01,-4.09,6873.9,46,rsi_reversal_1e31b4c1,GBPJPY,M5
17,0.7113,55.88,10.33,0.01,-7.15,9088.2,68,rsi_reversal_1361b9e1,GBPJPY,M5
18,0.7113,55.88,10.33,0.01,-7.15,9088.2,68,rsi_reversal_8c7c3c1f,GBPJPY,M5
19,0.7068,55.56,5.18,0.01,-4.39,8033.3,54,rsi_reversal_1e31b4c1,EURJPY,M5
20,0.6923,55.81,6.46,0.01,-4.77,9034.9,43,rsi_reversal_7a08475b,GBPJPY,M5
21,0.6838,50.0,2.59,0.0,-2.17,10300.0,18,rsi_reversal_566ca4f1,EURJPY,M5
22,0.6531,55.22,10.29,0.01,-8.99,9689.6,67,rsi_reversal_ef839ab8,GBPJPY,M5
23,0.621,52.17,9.52,0.01,-9.19,10269.6,69,momentum_611477dd,EURJPY,M5
24,0.6203,56.6,6.98,0.01,-6.5,9266.0,53,rsi_reversal_7a08475b,EURJPY,M5
25,0.6195,56.36,13.73,0.01,-13.46,9376.4,110,rsi_reversal_3cc77779,EURJPY,M5
26,0.6035,25.49,9.5,0.01,-7.55,7523.5,51,ema_cross_deca493e,GBPJPY,M5
27,0.5987,53.12,9.94,0.01,-8.47,9623.4,64,rsi_trend_4e8ecd2c,EURJPY,M5
28,0.5955,46.58,12.28,0.01,-10.81,6591.8,73,rsi_reversal_232ead6e,GBPJPY,M5
29,0.5948,34.21,6.25,0.01,-4.17,2821.6,38,donchian_break_fcc6fc54,USDJPY,M1
30,0.5861,28.16,16.28,0.02,-15.36,6818.4,103,ema_cross_5809e979,GBPJPY,M5
31,0.5768,39.29,3.18,0.0,-3.11,4607.1,28,rsi_reversal_c0995ed3,EURJPY,M5
32,0.5729,37.5,6.29,0.01,-6.29,7735.7,56,ema_cross_13118541,EURJPY,M5
33,0.5694,42.11,10.18,0.01,-8.95,14647.4,57,momentum_853a37ad,USDJPY,M5
34,0.5672,50.82,9.46,0.01,-9.46,10549.2,61,momentum_dc40cb70,EURJPY,M5
35,0.5641,50.0,8.07,0.01,-8.07,11584.6,52,momentum_2a70dfde,EURJPY,M5
36,0.5564,69.33,9.56,0.01,-8.23,5420.0,75,rsi_reversal_b2d696ef,GBPJPY,M5
37,0.5549,46.48,17.83,0.02,-14.83,9798.6,71,momentum_611477dd,GBPJPY,M5
38,0.5503,55.32,5.97,0.01,-5.97,10659.6,47,momentum_2a70dfde,USDJPY,M5
39,0.5342,56.6,5.84,0.01,-5.27,1627.9,53,ema_cross_66822117,GBPJPY,M1
40,0.5289,40.54,3.44,0.0,-3.45,5116.2,37,ema_cross_53a68fa6,EURJPY,M5
41,0.5288,72.73,1.92,0.0,-0.93,4390.9,11,bb_bounce_10cf0c5d,GBPJPY,M5
42,0.5206,50.0,0.65,0.0,-0.56,6375.0,4,rsi_reversal_f838aad6,USDJPY,M5
43,0.5204,35.0,8.31,0.01,-7.6,2920.0,60,donchian_break_8f9e005c,USDJPY,M1
44,0.5204,35.0,8.31,0.01,-7.6,2920.0,60,donchian_break_f969b62d,USDJPY,M1
45,0.5193,33.33,6.2,0.01,-5.87,2090.0,42,donchian_break_fcc6fc54,EURJPY,M1
46,0.5168,22.73,9.53,0.01,-6.06,3471.8,44,ema_cross_5cb4e2a8,USDJPY,M1
47,0.5144,36.84,12.85,0.01,-12.85,14847.4,57,momentum_853a37ad,EURJPY,M5
48,0.5125,45.28,27.3,0.03,-24.46,9917.0,106,momentum_2e7ea40d,GBPJPY,M5
49,0.5087,47.17,13.73,0.01,-12.23,9084.9,53,momentum_2a70dfde,GBPJPY,M5
50,0.5056,46.67,4.28,0.0,-3.73,6220.0,30,rsi_reversal_f8f5d99f,USDJPY,M5
51,0.5056,24.07,12.2,0.01,-9.72,6711.1,54,ema_cross_12b3b7f5,GBPJPY,M5
52,0.5039,48.2,25.03,0.03,-23.94,5728.1,139,momentum_1271ced9,GBPJPY,M5
53,0.5029,37.41,21.5,0.02,-21.5,5799.3,139,momentum_f869c0e8,EURJPY,M5
54,0.4986,34.88,7.05,0.01,-6.64,2055.3,43,donchian_break_fcc6fc54,GBPJPY,M1
55,0.4968,38.89,10.9,0.01,-10.49,1972.5,72,donchian_break_f969b62d,GBPJPY,M1
56,0.4968,38.89,10.9,0.01,-10.49,1972.5,72,donchian_break_8f9e005c,GBPJPY,M1
57,0.4959,23.81,6.01,0.01,-4.89,1858.6,42,ema_cross_b9caf855,GBPJPY,M1
58,0.4949,33.33,1.15,0.0,-0.79,4200.0,6,rsi_reversal_151341dc,GBPJPY,M5
59,0.4946,32.61,13.92,0.01,-12.97,1707.4,92,momentum_0b77e21d,GBPJPY,M1
60,0.4936,46.15,17.37,0.02,-15.62,9189.2,65,momentum_dc40cb70,GBPJPY,M5
61,0.4932,41.96,23.8,0.02,-23.43,4334.3,143,momentum_0b77e21d,GBPJPY,M5
62,0.4915,35.96,16.68,0.02,-14.2,2129.7,89,momentum_1271ced9,GBPJPY,M1
63,0.4885,29.73,6.68,0.01,-5.52,3280.5,37,ema_cross_13118541,EURJPY,M1
64,0.4862,52.05,14.19,0.01,-13.87,9484.9,73,rsi_reversal_ef839ab8,EURJPY,M5
65,0.4844,18.52,8.63,0.01,-8.63,4550.0,54,ema_cross_8f6badbd,GBPJPY,M5
66,0.4831,37.5,6.36,0.01,-5.88,4743.8,32,rsi_reversal_76543b15,GBPJPY,M5
67,0.4807,45.28,11.03,0.01,-9.69,5405.7,53,donchian_break_fcc6fc54,GBPJPY,M5
68,0.48,44.44,3.38,0.0,-3.34,13316.7,18,rsi_reversal_566ca4f1,USDJPY,M5
69,0.4794,50.0,24.98,0.02,-24.77,9277.3,132,rsi_reversal_01d38f6e,EURJPY,M5
70,0.4773,39.13,3.59,0.0,-3.12,5700.0,23,rsi_reversal_5999e02d,EURJPY,M5
71,0.4752,49.06,20.5,0.02,-19.65,8165.1,106,rsi_trend_d066d7d9,EURJPY,M5
72,0.4706,37.74,7.75,0.01,-7.75,7737.7,53,ema_cross_30da9de6,EURJPY,M5
73,0.4688,27.5,6.94,0.01,-5.98,2979.0,40,ema_cross_b9caf855,EURJPY,M1
74,0.4682,39.19,13.94,0.01,-13.38,8655.4,74,ema_cross_5e5710c1,EURJPY,M5
75,0.4674,21.57,10.68,0.01,-7.69,3117.6,51,ema_cross_ef9924e5,USDJPY,M1
76,0.4649,39.51,28.38,0.03,-28.1,3848.1,162,momentum_cda52812,GBPJPY,M5
77,0.4537,44.44,5.45,0.01,-5.06,6158.3,36,rsi_reversal_c0995ed3,USDJPY,M5
78,0.4526,45.76,29.77,0.03,-29.59,8781.4,118,rsi_reversal_3cc77779,GBPJPY,M5
79,0.4525,44.68,21.84,0.02,-20.38,9714.9,94,rsi_trend_0a63e580,EURJPY,M5
80,0.4525,44.68,21.84,0.02,-20.38,9714.9,94,rsi_trend_a69f185a,EURJPY,M5
81,0.4426,44.21,22.34,0.02,-21.33,10038.9,95,rsi_trend_65d1a53d,EURJPY,M5
82,0.4393,46.94,22.28,0.02,-20.87,9058.2,98,rsi_trend_5d31b21a,EURJPY,M5
83,0.4388,40.35,34.18,0.03,-31.34,8892.1,114,momentum_e87ffb52,GBPJPY,M5
84,0.4387,37.04,4.83,0.0,-4.11,2388.9,27,ema_cross_53a68fa6,EURJPY,M1
85,0.4379,46.05,12.74,0.01,-12.21,1966.6,76,donchian_break_e19d6ba9,GBPJPY,M1
86,0.4369,33.33,8.57,0.01,-8.57,7122.2,54,ema_cross_b9caf855,EURJPY,M5
87,0.4359,40.62,14.1,0.01,-12.83,2343.8,64,momentum_853a37ad,GBPJPY,M1
88,0.4352,41.41,27.28,0.03,-25.98,8481.8,99,rsi_trend_5d31b21a,GBPJPY,M5
89,0.4344,48.42,23.11,0.02,-21.7,9723.2,95,rsi_trend_08bc1cb9,EURJPY,M5
90,0.4336,21.15,10.77,0.01,-8.58,2998.8,52,ema_cross_be6570c3,USDJPY,M1
91,0.4317,42.86,14.09,0.01,-14.09,5875.7,70,rsi_reversal_232ead6e,EURJPY,M5
92,0.4317,47.89,15.49,0.02,-15.49,9029.6,71,rsi_reversal_1361b9e1,EURJPY,M5
93,0.4317,47.89,15.49,0.02,-15.49,9029.6,71,rsi_reversal_8c7c3c1f,EURJPY,M5
94,0.4283,43.52,26.03,0.03,-25.59,9752.8,108,momentum_2e7ea40d,EURJPY,M5
95,0.4275,41.96,26.45,0.03,-26.0,9222.3,112,momentum_e87ffb52,EURJPY,M5
96,0.4259,20.0,0.97,0.0,-0.97,2940.0,10,rsi_reversal_3fe9f09b,EURJPY,M5
97,0.4219,42.73,29.45,0.03,-28.43,7276.4,110,rsi_trend_d066d7d9,GBPJPY,M5
98,0.4217,25.98,26.58,0.03,-25.87,5619.7,127,ema_cross_5809e979,EURJPY,M5
99,0.4212,18.97,9.17,0.01,-8.95,12077.6,58,ema_cross_ef9924e5,USDJPY,M5
100,0.4163,45.71,5.1,0.01,-4.77,1229.1,35,ema_cross_6e788a01,GBPJPY,M1
101,0.4155,38.89,10.31,0.01,-9.98,1179.2,72,donchian_break_ff63572a,GBPJPY,M1
102,0.4155,38.89,10.31,0.01,-9.98,1179.2,72,donchian_break_1d1e6dd4,GBPJPY,M1
103,0.4149,48.08,20.23,0.02,-20.17,9799.0,104,momentum_2e7ea40d,USDJPY,M5
104,0.4126,31.82,18.34,0.02,-16.73,1105.6,110,ema_cross_5809e979,GBPJPY,M1
105,0.4088,37.04,21.11,0.02,-21.11,11859.3,81,rsi_reversal_42c0f48a,EURJPY,M5
106,0.4088,46.23,20.43,0.02,-20.37,9537.7,106,momentum_e87ffb52,USDJPY,M5
107,0.4082,19.57,9.09,0.01,-7.88,3277.8,46,ema_cross_5cb4e2a8,EURJPY,M1
108,0.4053,42.75,39.18,0.04,-39.18,8687.0,138,rsi_reversal_01d38f6e,GBPJPY,M5
109,0.4031,33.33,8.66,0.01,-8.66,9328.6,42,donchian_break_fcc6fc54,USDJPY,M5
110,0.403,41.94,29.34,0.03,-28.09,9445.2,93,rsi_trend_08bc1cb9,GBPJPY,M5
111,0.4006,50.0,0.64,0.0,-0.39,1050.0,2,bb_break_93eb63af,GBPJPY,M5
112,0.4006,46.03,9.55,0.01,-8.98,1194.3,63,ema_cross_22facf43,GBPJPY,M1
113,0.396,17.46,10.4,0.01,-10.04,2541.0,63,donchian_break_33be330b,USDJPY,M1
114,0.3934,31.75,13.93,0.01,-12.86,4442.9,63,ema_cross_0b2d6a5b,GBPJPY,M5
115,0.3921,37.5,11.0,0.01,-10.67,1142.5,72,donchian_break_c9960c99,GBPJPY,M1
116,0.3919,18.87,10.55,0.01,-9.81,2937.7,53,ema_cross_ef9924e5,EURJPY,M1
117,0.3918,52.22,17.51,0.02,-17.1,9693.3,90,rsi_trend_08bc1cb9,USDJPY,M5
118,0.3897,17.72,13.94,0.01,-13.28,1477.2,79,donchian_break_33be330b,GBPJPY,M1
119,0.3887,50.0,21.22,0.02,-20.15,7617.3,110,rsi_trend_d066d7d9,USDJPY,M5
120,0.3879,37.76,30.6,0.03,-29.86,9076.5,98,rsi_trend_65d1a53d,GBPJPY,M5
121,0.3847,30.3,7.76,0.01,-6.04,1800.0,33,ema_cross_8f6badbd,GBPJPY,M1
122,0.3839,27.01,34.43,0.03,-34.44,5954.0,137,momentum_f869c0e8,GBPJPY,M5
123,0.3827,44.12,15.41,0.02,-15.04,9820.6,68,momentum_611477dd,USDJPY,M5
124,0.3799,51.85,6.35,0.01,-5.41,6288.9,27,ema_cross_53a68fa6,GBPJPY,M5
125,0.3779,34.92,11.65,0.01,-11.18,2552.4,63,donchian_break_e19d6ba9,USDJPY,M1
126,0.3774,39.29,5.53,0.01,-4.48,2247.9,28,ema_cross_8f6badbd,USDJPY,M1
127,0.3755,51.38,21.02,0.02,-20.91,9811.9,109,rsi_reversal_3cc77779,USDJPY,M5
128,0.3745,36.26,30.16,0.03,-28.81,9468.1,91,rsi_trend_a69f185a,GBPJPY,M5
129,0.3745,36.26,30.16,0.03,-28.81,9468.1,91,rsi_trend_0a63e580,GBPJPY,M5
130,0.3743,56.0,8.77,0.01,-8.28,3428.4,50,ema_cross_156f8a41,USDJPY,M1
131,0.3721,26.85,20.71,0.02,-20.33,1537.8,108,momentum_cda52812,GBPJPY,M1
132,0.3717,51.94,40.35,0.04,-39.67,5145.1,206,momentum_1a6eb05d,EURJPY,M5
133,0.371,33.33,16.3,0.02,-16.3,7576.9,78,ema_cross_6e70a4c7,EURJPY,M5
134,0.3705,22.9,21.62,0.02,-20.97,1012.2,131,momentum_e740330d,GBPJPY,M1
135,0.3701,15.79,10.41,0.01,-9.4,1694.7,57,ema_cross_1171ea32,GBPJPY,M1
136,0.3697,50.0,2.72,0.0,-1.84,2382.0,10,rsi_reversal_9fec002c,GBPJPY,M1
137,0.3683,43.14,8.88,0.01,-8.88,3010.6,51,momentum_853a37ad,USDJPY,M1
138,0.3675,17.31,11.95,0.01,-9.78,2565.0,52,ema_cross_1171ea32,USDJPY,M1
139,0.3673,33.33,4.65,0.0,-4.65,8837.5,24,bb_bounce_a3c33d1f,USDJPY,M5
140,0.3673,21.15,9.63,0.01,-9.04,2906.5,52,ema_cross_6e70a4c7,USDJPY,M1
141,0.3654,45.76,13.0,0.01,-13.0,10016.9,59,momentum_dc40cb70,USDJPY,M5
142,0.3642,24.14,11.07,0.01,-11.07,11560.3,58,ema_cross_5e5710c1,USDJPY,M5
143,0.3636,30.67,17.36,0.02,-16.79,8636.0,75,ema_cross_be6570c3,EURJPY,M5
144,0.3629,45.28,22.63,0.02,-22.63,8453.8,106,rsi_trend_65d1a53d,USDJPY,M5
145,0.3624,29.17,9.7,0.01,-8.71,5812.5,48,ema_cross_13118541,GBPJPY,M5
146,0.362,21.31,11.55,0.01,-10.44,1907.2,61,ema_cross_6e70a4c7,GBPJPY,M1
147,0.3618,23.08,11.35,0.01,-10.87,3063.5,52,rsi_reversal_f8f5d99f,GBPJPY,M5
148,0.3615,45.74,17.36,0.02,-17.15,2996.8,94,momentum_490863a0,GBPJPY,M5
149,0.3614,31.68,23.58,0.02,-23.17,9742.6,101,momentum_1271ced9,USDJPY,M5
150,0.3605,23.44,14.71,0.01,-14.71,6014.1,64,ema_cross_12b3b7f5,EURJPY,M5
151,0.3597,33.33,9.01,0.01,-8.78,2084.7,51,donchian_break_1d1e6dd4,USDJPY,M1
152,0.3597,33.33,9.01,0.01,-8.78,2084.7,51,donchian_break_ff63572a,USDJPY,M1
153,0.3587,44.94,19.09,0.02,-18.45,2073.7,89,rsi_reversal_42c0f48a,GBPJPY,M1
154,0.3587,48.61,63.74,0.06,-63.74,4765.6,288,rsi_reversal_da6a2ac4,GBPJPY,M5
155,0.3585,46.53,21.84,0.02,-21.43,8498.0,101,rsi_trend_a69f185a,USDJPY,M5
156,0.3585,46.53,21.84,0.02,-21.43,8498.0,101,rsi_trend_0a63e580,USDJPY,M5
157,0.3577,28.07,24.05,0.02,-23.63,6957.9,114,momentum_0b77e21d,USDJPY,M5
158,0.3577,16.36,11.26,0.01,-10.6,2312.7,55,ema_cross_ef9924e5,GBPJPY,M1
159,0.3573,43.55,12.41,0.01,-12.4,7151.6,62,ema_cross_2449f2d6,EURJPY,M5
