symbol,timeframe,session_filter,avg_pf,max_pf,avg_winrate,avg_max_dd,avg_trades,total_tests,pf_ge_1,pf_ge_1_pct
EURJPY,M1,all,inf,inf,36.15133333333333,0.010333333333333333,304.46666666666664,30,3,10.0
EURJPY,M1,london,inf,inf,47.177894736842106,0.007894736842105263,326.89473684210526,19,5,26.3
EURJPY,M1,newyork,inf,inf,40.482692307692304,0.007307692307692308,232.57692307692307,26,6,23.1
EURJPY,M1,tokyo,inf,inf,36.01269230769231,0.012307692307692308,363.15384615384613,26,1,3.8
EURJPY,M5,newyork,inf,inf,34.50115384615385,0.0019230769230769232,51.69230769230769,26,3,11.5
EURJPY,M5,tokyo,inf,inf,31.463076923076922,0.0011538461538461537,64.92307692307692,26,1,3.8
GBPJPY,M1,all,inf,inf,36.620333333333335,0.01,345.23333333333335,30,4,13.3
USDJPY,M5,tokyo,inf,inf,36.222307692307695,0.0011538461538461537,66.1923076923077,26,4,15.4
USDJPY,M5,newyork,inf,inf,42.567692307692305,0.0,41.61538461538461,26,9,34.6
USDJPY,M5,london,inf,inf,44.34315789473684,0.0015789473684210526,61.73684210526316,19,6,31.6
GBPJPY,M5,newyork,inf,inf,37.9676923076923,0.0026923076923076926,58.96153846153846,26,6,23.1
USDJPY,M1,all,inf,inf,32.879,0.009000000000000001,283.1,30,4,13.3
GBPJPY,M5,london,inf,inf,47.01894736842105,0.002105263157894737,74.36842105263158,19,4,21.1
GBPJPY,M1,tokyo,inf,inf,36.25653846153846,0.015384615384615385,409.88461538461536,26,2,7.7
USDJPY,M5,all,inf,inf,32.167,0.0006666666666666666,55.166666666666664,30,5,16.7
USDJPY,M1,tokyo,0.8702423076923077,6.7234,36.207692307692305,0.009615384615384616,302.6923076923077,26,3,11.5
USDJPY,M5,london_ny,0.7877052631578948,1.6036,38.82157894736842,0.002631578947368421,149.47368421052633,19,4,21.1
GBPJPY,M5,tokyo,0.7431384615384615,1.9037,36.33384615384615,0.0011538461538461537,72.07692307692308,26,6,23.1
USDJPY,M1,newyork,0.7225230769230768,1.7685,40.54923076923077,0.004230769230769231,196.23076923076923,26,3,11.5
USDJPY,M1,london,0.6849684210526316,2.0831,40.16842105263158,0.012105263157894737,282.7894736842105,19,1,5.3
GBPJPY,M5,all,0.6602733333333333,2.7805,27.561,0.002,65.83333333333333,30,5,16.7
EURJPY,M1,london_ny,0.6598684210526315,0.9833,36.646842105263154,0.021578947368421055,847.6842105263158,19,0,0.0
GBPJPY,M1,newyork,0.6078230769230769,1.021,37.22423076923077,0.011538461538461537,268.3076923076923,26,1,3.8
GBPJPY,M1,london,0.602878947368421,0.8341,38.23105263157895,0.017894736842105262,408.8421052631579,19,0,0.0
USDJPY,M1,london_ny,0.6014631578947368,0.8241,35.27157894736842,0.022105263157894735,755.0,19,0,0.0
EURJPY,M5,london,0.5916842105263158,0.985,36.9078947368421,0.00368421052631579,78.10526315789474,19,0,0.0
GBPJPY,M1,london_ny,0.5760578947368421,0.9156,34.65157894736842,0.031578947368421054,964.0526315789474,19,0,0.0
GBPJPY,M5,london_ny,0.5758684210526316,0.8074,35.91473684210526,0.006842105263157895,193.89473684210526,19,0,0.0
EURJPY,M5,london_ny,0.49683684210526313,0.8088,29.922105263157892,0.007894736842105263,188.1578947368421,19,0,0.0
EURJPY,M5,all,0.3661733333333333,1.2677,20.795,0.0033333333333333335,60.43333333333333,30,2,6.7
