pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,strategy_name,symbol,timeframe,session,htf_period,bb_touch_period,bb_touch_std,atr_low_vola_lb,wick_ratio,has_htf,has_bb_touch,has_atr_low_vola,has_wick_dir,n_struct_filters,tp_type,sl_type,has_breakeven,max_bars,avg_hold_min,pnl_tokyo,pnl_london,pnl_newyork,trades_tokyo,trades_london,trades_newyork
0.8512,20.0,2.23,0.0,-0.89,2446.2,65,12,3,-0.0137,3.4049,rsi_reversal_778c3443,GBPJPY,M5,london,0,0,0.0,0,0.0,False,False,False,False,0,fixed,fixed,False,60,40.8,0.49,-1.38,0.0,11,54,0
0.94,26.15,1.83,0.0,-0.33,2303.1,65,8,3,-0.0052,2.654,rsi_reversal_d07a9a94,GBPJPY,M5,london,0,0,0.0,0,0.0,False,False,False,False,0,fixed,fixed,True,120,38.4,0.49,-0.83,0.0,11,54,0
0.5252,17.89,4.67,0.0,-4.07,2106.3,95,10,2,-0.0428,2.4097,rsi_reversal_1d7672c6,GBPJPY,M5,newyork,0,0,0.0,0,0.0,False,False,False,False,0,atr_mult,fixed,True,0,35.1,0.0,-0.84,-3.23,0,34,61
1.0603,24.62,2.13,0.0,0.34,2570.8,65,10,3,0.0052,3.2472,rsi_reversal_17e788d9,GBPJPY,M5,london,0,0,0.0,0,0.0,False,False,False,False,0,atr_mult,fixed,True,0,42.8,0.8,-0.46,0.0,11,54,0
0.654,31.43,4.26,0.0,-3.06,3102.9,70,9,2,-0.0437,1.4269,rsi_reversal_395d89e7,GBPJPY,M5,newyork,0,0,0.0,0,0.0,False,False,False,False,0,atr_mult,fixed,False,0,51.7,0.0,-1.4,-1.67,0,26,44
0.5272,45.16,5.14,0.01,-3.53,3411.3,62,5,4,-0.0569,0.6401,rsi_reversal_d2cddc98,GBPJPY,M5,newyork,0,0,0.0,0,0.0,False,False,False,False,0,atr_mult,atr_mult,True,60,56.9,0.0,-1.98,-1.54,0,24,38
0.7957,57.14,1.57,0.0,-1.06,2449.0,49,4,5,-0.0217,0.5967,rsi_reversal_ca147bf1,GBPJPY,M5,london,0,0,0.0,0,0.0,False,False,False,False,0,fixed,atr_mult,True,60,40.8,-0.06,-1.01,0.0,9,40,0
0.8477,38.46,2.06,0.0,-0.7,1513.8,65,8,5,-0.0107,1.3564,rsi_reversal_a841f788,GBPJPY,M5,london,0,0,0.0,0,0.0,False,False,False,False,0,atr_mult,fixed,True,0,25.2,0.19,-0.88,0.0,11,54,0
0.7292,32.26,3.79,0.0,-2.73,5801.6,62,7,2,-0.044,1.5313,rsi_reversal_d93db6f3,GBPJPY,M5,newyork,0,0,0.0,0,0.0,False,False,False,False,0,atr_mult,atr_mult,False,120,96.7,0.0,-2.43,-0.3,0,24,38
0.963,25.86,1.81,0.0,-0.22,3232.8,58,8,3,-0.0039,2.7607,rsi_reversal_bd95989f,GBPJPY,M5,london,0,0,0.0,0,0.0,False,False,False,False,0,fixed,atr_mult,False,60,53.9,0.68,-0.91,0.0,10,48,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_75b07880,GBPJPY,M5,london,6,0,0.0,0,0.0,True,False,False,False,1,fixed,fixed,True,120,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_57647980,GBPJPY,M5,newyork,12,0,0.0,0,0.0,True,False,False,False,1,fixed,atr_mult,True,120,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_c1b29da4,GBPJPY,M5,newyork,6,0,0.0,0,0.0,True,False,False,False,1,atr_mult,fixed,True,0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_eef601c8,GBPJPY,M5,london,12,0,0.0,0,0.0,True,False,False,False,1,atr_mult,atr_mult,False,120,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_5fc0fd94,GBPJPY,M5,london,6,0,0.0,0,0.0,True,False,False,False,1,atr_mult,atr_mult,True,60,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_34e1d2f8,GBPJPY,M5,newyork,12,0,0.0,0,0.0,True,False,False,False,1,atr_mult,fixed,True,0,0.0,0.0,0.0,0.0,0,0,0
