entry_time,exit_time,side,entry_price,exit_price,pnl
2022-01-03T21:00:00,2022-01-04T15:00:00,short,46669.33,46687.317,-33.8599
2022-01-04T19:00:00,2022-01-04T23:00:00,long,46969.88,46446.3864,-140.8075
2022-01-05T00:00:00,2022-01-05T15:00:00,short,45717.81,46634.4189,-226.7623
2022-01-06T01:00:00,2022-01-07T13:00:00,short,44679.47,42441.1225,452.7938
2022-01-08T23:00:00,2022-01-09T02:00:00,short,40840.91,41626.72,-223.84
2022-01-10T01:00:00,2022-01-10T04:00:00,long,42712.85,41883.2241,-220.0795
2022-01-10T18:00:00,2022-01-10T20:00:00,short,40926.0,40635.9981,39.3582
2022-01-11T08:00:00,2022-01-13T20:00:00,long,42215.22,42882.4523,123.3033
2022-01-13T21:00:00,2022-01-14T19:00:00,short,43215.39,42955.6911,29.4903
2022-01-14T20:00:00,2022-01-15T18:00:00,long,43019.48,42725.01,-96.3768
2022-01-16T01:00:00,2022-01-16T07:00:00,long,43565.83,42979.9125,-159.4127
2022-01-17T10:00:00,2022-01-18T05:00:00,short,42609.89,42364.6198,26.3869
2022-01-19T04:00:00,2022-01-19T08:00:00,long,42517.33,41801.678,-189.5545
2022-01-19T13:00:00,2022-01-19T16:00:00,short,41270.65,41947.6547,-182.253
2022-01-20T19:00:00,2022-01-21T01:00:00,long,42416.76,42672.1184,27.6981
2022-01-21T03:00:00,2022-01-21T20:00:00,short,41327.18,38931.124,508.0315
2022-01-22T03:00:00,2022-01-24T04:00:00,short,36672.51,36229.6788,88.5162
2022-01-24T05:00:00,2022-01-24T07:00:00,long,36262.21,35188.9173,-319.7631
2022-01-24T15:00:00,2022-01-24T16:00:00,short,34512.8,34775.3081,-100.8969
2022-01-25T23:00:00,2022-01-27T01:00:00,long,37298.4,37083.552,-82.2824
2022-01-27T03:00:00,2022-01-28T05:00:00,short,36350.64,37336.5078,-281.0981
2022-01-29T02:00:00,2022-01-31T01:00:00,long,37778.15,37523.62,-87.9219
2022-01-31T06:00:00,2022-01-31T20:00:00,short,36845.0,37555.2482,-199.6498
2022-01-31T22:00:00,2022-02-01T15:00:00,long,38351.82,38036.1633,-98.1708
2022-02-01T22:00:00,2022-02-02T10:00:00,long,39153.24,38350.4174,-203.1159
2022-02-02T20:00:00,2022-02-04T04:00:00,short,37710.88,37278.2209,71.7405
2022-02-04T05:00:00,2022-02-06T20:00:00,long,37330.75,41340.26,888.3118
2022-02-07T05:00:00,2022-02-07T05:00:00,long,42420.24,41722.0159,-182.8792
2022-02-07T09:00:00,2022-02-08T13:00:00,long,42847.33,44218.0243,267.047
2022-02-08T18:00:00,2022-02-09T01:00:00,short,43493.66,44241.4738,-191.9622
2022-02-10T01:00:00,2022-02-10T18:00:00,long,44551.7,43780.1873,-188.7492
2022-02-11T06:00:00,2022-02-13T00:00:00,short,43081.14,42863.82,18.7004
2022-02-14T07:00:00,2022-02-14T12:00:00,short,41675.52,42343.2068,-173.9189
2022-02-15T07:00:00,2022-02-16T18:00:00,long,43491.85,43623.86,0.2753
2022-02-16T19:00:00,2022-02-17T00:00:00,short,43646.09,44191.4804,-138.9834
2022-02-17T15:00:00,2022-02-18T20:00:00,short,43234.99,40672.8165,496.9725
2022-02-20T12:00:00,2022-02-21T04:00:00,short,38787.5,38895.7551,-53.9894
2022-02-21T17:00:00,2022-02-21T19:00:00,short,37590.05,38427.3778,-234.4164
2022-02-22T03:00:00,2022-02-22T19:00:00,short,37057.91,38207.6195,-307.5909
2022-02-23T14:00:00,2022-02-23T23:00:00,long,38719.46,37983.0615,-191.7618
2022-02-24T06:00:00,2022-02-24T13:00:00,short,36823.58,35677.6967,240.205
2022-02-25T02:00:00,2022-02-27T07:00:00,long,38438.67,38246.62,-70.0515
2022-02-28T01:00:00,2022-02-28T13:00:00,short,37588.0,38492.4802,-235.7265
2022-02-28T20:00:00,2022-03-01T21:00:00,long,39830.5,43222.3229,694.2052
2022-03-02T20:00:00,2022-03-02T23:00:00,long,44858.14,43710.4584,-261.4032
2022-03-03T21:00:00,2022-03-06T06:00:00,short,42544.09,39652.38,578.8619
2022-03-06T16:00:00,2022-03-06T18:00:00,short,38288.5,38964.3729,-195.9218
2022-03-07T08:00:00,2022-03-07T17:00:00,short,37800.0,38648.1209,-236.3351
2022-03-08T01:00:00,2022-03-08T03:00:00,short,37325.31,38335.5689,-272.2378
2022-03-09T08:00:00,2022-03-10T06:00:00,long,39436.06,41230.2133,372.0902
2022-03-10T07:00:00,2022-03-10T18:00:00,short,40955.95,40272.1378,125.4434
2022-03-11T08:00:00,2022-03-11T12:00:00,short,38283.43,39247.4215,-261.5163
2022-03-11T17:00:00,2022-03-11T20:00:00,long,39908.89,38939.1247,-245.5348
2022-03-14T03:00:00,2022-03-14T08:00:00,short,37731.83,38340.8132,-167.8882
2022-03-15T03:00:00,2022-03-15T07:00:00,long,39341.32,38696.6359,-166.3754
2022-03-16T07:00:00,2022-03-16T07:00:00,long,40915.0,39896.1986,-234.784
2022-03-19T00:00:00,2022-03-20T16:00:00,long,42085.13,41401.8643,-157.3678
2022-03-20T22:00:00,2022-03-21T00:00:00,short,41052.5,41588.9059,-129.2375
2022-03-21T07:00:00,2022-03-21T15:00:00,short,40842.75,41471.3493,-145.5603
2022-03-22T07:00:00,2022-03-22T10:00:00,long,41857.31,42353.7698,68.6162
2022-03-24T04:00:00,2022-03-25T21:00:00,long,42912.21,44125.5389,197.5185
2022-03-27T21:00:00,2022-03-28T01:00:00,long,44986.6,46017.1939,159.5038
2022-03-28T23:00:00,2022-03-29T03:00:00,long,47990.91,47283.3391,-145.053
2022-03-30T06:00:00,2022-03-30T21:00:00,short,46869.63,47611.5044,-151.5714
2022-03-30T22:00:00,2022-03-30T23:00:00,long,47706.41,47031.6302,-135.0749
2022-03-31T19:00:00,2022-04-01T12:00:00,short,46709.98,45301.8481,210.8248
2022-04-01T19:00:00,2022-04-02T22:00:00,long,46119.69,46026.6579,-39.9336
2022-04-02T23:00:00,2022-04-03T10:00:00,short,45857.58,46580.9945,-148.9668
2022-04-04T02:00:00,2022-04-04T03:00:00,long,46975.46,46527.0211,-97.4389
2022-04-04T05:00:00,2022-04-05T00:00:00,short,45855.02,46257.6556,-90.5506
2022-04-05T02:00:00,2022-04-05T18:00:00,long,46497.68,46076.7906,-91.3375
2022-04-06T05:00:00,2022-04-08T12:00:00,short,45011.09,43942.4251,155.7495
2022-04-09T03:00:00,2022-04-10T04:00:00,short,42312.66,42774.85,-106.6613
2022-04-11T03:00:00,2022-04-12T09:00:00,short,42096.5,40074.0577,340.3941
2022-04-13T18:00:00,2022-04-14T18:00:00,long,40554.4,40607.99,-13.2518
2022-04-14T19:00:00,2022-04-15T18:00:00,short,40425.9,40542.9619,-46.4462
2022-04-15T19:00:00,2022-04-16T20:00:00,long,40459.03,40083.01,-96.0991
2022-04-17T22:00:00,2022-04-17T23:00:00,short,40109.59,40409.7188,-81.1142
2022-04-18T04:00:00,2022-04-18T16:00:00,short,39660.62,39233.8027,59.4892
2022-04-18T23:00:00,2022-04-20T19:00:00,long,40667.24,41110.2563,60.7186
2022-04-20T23:00:00,2022-04-21T01:00:00,short,40971.28,41584.482,-139.752
2022-04-21T15:00:00,2022-04-21T20:00:00,long,42270.02,42079.8527,-57.1571
2022-04-22T00:00:00,2022-04-22T10:00:00,short,41244.49,40771.1828,64.3063
2022-04-22T20:00:00,2022-04-25T18:00:00,short,39424.68,39344.4035,-7.3364
2022-04-25T23:00:00,2022-04-26T18:00:00,long,39903.07,39490.3037,-101.6817
2022-04-26T19:00:00,2022-04-27T11:00:00,short,39270.56,38760.0123,75.4235
2022-04-27T18:00:00,2022-04-27T18:00:00,long,39349.22,38589.9032,-169.2922
2022-04-29T15:00:00,2022-05-01T19:00:00,short,38796.91,38389.3574,55.9017
2022-05-02T05:00:00,2022-05-02T21:00:00,long,38701.0,38200.2337,-119.2265
2022-05-03T21:00:00,2022-05-04T10:00:00,short,38129.85,38265.1258,-48.2956
2022-05-04T12:00:00,2022-05-04T22:00:00,long,38676.99,38723.5146,-13.1709
2022-05-04T23:00:00,2022-05-05T18:00:00,long,39630.0,38948.8479,-147.3526
2022-05-05T19:00:00,2022-05-06T00:00:00,short,38184.61,36444.6897,305.3079
2022-05-08T07:00:00,2022-05-08T23:00:00,short,34553.1,34693.1552,-52.7083
2022-05-09T07:00:00,2022-05-10T00:00:00,short,33483.37,31399.2021,439.9145
2022-05-10T04:00:00,2022-05-10T05:00:00,short,30066.48,31394.4526,-370.9576
2022-05-11T02:00:00,2022-05-11T07:00:00,short,30231.85,31534.2519,-345.2867
2022-05-11T17:00:00,2022-05-11T17:00:00,short,29267.58,30863.2533,-411.1251
2022-05-12T01:00:00,2022-05-12T14:00:00,short,28421.16,28260.775,17.8354
2022-05-13T07:00:00,2022-05-14T04:00:00,long,30090.56,29239.41,-210.7103
2022-05-16T01:00:00,2022-05-16T07:00:00,long,31023.55,30240.9169,-184.17
2022-05-17T08:00:00,2022-05-17T22:00:00,long,30351.57,29553.215,-185.8031
2022-05-18T18:00:00,2022-05-19T16:00:00,short,29286.28,29555.8805,-75.3134
2022-05-19T19:00:00,2022-05-20T18:00:00,long,29857.86,29720.3355,-46.2636
2022-05-20T19:00:00,2022-05-22T13:00:00,short,29412.89,29736.5907,-84.7175
2022-05-23T11:00:00,2022-05-23T18:00:00,long,30469.75,30035.8763,-102.5698
