entry_time,exit_time,side,entry_price,exit_price,pnl
2022-01-27T07:00:00,2022-01-27T16:00:00,short,35852.73,36769.1393,-285.9872
2022-01-30T02:00:00,2022-01-30T05:00:00,long,38375.12,37832.774,-166.2218
2022-02-01T22:00:00,2022-02-01T23:00:00,long,39153.24,38551.1231,-175.2535
2022-02-03T16:00:00,2022-02-03T20:00:00,short,36389.72,36853.0146,-147.6228
2022-02-04T21:00:00,2022-02-08T17:00:00,long,39501.68,43556.9627,917.9438
2022-02-10T01:00:00,2022-02-10T07:00:00,long,44551.7,43841.7137,-191.8251
2022-02-10T17:00:00,2022-02-10T18:00:00,long,44877.39,44290.9311,-159.6984
2022-02-14T07:00:00,2022-02-14T11:00:00,short,41675.52,42176.2851,-147.2013
2022-02-15T07:00:00,2022-02-16T20:00:00,long,43491.85,43496.59,-27.8829
2022-02-18T00:00:00,2022-02-21T20:00:00,short,41296.29,39040.2888,497.2715
2022-02-22T03:00:00,2022-02-22T19:00:00,short,37057.91,37977.2248,-281.6083
2022-02-24T06:00:00,2022-02-24T20:00:00,short,36823.58,36128.9122,156.2591
2022-02-26T06:00:00,2022-02-26T13:00:00,long,39774.69,38876.0262,-255.2974
2022-03-01T02:00:00,2022-03-03T20:00:00,long,41917.09,42831.3448,182.767
2022-03-05T01:00:00,2022-03-08T17:00:00,short,39781.22,39199.7101,115.4144
2022-03-09T14:00:00,2022-03-10T06:00:00,long,42069.82,41259.3771,-223.044
2022-03-11T08:00:00,2022-03-11T11:00:00,short,38283.43,39006.4236,-214.929
2022-03-14T03:00:00,2022-03-14T05:00:00,short,37731.83,38188.5674,-145.0761
2022-03-16T07:00:00,2022-03-16T07:00:00,long,40915.0,40150.899,-204.524
2022-03-19T00:00:00,2022-03-19T07:00:00,long,42085.13,41572.6808,-140.1148
2022-03-22T07:00:00,2022-03-22T10:00:00,long,41857.31,42025.8898,9.2986
2022-03-24T04:00:00,2022-03-30T05:00:00,long,42912.21,46885.2252,815.0903
2022-04-02T05:00:00,2022-04-02T06:00:00,long,46928.63,46281.8846,-166.3971
2022-04-04T02:00:00,2022-04-04T03:00:00,long,46975.46,46509.7306,-125.9161
