entry_time,exit_time,side,entry_price,exit_price,pnl
2017-01-30T21:00:00,2017-01-30T22:00:00,long,10.653,10.5756,-102.5493
2017-01-31T20:00:00,2017-02-01T13:00:00,long,10.703,10.601,-123.9039
2017-02-02T20:00:00,2017-02-02T22:00:00,long,10.8,10.7075,-112.9307
2017-02-03T23:00:00,2017-02-04T05:00:00,long,10.88,11.044,116.4107
2017-02-04T14:00:00,2017-02-04T21:00:00,long,11.378,11.2324,-154.2612
2017-02-07T01:00:00,2017-02-08T08:00:00,long,11.334,11.3281,-33.8306
2017-02-14T03:00:00,2017-02-14T04:00:00,long,11.42,11.8487,330.6242
2017-02-14T10:00:00,2017-02-14T20:00:00,long,12.258,12.8243,427.827
2017-02-23T20:00:00,2017-02-24T00:00:00,long,12.998,13.0695,25.8046
2017-02-25T12:00:00,2017-02-25T17:00:00,long,13.437,13.2853,-148.0454
2017-02-26T17:00:00,2017-02-26T20:00:00,long,13.95,14.1442,111.4295
2017-02-27T19:00:00,2017-02-28T03:00:00,long,14.752,15.6233,578.5844
2017-03-01T19:00:00,2017-03-02T00:00:00,long,16.395,16.6609,144.041
2017-03-02T10:00:00,2017-03-03T13:00:00,long,17.88,19.5866,1020.7952
2017-03-08T21:00:00,2017-03-09T06:00:00,short,17.1,17.6378,-416.7269
2017-03-10T14:00:00,2017-03-10T15:00:00,long,18.53,17.9545,-396.7085
2017-03-11T16:00:00,2017-03-13T06:00:00,long,20.01,26.39,3553.0454
2017-03-13T12:00:00,2017-03-13T18:00:00,long,28.205,26.8208,-770.6403
2017-03-15T18:00:00,2017-03-16T04:00:00,long,31.751,38.5831,2976.332
2017-03-16T08:00:00,2017-03-16T08:00:00,long,42.069,39.661,-1024.1398
2017-03-16T21:00:00,2017-03-17T08:00:00,long,44.0,44.5721,159.7254
2017-03-23T21:00:00,2017-03-25T00:00:00,long,43.139,56.037,4776.1713
2017-03-29T03:00:00,2017-03-29T10:00:00,long,52.56,51.2775,-572.9056
2017-04-03T23:00:00,2017-04-04T15:00:00,short,43.0,44.9655,-993.3276
2017-04-06T19:00:00,2017-04-07T04:00:00,short,43.22,44.3157,-549.9106
2017-04-13T04:00:00,2017-04-13T06:00:00,long,48.999,47.9014,-477.4186
2017-04-13T15:00:00,2017-04-14T02:00:00,long,49.639,48.6107,-434.4648
2017-04-15T19:00:00,2017-04-16T11:00:00,long,49.85,48.9136,-389.6147
2017-04-18T03:00:00,2017-04-19T23:00:00,long,50.302,50.9948,188.3874
2017-04-24T00:00:00,2017-04-27T13:00:00,long,53.331,64.4526,3634.1056
2017-04-28T00:00:00,2017-04-28T10:00:00,long,68.0,67.7318,-148.0657
2017-04-28T22:00:00,2017-04-29T09:00:00,long,74.3,71.4313,-880.6308
2017-04-30T18:00:00,2017-05-01T15:00:00,long,78.6,82.484,941.3279
2017-05-04T06:00:00,2017-05-04T21:00:00,long,88.4,89.2824,148.0867
2017-05-04T23:00:00,2017-05-05T16:00:00,long,97.998,94.4437,-839.2935
2017-05-15T10:00:00,2017-05-15T11:00:00,long,94.99,93.6791,-345.045
2017-05-18T05:00:00,2017-05-19T04:00:00,long,91.833,104.8168,2793.613
2017-05-19T08:00:00,2017-05-22T09:00:00,long,112.1,179.9182,13831.7991
2017-05-25T13:00:00,2017-05-25T16:00:00,long,201.2,191.8721,-1816.0992
2017-05-27T05:00:00,2017-05-27T12:00:00,short,133.8,148.077,-3848.2665
2017-05-28T05:00:00,2017-05-28T15:00:00,long,164.83,152.5735,-2408.5106
2017-05-30T04:00:00,2017-05-30T14:00:00,long,196.42,192.9299,-596.7655
2017-05-30T22:00:00,2017-05-30T22:00:00,long,218.5,207.3765,-1516.6682
2017-05-30T23:00:00,2017-05-31T04:00:00,long,220.2,207.5118,-1613.7058
2017-06-04T03:00:00,2017-06-04T03:00:00,long,231.0,225.6244,-657.0473
2017-06-04T10:00:00,2017-06-07T20:00:00,long,232.3,248.5711,1632.3981
2017-06-09T02:00:00,2017-06-10T18:00:00,long,261.52,302.3906,3982.1196
2017-06-10T21:00:00,2017-06-11T00:00:00,long,315.43,316.7479,35.1577
2017-06-11T19:00:00,2017-06-12T10:00:00,long,345.97,344.1461,-248.2168
2017-06-15T14:00:00,2017-06-15T14:00:00,short,267.4,295.5247,-3227.1237
2017-06-16T10:00:00,2017-06-18T21:00:00,long,345.28,339.0,-562.0528
2017-06-21T10:00:00,2017-06-21T23:00:00,short,324.0,322.1435,71.196
2017-06-24T14:00:00,2017-06-24T14:00:00,short,301.31,308.7654,-724.2402
2017-06-24T20:00:00,2017-06-24T20:00:00,short,295.98,305.2616,-872.0515
2017-06-25T01:00:00,2017-06-25T04:00:00,short,289.7,300.0526,-949.3212
2017-06-25T19:00:00,2017-06-26T01:00:00,short,279.37,279.3157,-65.9968
2017-06-26T09:00:00,2017-06-26T09:00:00,short,245.01,260.9151,-1595.4985
2017-06-26T16:00:00,2017-06-26T23:00:00,short,231.0,248.0404,-1680.8009
2017-06-27T15:00:00,2017-06-27T18:00:00,short,215.73,232.8712,-1666.5629
2017-07-01T02:00:00,2017-07-02T17:00:00,short,266.9,269.1012,-208.4772
2017-07-05T08:00:00,2017-07-05T18:00:00,short,258.26,264.7441,-515.2482
2017-07-07T12:00:00,2017-07-08T04:00:00,short,247.49,240.508,449.3097
2017-07-10T12:00:00,2017-07-11T00:00:00,short,226.17,199.7622,2078.3329
2017-07-11T07:00:00,2017-07-11T07:00:00,short,172.97,186.2123,-1618.9259
2017-07-13T18:00:00,2017-07-13T20:00:00,short,192.64,202.5686,-1021.3726
2017-07-14T17:00:00,2017-07-14T18:00:00,short,183.29,191.0749,-805.0578
2017-07-16T00:00:00,2017-07-16T16:00:00,short,170.21,157.3245,1228.7336
2017-07-18T19:00:00,2017-07-18T21:00:00,long,216.4,227.801,898.0093
2017-07-21T07:00:00,2017-07-21T10:00:00,long,238.82,226.5123,-1034.7537
2017-07-25T19:00:00,2017-07-25T23:00:00,short,198.32,205.9773,-748.6304
2017-07-28T12:00:00,2017-07-28T14:00:00,short,190.01,195.0883,-512.5083
2017-07-29T04:00:00,2017-07-29T04:00:00,short,184.01,189.0192,-505.5539
2017-07-29T10:00:00,2017-07-29T17:00:00,short,181.07,186.9947,-579.445
2017-08-01T05:00:00,2017-08-01T11:00:00,long,214.14,207.8727,-503.3312
2017-08-01T19:00:00,2017-08-02T13:00:00,long,226.87,216.7588,-718.0628
2017-08-05T07:00:00,2017-08-05T18:00:00,long,232.07,248.8739,997.8262
2017-08-06T02:00:00,2017-08-06T03:00:00,long,263.79,255.8628,-508.1765
2017-08-06T17:00:00,2017-08-07T01:00:00,long,266.93,259.338,-467.4798
2017-08-07T14:00:00,2017-08-07T17:00:00,long,274.0,267.2651,-397.1911
2017-08-08T13:00:00,2017-08-09T07:00:00,long,284.17,300.9165,783.1181
2017-08-10T16:00:00,2017-08-10T20:00:00,long,308.65,300.2938,-444.6878
2017-08-12T01:00:00,2017-08-12T20:00:00,long,313.08,306.1513,-360.4527
2017-08-16T14:00:00,2017-08-18T00:00:00,long,298.99,294.6519,-244.852
2017-08-19T11:00:00,2017-08-19T12:00:00,short,285.7,292.4601,-367.2662
2017-08-21T06:00:00,2017-08-21T07:00:00,long,314.61,312.8043,-116.9005
2017-08-21T12:00:00,2017-08-21T20:00:00,long,330.49,323.5663,-317.4596
2017-08-25T06:00:00,2017-08-25T19:00:00,long,333.3,327.9811,-245.2961
2017-08-27T01:00:00,2017-08-28T04:00:00,long,335.98,340.9689,150.313
2017-08-29T06:00:00,2017-08-29T11:00:00,long,353.98,357.2309,79.3494
2017-08-29T17:00:00,2017-08-30T09:00:00,long,371.0,372.918,27.976
2017-09-02T21:00:00,2017-09-02T22:00:00,short,328.43,341.7717,-566.4668
2017-09-04T08:00:00,2017-09-04T19:00:00,short,317.59,305.0192,454.3874
2017-09-05T02:00:00,2017-09-05T06:00:00,short,269.17,287.2632,-903.9818
2017-09-08T14:00:00,2017-09-08T16:00:00,short,310.74,313.698,-149.7918
2017-09-10T05:00:00,2017-09-10T17:00:00,short,289.22,297.465,-372.3462
2017-09-12T19:00:00,2017-09-12T21:00:00,short,287.71,295.8239,-357.0972
2017-09-13T03:00:00,2017-09-13T22:00:00,short,281.35,278.3093,86.6241
2017-09-14T12:00:00,2017-09-15T12:00:00,short,248.73,229.2177,843.2184
2017-09-18T13:00:00,2017-09-18T15:00:00,long,297.92,286.9183,-478.5574
2017-09-24T02:00:00,2017-09-24T04:00:00,long,290.82,283.9093,-307.9904
2017-09-25T15:00:00,2017-09-26T05:00:00,long,295.01,288.554,-278.717
2017-09-27T11:00:00,2017-09-28T10:00:00,long,297.01,303.8163,217.4412
2017-09-30T11:00:00,2017-09-30T13:00:00,long,305.85,300.4117,-231.4977
2017-10-06T06:00:00,2017-10-07T11:00:00,long,298.19,304.8712,211.5964
2017-10-07T23:00:00,2017-10-08T02:00:00,long,314.89,311.2933,-160.3874
2017-10-13T06:00:00,2017-10-13T07:00:00,long,315.06,322.6153,229.8434
2017-10-13T13:00:00,2017-10-15T09:00:00,long,342.5,333.14,-339.3335
2017-10-16T03:00:00,2017-10-16T05:00:00,long,346.77,339.2754,-267.0499
2017-10-16T06:00:00,2017-10-16T07:00:00,long,349.89,340.3302,-320.9033
2017-10-17T21:00:00,2017-10-18T15:00:00,short,314.97,305.4694,279.6103
2017-10-21T05:00:00,2017-10-22T01:00:00,short,297.21,301.9836,-201.4694
2017-10-23T07:00:00,2017-10-23T22:00:00,short,285.71,285.8627,-36.6052
2017-11-01T23:00:00,2017-11-02T02:00:00,short,292.1,287.4869,132.2429
2017-11-03T21:00:00,2017-11-04T01:00:00,long,302.99,297.0389,-236.2994
2017-11-08T19:00:00,2017-11-10T07:00:00,long,308.26,314.7183,183.0263
2017-11-11T21:00:00,2017-11-11T23:00:00,long,318.99,311.2461,-283.2122
2017-11-18T19:00:00,2017-11-19T08:00:00,long,337.61,360.6812,659.7651
2017-11-20T17:00:00,2017-11-21T03:00:00,long,365.36,359.3079,-210.5139
2017-11-22T23:00:00,2017-11-23T23:00:00,long,378.0,411.2475,896.0009
2017-11-24T13:00:00,2017-11-26T06:00:00,long,432.29,447.8039,376.2447
2017-11-27T05:00:00,2017-11-27T09:00:00,long,485.0,473.6926,-311.0227
2017-11-29T13:00:00,2017-11-29T15:00:00,long,509.99,495.3865,-364.0732
2017-11-30T14:00:00,2017-11-30T18:00:00,short,392.28,419.6069,-812.0826
2017-12-06T16:00:00,2017-12-06T17:00:00,short,418.08,430.716,-344.2734
2017-12-06T23:00:00,2017-12-06T23:00:00,short,403.07,416.8437,-372.3734
2017-12-07T11:00:00,2017-12-07T13:00:00,short,395.67,410.7557,-396.6634
2017-12-09T03:00:00,2017-12-09T17:00:00,long,458.0,441.864,-352.5704
2017-12-12T00:00:00,2017-12-13T02:00:00,long,515.24,604.5229,1510.1881
2017-12-13T11:00:00,2017-12-15T01:00:00,long,661.0,649.0043,-219.494
2017-12-18T12:00:00,2017-12-18T13:00:00,long,735.82,715.8688,-305.9352
2017-12-18T19:00:00,2017-12-19T10:00:00,long,751.36,803.098,648.8104
