entry_time,exit_time,side,entry_price,exit_price,pnl
2017-01-31T17:00:00,2017-01-31T22:00:00,long,940.42,949.8978,70.6316
2017-02-01T04:00:00,2017-02-03T11:00:00,long,963.6,997.9975,328.7388
2017-02-04T23:00:00,2017-02-05T00:00:00,long,1039.08,1028.5844,-136.0834
2017-02-09T10:00:00,2017-02-09T11:00:00,long,1071.54,1060.1359,-139.8554
2017-02-21T05:00:00,2017-02-22T13:00:00,long,1084.0,1100.7771,126.0757
2017-02-22T21:00:00,2017-02-24T12:00:00,long,1131.21,1185.7324,462.5195
2017-02-27T06:00:00,2017-02-27T10:00:00,long,1188.5,1174.1883,-160.9345
2017-03-03T15:00:00,2017-03-03T18:00:00,long,1285.0,1269.3271,-160.1497
2017-03-09T05:00:00,2017-03-09T12:00:00,short,1149.34,1176.7082,-278.9745
2017-03-11T03:00:00,2017-03-11T12:00:00,short,1105.0,1173.834,-661.1879
2017-03-17T08:00:00,2017-03-17T16:00:00,short,1123.51,1154.5128,-289.534
2017-03-18T07:00:00,2017-03-18T14:00:00,short,1060.01,1095.944,-338.5127
2017-03-18T18:00:00,2017-03-19T20:00:00,short,1026.71,1039.8003,-139.1246
2017-03-22T18:00:00,2017-03-23T15:00:00,short,1019.6,1047.0358,-260.0634
2017-03-24T17:00:00,2017-03-24T18:00:00,short,968.3,990.566,-219.2597
2017-03-25T02:00:00,2017-03-25T21:00:00,short,949.49,952.2539,-48.5308
2017-03-28T13:00:00,2017-03-28T23:00:00,long,1047.12,1029.9262,-158.1845
2017-03-31T20:00:00,2017-03-31T20:00:00,long,1079.78,1065.4819,-129.7353
2017-04-01T12:00:00,2017-04-01T19:00:00,long,1085.62,1072.802,-116.3603
2017-04-03T05:00:00,2017-04-08T23:00:00,long,1106.41,1172.02,435.7178
2017-04-09T21:00:00,2017-04-11T00:00:00,long,1208.55,1198.8498,-90.1762
2017-04-11T21:00:00,2017-04-11T23:00:00,long,1224.44,1215.6733,-82.177
2017-04-16T17:00:00,2017-04-16T19:00:00,short,1153.11,1163.5658,-96.8277
2017-04-18T09:00:00,2017-04-22T17:00:00,long,1198.73,1220.1358,117.4261
2017-04-26T20:00:00,2017-04-26T22:00:00,long,1308.74,1299.0771,-83.3457
2017-04-27T20:00:00,2017-04-28T15:00:00,long,1330.99,1317.1977,-106.1356
2017-05-01T02:00:00,2017-05-01T22:00:00,long,1351.0,1389.6929,200.835
2017-05-02T14:00:00,2017-05-02T22:00:00,long,1435.03,1436.4075,-16.4275
2017-05-03T22:00:00,2017-05-04T23:00:00,long,1488.0,1560.2594,365.2896
2017-05-08T12:00:00,2017-05-08T15:00:00,long,1590.99,1562.9634,-172.8616
2017-05-09T01:00:00,2017-05-10T00:00:00,long,1627.81,1669.0972,183.5787
2017-05-10T18:00:00,2017-05-12T00:00:00,long,1771.99,1799.0552,102.9863
2017-05-14T12:00:00,2017-05-14T16:00:00,long,1807.5,1770.4588,-199.649
2017-05-17T10:00:00,2017-05-23T01:00:00,long,1757.31,2111.4814,1647.3122
2017-05-23T19:00:00,2017-05-25T20:00:00,long,2236.0,2594.9349,1566.0865
2017-06-01T06:00:00,2017-06-06T20:00:00,long,2357.24,2778.1801,2020.0629
2017-06-10T16:00:00,2017-06-10T19:00:00,long,2895.0,2854.2895,-230.7927
2017-06-11T20:00:00,2017-06-12T14:00:00,long,2943.92,2902.2358,-228.15
2017-06-15T02:00:00,2017-06-16T00:00:00,short,2459.92,2366.1461,460.2753
2017-06-20T23:00:00,2017-06-21T04:00:00,long,2761.82,2714.8846,-270.4684
2017-06-21T09:00:00,2017-06-21T09:00:00,long,2789.0,2738.6192,-279.246
2017-06-26T00:00:00,2017-06-28T00:00:00,short,2496.64,2441.7363,247.2133
2017-07-01T02:00:00,2017-07-01T11:00:00,short,2480.71,2516.8864,-233.1249
2017-07-01T23:00:00,2017-07-02T20:00:00,short,2426.1,2466.6227,-256.6375
2017-07-04T07:00:00,2017-07-04T20:00:00,long,2605.03,2566.3528,-227.3069
2017-07-08T03:00:00,2017-07-08T09:00:00,short,2484.58,2518.4508,-208.5758
2017-07-10T16:00:00,2017-07-11T04:00:00,short,2490.0,2332.3843,743.8395
2017-07-14T06:00:00,2017-07-14T11:00:00,short,2313.01,2350.2233,-249.6173
2017-07-14T17:00:00,2017-07-15T20:00:00,short,2274.98,2075.5126,1086.4688
2017-07-16T04:00:00,2017-07-17T11:00:00,short,1970.51,2032.4595,-479.2458
2017-07-18T18:00:00,2017-07-19T04:00:00,long,2327.07,2253.8346,-461.8926
2017-07-20T16:00:00,2017-07-21T04:00:00,long,2461.92,2763.0955,1543.6976
2017-07-26T11:00:00,2017-07-26T12:00:00,short,2447.96,2528.4959,-521.2398
2017-07-28T05:00:00,2017-07-30T02:00:00,long,2712.84,2655.1023,-338.992
2017-07-31T17:00:00,2017-07-31T18:00:00,long,2791.06,2737.5664,-301.9388
2017-08-01T00:00:00,2017-08-01T01:00:00,long,2837.44,2783.9515,-291.0588
2017-08-01T10:00:00,2017-08-01T11:00:00,long,2895.02,2834.8746,-309.7774
2017-08-04T13:00:00,2017-08-05T09:00:00,long,2840.0,3115.928,1197.3931
2017-08-05T21:00:00,2017-08-06T01:00:00,long,3283.49,3197.6042,-405.725
2017-08-07T16:00:00,2017-08-08T20:00:00,long,3354.27,3325.2547,-157.4323
2017-08-11T10:00:00,2017-08-12T21:00:00,long,3470.19,3798.2826,1222.1503
2017-08-13T06:00:00,2017-08-13T15:00:00,long,3997.95,3908.8004,-368.6973
2017-08-14T14:00:00,2017-08-15T13:00:00,long,4200.0,4095.9562,-394.513
2017-08-17T04:00:00,2017-08-17T07:00:00,long,4361.99,4245.9435,-408.8651
2017-08-17T14:00:00,2017-08-17T19:00:00,long,4459.03,4351.3952,-363.739
2017-08-22T05:00:00,2017-08-22T10:00:00,short,3883.93,3797.555,251.6434
2017-08-23T13:00:00,2017-08-28T08:00:00,long,4150.0,4199.1246,117.3772
2017-08-29T02:00:00,2017-08-29T21:00:00,long,4377.82,4522.162,401.7351
2017-08-31T15:00:00,2017-09-02T07:00:00,long,4647.83,4848.7281,555.3189
2017-09-04T12:00:00,2017-09-05T01:00:00,short,4379.96,4326.691,132.0415
2017-09-05T06:00:00,2017-09-05T11:00:00,short,4021.94,4179.8535,-614.3148
2017-09-10T11:00:00,2017-09-10T12:00:00,short,4023.0,4126.0796,-398.416
2017-09-13T07:00:00,2017-09-13T21:00:00,short,4035.48,3955.3556,227.9875
2017-09-14T16:00:00,2017-09-15T16:00:00,short,3615.07,3304.7531,1139.2036
2017-09-21T19:00:00,2017-09-23T12:00:00,short,3786.49,3722.8916,205.5198
2017-09-27T15:00:00,2017-09-28T18:00:00,long,4056.27,4129.9766,228.2965
2017-09-30T11:00:00,2017-10-03T09:00:00,long,4270.0,4295.1123,43.956
2017-10-06T00:00:00,2017-10-06T03:00:00,long,4355.3,4301.6859,-234.6884
2017-10-06T10:00:00,2017-10-06T20:00:00,long,4390.02,4335.5583,-232.544
2017-10-08T03:00:00,2017-10-10T03:00:00,long,4448.98,4740.8201,929.9984
2017-10-10T22:00:00,2017-10-11T02:00:00,long,4870.12,4798.4971,-279.5977
2017-10-12T12:00:00,2017-10-13T07:00:00,long,5018.23,5666.9148,1957.9812
2017-10-19T14:00:00,2017-10-22T08:00:00,long,5695.0,5858.5842,449.128
2017-10-25T02:00:00,2017-10-25T12:00:00,short,5464.99,5603.9178,-510.5015
