entry_time,exit_time,side,entry_price,exit_price,pnl
2022-02-01T22:00:00,2022-02-01T23:00:00,long,39153.24,38551.1231,-183.554
2022-02-03T16:00:00,2022-02-03T20:00:00,short,36389.72,36853.0146,-154.6146
2022-02-04T21:00:00,2022-02-08T17:00:00,long,39501.68,43556.9627,961.4201
2022-02-18T03:00:00,2022-02-21T20:00:00,short,40701.6,39113.4901,383.2539
2022-02-22T03:00:00,2022-02-22T19:00:00,short,37057.91,37977.2248,-306.4732
2022-02-24T06:00:00,2022-02-24T20:00:00,short,36823.58,36128.9122,170.0562
2022-02-26T06:00:00,2022-02-26T13:00:00,long,39774.69,38876.0262,-277.8391
2022-02-28T01:00:00,2022-02-28T06:00:00,short,37588.0,38326.3701,-240.1606
2022-03-01T02:00:00,2022-03-03T20:00:00,long,41917.09,42831.3448,194.3947
2022-03-05T01:00:00,2022-03-08T17:00:00,short,39781.22,39199.7101,122.7571
2022-03-11T08:00:00,2022-03-11T11:00:00,short,38283.43,39006.4236,-233.8017
2022-03-14T03:00:00,2022-03-14T05:00:00,short,37731.83,38188.5674,-157.815
2022-03-19T00:00:00,2022-03-19T07:00:00,long,42085.13,41572.6808,-155.7906
2022-03-22T08:00:00,2022-03-23T05:00:00,long,42284.48,41935.7384,-113.7202
2022-03-24T19:00:00,2022-03-30T05:00:00,long,43607.71,46820.7317,706.2686
2022-04-06T18:00:00,2022-04-10T22:00:00,short,44189.75,43134.35,224.1362
2022-04-11T16:00:00,2022-04-12T16:00:00,short,41073.43,40604.783,92.1799
2022-04-21T15:00:00,2022-04-21T21:00:00,long,42270.02,41820.4713,-150.2294
2022-04-22T20:00:00,2022-04-25T22:00:00,short,39424.68,39724.9014,-115.6211
2022-04-29T21:00:00,2022-05-02T08:00:00,short,38502.67,38952.0451,-158.1225
2022-05-08T07:00:00,2022-05-10T00:00:00,short,34553.1,31641.9402,863.1556
2022-05-10T04:00:00,2022-05-10T05:00:00,short,30066.48,31062.4595,-414.9298
2022-05-11T17:00:00,2022-05-11T17:00:00,short,29267.58,30464.335,-485.8812
2022-05-12T01:00:00,2022-05-12T04:00:00,short,28421.16,29851.0225,-564.2324
2022-05-12T09:00:00,2022-05-12T18:00:00,short,27640.0,29065.8204,-546.8922
2022-05-18T18:00:00,2022-05-19T18:00:00,short,29286.28,29756.6053,-180.4923
2022-05-23T11:00:00,2022-05-23T17:00:00,long,30469.75,30144.3447,-126.7634
2022-05-26T13:00:00,2022-05-26T18:00:00,short,28974.16,29129.1352,-76.4701
2022-05-30T10:00:00,2022-05-31T10:00:00,long,30446.63,31415.4288,261.082
2022-06-06T13:00:00,2022-06-06T21:00:00,long,31464.98,31120.4191,-130.0799
2022-06-10T18:00:00,2022-06-12T19:00:00,short,29357.26,27861.1359,442.2106
