entry_time,exit_time,side,entry_price,exit_price,pnl
2021-05-03T12:00:00,2021-05-03T17:00:00,long,58841.69,58079.6166,-159.3182
2021-05-05T04:00:00,2021-05-05T04:00:00,short,53221.75,54402.8861,-248.2413
2021-05-06T15:00:00,2021-05-06T18:00:00,long,58045.67,57007.4061,-200.1001
2021-05-08T13:00:00,2021-05-08T19:00:00,long,58983.51,58005.3469,-183.7029
2021-05-12T23:00:00,2021-05-13T05:00:00,short,54114.29,48750.4731,886.5048
2021-05-16T04:00:00,2021-05-16T05:00:00,short,46753.4,48038.8816,-308.267
2021-05-16T23:00:00,2021-05-17T15:00:00,short,45435.86,45815.7115,-111.3033
2021-05-19T06:00:00,2021-05-19T17:00:00,short,40835.1,36270.7186,1054.0916
2021-05-22T00:00:00,2021-05-22T14:00:00,short,36094.58,38266.5935,-678.8216
2021-05-23T21:00:00,2021-05-24T01:00:00,short,32221.01,34216.9151,-653.6779
2021-05-28T10:00:00,2021-05-30T11:00:00,short,37027.5,36164.8608,191.0651
2021-06-03T10:00:00,2021-06-04T05:00:00,long,38800.68,38121.7459,-196.2878
2021-06-06T02:00:00,2021-06-06T05:00:00,short,34970.25,35837.4332,-261.4241
2021-06-08T01:00:00,2021-06-08T23:00:00,short,34441.65,32949.3304,368.8174
2021-06-10T15:00:00,2021-06-10T18:00:00,long,37862.4,36829.2898,-287.3072
2021-06-14T18:00:00,2021-06-14T22:00:00,long,40535.2,39704.8438,-216.0597
2021-06-18T19:00:00,2021-06-20T23:00:00,short,36645.16,35379.9649,284.0689
2021-06-21T11:00:00,2021-06-22T19:00:00,short,32789.47,31276.4145,401.0254
2021-06-25T21:00:00,2021-06-27T04:00:00,short,31908.72,32544.8028,-222.3193
2021-06-29T15:00:00,2021-06-30T08:00:00,long,35641.2,34837.9918,-241.2182
