entry_time,exit_time,side,entry_price,exit_price,pnl
2021-11-02T14:00:00,2021-11-03T17:00:00,long,63134.12,62216.8994,-175.0634
2021-11-09T05:00:00,2021-11-09T20:00:00,long,67547.49,66683.2927,-154.9857
2021-11-12T21:00:00,2021-11-13T01:00:00,short,63198.38,64165.7715,-177.2519
2021-11-16T09:00:00,2021-11-16T19:00:00,short,60913.53,61310.9938,-90.5113
2021-11-18T21:00:00,2021-11-20T06:00:00,short,58102.94,58620.6955,-112.1152
2021-11-23T00:00:00,2021-11-23T15:00:00,short,56477.4,57535.8634,-202.24
2021-11-26T17:00:00,2021-11-26T19:00:00,short,53740.26,54760.3783,-200.031
2021-12-03T22:00:00,2021-12-04T02:00:00,short,54979.87,53858.1074,154.9478
2021-12-04T10:00:00,2021-12-04T11:00:00,short,50341.62,45658.1479,815.415
2021-12-06T15:00:00,2021-12-06T16:00:00,short,47499.94,48612.4738,-260.8167
2021-12-09T20:00:00,2021-12-10T18:00:00,short,48584.05,49449.7792,-200.0657
2021-12-11T05:00:00,2021-12-11T05:00:00,short,47179.53,48194.5652,-230.6712
2021-12-13T20:00:00,2021-12-14T16:00:00,short,47946.38,47736.062,12.7701
2021-12-17T20:00:00,2021-12-17T20:00:00,short,45923.1,46623.9069,-167.8297
2021-12-20T15:00:00,2021-12-21T00:00:00,short,45837.96,46556.1557,-168.4407
2021-12-22T08:00:00,2021-12-22T17:00:00,long,49362.43,48711.748,-142.9219
2021-12-23T23:00:00,2021-12-25T22:00:00,long,50080.13,50206.1636,-4.2382
2021-12-27T19:00:00,2021-12-28T03:00:00,long,51341.19,50836.4752,-111.4461
2021-12-28T23:00:00,2021-12-31T13:00:00,short,48029.09,47918.9998,-6.047
