entry_time,exit_time,side,entry_price,exit_price,pnl
2020-08-01T10:00:00,2020-08-02T08:00:00,long,11619.36,11551.1412,-88.6233
2020-08-17T18:00:00,2020-08-18T17:00:00,long,12123.3,12112.3696,-38.6569
2020-08-22T05:00:00,2020-08-22T10:00:00,short,11414.91,11549.0561,-145.8148
2020-08-25T22:00:00,2020-08-26T02:00:00,short,11222.5,11351.6244,-141.2649
2020-08-27T22:00:00,2020-08-28T02:00:00,short,11186.52,11322.7749,-145.6878
2020-09-01T10:00:00,2020-09-02T10:00:00,long,11798.0,11794.7766,-30.8951
2020-09-03T17:00:00,2020-09-04T13:00:00,short,10804.49,10536.4146,205.5756
2020-09-15T15:00:00,2020-09-15T18:00:00,long,10862.32,10740.1766,-136.7953
2020-09-16T20:00:00,2020-09-17T07:00:00,long,11013.21,10886.3293,-137.4618
2020-10-09T15:00:00,2020-10-10T13:00:00,long,10990.73,11280.3302,217.7239
2020-10-12T18:00:00,2020-10-13T04:00:00,long,11498.4,11435.0363,-81.2667
2020-10-19T20:00:00,2020-10-19T22:00:00,long,11811.81,11718.4008,-103.262
2020-10-21T07:00:00,2020-10-22T03:00:00,long,12135.79,12881.7153,547.1608
2020-10-27T16:00:00,2020-10-27T19:00:00,long,13448.07,13308.969,-132.224
2020-10-27T20:00:00,2020-10-28T15:00:00,long,13610.0,13446.5887,-146.717
2020-10-31T13:00:00,2020-10-31T14:00:00,long,13754.46,13561.9945,-163.6401
2020-11-05T13:00:00,2020-11-05T22:00:00,long,14500.0,14786.1861,158.355
2020-11-06T04:00:00,2020-11-07T20:00:00,long,15574.76,15190.7561,-266.1463
2020-11-09T17:00:00,2020-11-09T17:00:00,long,15804.84,15555.1113,-175.9479
2020-11-13T04:00:00,2020-11-14T13:00:00,long,16234.11,15962.004,-181.463
2020-11-17T20:00:00,2020-11-18T10:00:00,long,17187.16,17893.747,342.9397
2020-11-20T20:00:00,2020-11-21T17:00:00,long,18659.17,18352.3382,-181.6853
2020-11-24T15:00:00,2020-11-24T15:00:00,long,18996.08,18691.9155,-174.1992
2020-11-24T18:00:00,2020-11-25T08:00:00,long,19183.92,18849.8631,-183.4854
2020-11-30T03:00:00,2020-11-30T20:00:00,long,18267.03,19129.2257,389.062
2020-12-07T05:00:00,2020-12-07T07:00:00,long,19385.13,19178.9551,-125.3779
2020-12-09T05:00:00,2020-12-09T16:00:00,short,18311.31,18350.8838,-46.8939
2020-12-11T07:00:00,2020-12-12T03:00:00,short,17899.6,18166.9875,-162.2436
2020-12-13T12:00:00,2020-12-17T14:00:00,long,18987.14,22443.6776,1585.9084
2020-12-19T22:00:00,2020-12-20T05:00:00,long,24004.81,23573.3187,-219.0552
2020-12-27T02:00:00,2020-12-27T17:00:00,long,26420.06,27138.9765,247.4525
2020-12-30T09:00:00,2020-12-30T13:00:00,long,28025.37,27493.8734,-230.0112
2020-12-31T01:00:00,2020-12-31T06:00:00,long,28807.89,28227.305,-237.1393
