entry_time,exit_time,side,entry_price,exit_price,pnl
2020-02-03T07:00:00,2020-02-03T07:00:00,long,9499.28,9381.4964,-153.8062
2020-02-06T00:00:00,2020-02-06T05:00:00,long,9680.05,9564.3754,-147.0221
2020-02-06T18:00:00,2020-02-06T18:00:00,long,9828.88,9710.8848,-145.3609
2020-02-11T21:00:00,2020-02-13T14:00:00,long,10211.73,10135.7647,-99.6258
2020-02-16T22:00:00,2020-02-17T04:00:00,short,9737.04,9880.2904,-167.6603
2020-02-17T19:00:00,2020-02-17T21:00:00,short,9540.0,9690.4151,-174.4978
2020-02-25T20:00:00,2020-02-27T17:00:00,short,9400.96,8875.7292,482.5157
2020-02-28T18:00:00,2020-02-28T18:00:00,short,8508.02,8655.9589,-195.8655
2020-03-08T20:00:00,2020-03-09T10:00:00,short,8405.44,7997.1225,429.0555
2020-03-11T22:00:00,2020-03-11T22:00:00,short,7675.77,7806.7485,-197.4341
2020-03-12T11:00:00,2020-03-12T15:00:00,short,7496.94,6420.7745,1355.5861
2020-03-13T04:00:00,2020-03-13T06:00:00,short,4841.67,5250.4204,-961.8149
2020-03-16T11:00:00,2020-03-16T19:00:00,short,5020.87,5128.6767,-245.6291
2020-03-20T13:00:00,2020-03-20T17:00:00,long,6616.37,6520.8749,-170.2573
2020-03-24T13:00:00,2020-03-24T19:00:00,long,6745.11,6516.2023,-354.4068
2020-03-28T22:00:00,2020-03-28T22:00:00,short,6041.61,6174.4841,-231.5865
2020-03-30T00:00:00,2020-03-30T06:00:00,short,5904.88,6022.582,-207.1756
