entry_time,exit_time,side,entry_price,exit_price,pnl
2017-02-01T03:00:00,2017-02-01T09:00:00,long,10.74,10.6314,-131.0011
2017-02-02T20:00:00,2017-02-02T22:00:00,long,10.8,10.7075,-114.0336
2017-02-03T23:00:00,2017-02-04T05:00:00,long,10.88,11.044,117.5476
2017-02-04T14:00:00,2017-02-04T21:00:00,long,11.378,11.2324,-155.7678
2017-02-14T04:00:00,2017-02-14T04:00:00,long,12.061,11.9006,-158.1612
2017-02-14T10:00:00,2017-02-14T20:00:00,long,12.258,12.8243,412.2582
2017-02-25T12:00:00,2017-02-25T17:00:00,long,13.437,13.2853,-142.3031
2017-02-26T17:00:00,2017-02-26T20:00:00,long,13.95,14.1442,107.1074
2017-02-27T19:00:00,2017-02-28T03:00:00,long,14.752,15.6233,556.1427
2017-03-01T19:00:00,2017-03-02T00:00:00,long,16.395,16.6609,138.4541
2017-03-02T10:00:00,2017-03-03T13:00:00,long,17.88,19.5866,981.2013
2017-03-08T21:00:00,2017-03-09T06:00:00,short,17.1,17.6378,-400.5632
2017-03-11T16:00:00,2017-03-13T06:00:00,long,20.01,26.39,3535.4864
2017-03-13T12:00:00,2017-03-13T18:00:00,long,28.205,26.8208,-766.8318
2017-03-15T18:00:00,2017-03-16T04:00:00,long,31.751,38.5831,2961.6231
2017-03-16T08:00:00,2017-03-16T08:00:00,long,42.069,39.661,-1019.0786
2017-03-16T21:00:00,2017-03-17T08:00:00,long,44.0,44.5721,158.9361
2017-03-23T21:00:00,2017-03-25T00:00:00,long,43.139,56.037,4752.5676
2017-03-29T03:00:00,2017-03-29T10:00:00,long,52.56,51.2775,-570.0743
2017-04-03T23:00:00,2017-04-04T15:00:00,short,43.0,44.9655,-988.4186
2017-04-06T19:00:00,2017-04-07T04:00:00,short,43.22,44.3157,-547.193
2017-04-13T04:00:00,2017-04-13T06:00:00,long,48.999,47.9014,-475.0592
2017-04-13T15:00:00,2017-04-14T02:00:00,long,49.639,48.6107,-432.3177
2017-04-18T03:00:00,2017-04-19T23:00:00,long,50.302,50.9948,191.6253
2017-04-24T00:00:00,2017-04-27T13:00:00,long,53.331,64.4526,3696.5655
2017-04-28T00:00:00,2017-04-28T10:00:00,long,68.0,67.7318,-150.6105
2017-04-28T22:00:00,2017-04-29T09:00:00,long,74.3,71.4313,-895.7664
2017-04-30T18:00:00,2017-05-01T15:00:00,long,78.6,82.484,957.5066
2017-05-04T06:00:00,2017-05-04T21:00:00,long,88.4,89.2824,150.6319
2017-05-04T23:00:00,2017-05-05T16:00:00,long,97.998,94.4437,-853.7186
2017-05-15T10:00:00,2017-05-15T11:00:00,long,94.99,93.6791,-350.9753
2017-05-18T09:00:00,2017-05-18T09:00:00,long,97.79,95.8339,-472.4501
2017-05-18T19:00:00,2017-05-19T18:00:00,long,98.0,114.0071,3216.7968
2017-05-19T21:00:00,2017-05-22T09:00:00,long,122.29,176.6883,10283.565
2017-05-25T13:00:00,2017-05-25T16:00:00,long,201.2,191.8721,-1655.9
2017-05-30T04:00:00,2017-05-30T14:00:00,long,196.42,192.9299,-662.4549
2017-05-30T22:00:00,2017-05-30T22:00:00,long,218.5,207.3765,-1683.6167
2017-05-30T23:00:00,2017-05-31T04:00:00,long,220.2,207.5118,-1791.3357
2017-06-04T03:00:00,2017-06-04T03:00:00,long,231.0,225.6244,-729.3724
2017-06-04T10:00:00,2017-06-07T20:00:00,long,232.3,248.5711,1812.0857
2017-06-09T02:00:00,2017-06-10T18:00:00,long,261.52,302.3906,4420.4546
2017-06-10T21:00:00,2017-06-11T00:00:00,long,315.43,316.7479,39.0277
2017-06-11T19:00:00,2017-06-12T10:00:00,long,345.97,344.1461,-275.5394
2017-06-16T17:00:00,2017-06-20T18:00:00,long,351.29,331.4357,-1965.2856
2017-06-21T15:00:00,2017-06-21T23:00:00,short,318.37,323.585,-603.5269
2017-06-24T14:00:00,2017-06-24T14:00:00,short,301.31,308.7654,-847.2554
2017-06-24T20:00:00,2017-06-24T20:00:00,short,295.98,305.2616,-1020.1731
2017-06-25T01:00:00,2017-06-25T04:00:00,short,289.7,300.0526,-1110.5673
2017-06-25T19:00:00,2017-06-26T01:00:00,short,279.37,279.3157,-77.2066
2017-06-26T09:00:00,2017-06-26T09:00:00,short,245.01,260.9151,-1866.5004
2017-06-26T16:00:00,2017-06-26T23:00:00,short,231.0,248.0404,-1966.2919
2017-06-27T15:00:00,2017-06-27T18:00:00,short,215.73,232.8712,-1949.6354
2017-06-30T22:00:00,2017-07-02T08:00:00,short,273.42,266.2261,505.7773
2017-07-05T08:00:00,2017-07-05T18:00:00,short,258.26,264.7441,-623.8643
2017-07-07T12:00:00,2017-07-08T04:00:00,short,247.49,240.508,544.0257
2017-07-10T12:00:00,2017-07-11T00:00:00,short,226.17,199.7622,2516.4525
2017-07-11T07:00:00,2017-07-11T07:00:00,short,172.97,186.2123,-1960.201
2017-07-14T17:00:00,2017-07-14T18:00:00,short,183.29,191.0749,-1031.0814
2017-07-16T00:00:00,2017-07-16T16:00:00,short,170.21,157.3245,1573.706
2017-07-18T19:00:00,2017-07-18T21:00:00,long,216.4,227.801,1150.1293
2017-07-21T07:00:00,2017-07-21T10:00:00,long,238.82,226.5123,-1325.2653
2017-07-25T19:00:00,2017-07-25T23:00:00,short,198.32,205.9773,-958.8116
2017-07-28T12:00:00,2017-07-28T14:00:00,short,190.01,195.0883,-656.3973
2017-07-29T04:00:00,2017-07-29T04:00:00,short,184.01,189.0192,-647.4904
2017-07-29T10:00:00,2017-07-29T17:00:00,short,181.07,186.9947,-742.1267
2017-08-01T19:00:00,2017-08-02T13:00:00,long,226.87,216.7588,-950.2834
2017-08-05T07:00:00,2017-08-05T18:00:00,long,232.07,248.8739,1320.522
2017-08-06T02:00:00,2017-08-06T03:00:00,long,263.79,255.8628,-672.5202
2017-08-06T17:00:00,2017-08-07T01:00:00,long,266.93,259.338,-618.6623
2017-08-07T14:00:00,2017-08-07T17:00:00,long,274.0,267.2651,-525.6422
2017-08-08T13:00:00,2017-08-09T07:00:00,long,284.17,300.9165,1036.3776
2017-08-12T01:00:00,2017-08-12T20:00:00,long,313.08,306.1513,-491.7926
2017-08-16T17:00:00,2017-08-18T00:00:00,long,303.49,296.6199,-489.1045
2017-08-21T06:00:00,2017-08-21T07:00:00,long,314.61,312.8043,-162.5174
2017-08-21T12:00:00,2017-08-21T20:00:00,long,330.49,323.5663,-441.3387
2017-08-25T06:00:00,2017-08-25T19:00:00,long,333.3,327.9811,-341.0156
2017-08-27T18:00:00,2017-08-28T04:00:00,long,339.94,342.3375,71.4221
2017-08-29T06:00:00,2017-08-29T11:00:00,long,353.98,357.2309,109.4644
2017-08-29T17:00:00,2017-08-30T09:00:00,long,371.0,372.918,38.5936
2017-09-02T21:00:00,2017-09-02T22:00:00,short,328.43,341.7717,-781.4547
2017-09-04T08:00:00,2017-09-04T19:00:00,short,317.59,305.0192,626.8385
2017-09-05T02:00:00,2017-09-05T06:00:00,short,269.17,287.2632,-1247.0649
2017-09-08T14:00:00,2017-09-08T16:00:00,short,310.74,313.698,-206.6415
2017-09-10T05:00:00,2017-09-10T17:00:00,short,289.22,297.465,-513.6607
2017-09-12T19:00:00,2017-09-12T21:00:00,short,287.71,295.8239,-492.6243
2017-09-13T03:00:00,2017-09-13T22:00:00,short,281.35,278.3093,119.5
2017-09-14T12:00:00,2017-09-15T12:00:00,short,248.73,229.2177,1163.2404
2017-09-18T13:00:00,2017-09-18T15:00:00,long,297.92,286.9183,-660.1816
2017-09-24T02:00:00,2017-09-24T04:00:00,long,290.82,283.9093,-424.8803
2017-09-25T15:00:00,2017-09-26T05:00:00,long,295.01,288.554,-384.4969
2017-09-27T15:00:00,2017-09-28T10:00:00,long,298.82,303.6679,199.1424
2017-09-30T11:00:00,2017-09-30T13:00:00,long,305.85,300.4117,-317.2642
2017-10-06T06:00:00,2017-10-07T11:00:00,long,298.19,304.8712,289.9898
2017-10-07T23:00:00,2017-10-08T02:00:00,long,314.89,311.2933,-219.8086
2017-10-13T06:00:00,2017-10-13T07:00:00,long,315.06,322.6153,314.997
