entry_time,exit_time,side,entry_price,exit_price,pnl
2017-09-13T15:00:00,2017-09-15T16:00:00,short,3848.34,3280.0904,1448.8245
2017-10-09T00:00:00,2017-10-11T02:00:00,long,4584.0,4765.2812,417.7355
2017-10-12T12:00:00,2017-10-13T07:00:00,long,5018.23,5666.9148,1496.0381
2017-10-19T14:00:00,2017-10-22T08:00:00,long,5695.0,5858.5842,343.166
2017-10-25T02:00:00,2017-10-25T12:00:00,short,5464.99,5603.9178,-390.0598
2017-10-30T01:00:00,2017-10-30T18:00:00,long,6193.22,6072.6277,-298.8372
2017-11-02T05:00:00,2017-11-02T15:00:00,long,6810.4,6909.0877,149.2904
2017-11-03T13:00:00,2017-11-03T17:00:00,long,7410.0,7217.3826,-381.2295
2017-11-08T11:00:00,2017-11-08T23:00:00,long,7427.77,7513.3461,108.7208
2017-11-11T02:00:00,2017-11-11T03:00:00,short,6461.0,6659.9048,-436.2132
2017-11-11T18:00:00,2017-11-12T12:00:00,short,6376.65,6057.4405,587.1714
2017-11-26T10:00:00,2017-11-27T14:00:00,long,8852.47,9311.7919,636.6873
2017-11-28T10:00:00,2017-11-29T11:00:00,long,9776.0,10294.4534,683.4318
2017-11-29T16:00:00,2017-11-29T20:00:00,long,10843.0,10658.5794,-287.0468
2017-12-01T19:00:00,2017-12-07T22:00:00,long,10662.7,14636.7535,5196.7339
2017-12-08T04:00:00,2017-12-08T08:00:00,long,16450.0,15648.7134,-995.2799
2017-12-11T07:00:00,2017-12-19T17:00:00,long,15444.66,17759.33,2680.522
2017-12-22T07:00:00,2017-12-22T15:00:00,short,14596.69,14588.7688,-51.4877
2017-12-22T19:00:00,2017-12-22T23:00:00,short,12367.08,13493.3099,-1969.6197
2018-01-10T14:00:00,2018-01-10T16:00:00,short,13474.09,13993.0681,-787.361
2018-01-11T09:00:00,2018-01-11T18:00:00,short,13269.73,13867.7323,-873.6664
2018-01-16T13:00:00,2018-01-16T17:00:00,short,12447.39,12458.5178,-67.3016
2018-01-17T02:00:00,2018-01-18T02:00:00,short,11052.61,11203.7543,-287.3331
2018-01-31T06:00:00,2018-01-31T11:00:00,short,9676.32,10047.1674,-700.3153
2018-02-01T19:00:00,2018-02-02T18:00:00,short,9151.8,8525.3219,1063.4992
2018-02-05T01:00:00,2018-02-06T14:00:00,short,8165.04,6898.2564,2634.0511
2018-02-20T06:00:00,2018-02-21T04:00:00,long,11405.51,11106.9623,-580.4022
2018-02-23T06:00:00,2018-02-23T10:00:00,short,9680.92,10004.6385,-705.6864
2018-03-07T12:00:00,2018-03-08T03:00:00,short,10516.92,9995.7566,868.8879
2018-03-08T22:00:00,2018-03-10T04:00:00,short,9433.96,9304.5911,209.338
2018-03-15T07:00:00,2018-03-15T12:00:00,short,7800.04,8104.1293,-828.784
2018-03-27T09:00:00,2018-03-27T10:00:00,short,7773.94,7968.486,-529.9258
2018-03-30T01:00:00,2018-03-30T02:00:00,short,7100.0,7275.906,-510.4609
2018-03-30T05:00:00,2018-03-30T09:00:00,short,6822.19,7060.0924,-676.684
2018-04-13T12:00:00,2018-04-14T00:00:00,long,8094.98,7893.7172,-477.6617
2018-04-15T16:00:00,2018-04-16T06:00:00,long,8329.01,8187.6814,-332.82
2018-04-21T03:00:00,2018-04-21T13:00:00,long,8840.5,8705.9774,-297.5764
2018-04-24T05:00:00,2018-04-25T07:00:00,long,9174.76,9434.4454,405.6638
2018-04-29T06:00:00,2018-04-29T12:00:00,long,9466.82,9308.1547,-324.9174
2018-05-08T17:00:00,2018-05-08T23:00:00,short,9125.95,9254.9105,-276.8238
2018-05-11T05:00:00,2018-05-12T13:00:00,short,8932.37,8539.2913,651.4967
2018-05-16T06:00:00,2018-05-17T07:00:00,short,8334.99,8498.9261,-374.8282
2018-05-23T20:00:00,2018-05-24T23:00:00,short,7714.9,7615.1321,160.6024
2018-05-27T05:00:00,2018-05-27T14:00:00,short,7267.0,7382.813,-309.0515
2018-06-07T05:00:00,2018-06-07T18:00:00,long,7726.9,7640.5828,-226.3333
2018-06-10T05:00:00,2018-06-10T05:00:00,short,7270.16,7352.7844,-226.7187
2018-06-10T12:00:00,2018-06-12T03:00:00,short,7205.68,6870.8841,676.3829
2018-06-13T00:00:00,2018-06-13T09:00:00,short,6511.81,6615.6268,-307.5236
2018-06-13T14:00:00,2018-06-14T06:00:00,short,6402.13,6382.3683,1.4532
2018-06-22T13:00:00,2018-06-23T04:00:00,short,6406.67,6161.9021,560.9465
2018-06-24T09:00:00,2018-06-24T20:00:00,short,5920.57,6019.8652,-326.0204
2018-06-27T04:00:00,2018-06-28T03:00:00,short,6073.99,6167.2963,-296.7776
2018-07-02T18:00:00,2018-07-04T02:00:00,long,6597.37,6504.7253,-269.7226
2018-07-04T18:00:00,2018-07-05T02:00:00,long,6716.99,6627.2494,-254.5179
2018-07-08T04:00:00,2018-07-09T13:00:00,long,6755.46,6674.1809,-230.0327
2018-07-16T14:00:00,2018-07-17T23:00:00,long,6516.03,7302.03,1772.4305
2018-07-23T07:00:00,2018-07-25T14:00:00,long,7637.22,8210.6054,1213.6242
2018-08-01T06:00:00,2018-08-02T05:00:00,short,7550.0,7684.1578,-375.9416
2018-08-03T06:00:00,2018-08-03T18:00:00,short,7342.94,7445.9731,-301.8612
2018-08-04T19:00:00,2018-08-07T17:00:00,short,7057.95,7143.4879,-263.3916
2018-08-08T02:00:00,2018-08-09T17:00:00,short,6752.14,6421.4186,789.1985
2018-08-11T01:00:00,2018-08-11T21:00:00,short,6189.01,6323.3664,-443.5071
2018-08-14T06:00:00,2018-08-14T16:00:00,short,6032.28,6149.7923,-393.5204
2018-08-22T06:00:00,2018-08-22T06:00:00,long,6804.45,6692.8381,-331.1468
2018-09-01T20:00:00,2018-09-05T13:00:00,long,7165.97,7217.995,71.2047
2018-09-06T05:00:00,2018-09-13T05:00:00,short,6412.43,6407.55,-37.6599
2018-09-18T01:00:00,2018-09-18T11:00:00,short,6214.03,6287.076,-248.0482
2018-09-19T23:00:00,2018-09-19T23:00:00,short,6153.08,6226.2112,-246.5426
2018-09-21T03:00:00,2018-09-24T10:00:00,long,6526.48,6622.2609,189.9145
2018-09-25T12:00:00,2018-09-25T16:00:00,short,6375.01,6439.3105,-215.9956
2018-09-25T23:00:00,2018-09-26T03:00:00,short,6346.53,6411.8732,-216.5804
2018-10-11T06:00:00,2018-10-14T08:00:00,short,6221.37,6303.2799,-259.8412
2018-10-29T16:00:00,2018-10-29T17:00:00,short,6333.05,6288.1907,64.6603
2018-11-07T06:00:00,2018-11-08T07:00:00,long,6504.5,6466.4113,-140.3007
2018-11-11T21:00:00,2018-11-12T04:00:00,short,6309.82,6339.9607,-122.3508
2018-11-14T16:00:00,2018-11-14T22:00:00,short,6189.03,5656.4932,1297.1844
2018-11-15T20:00:00,2018-11-15T20:00:00,short,5200.0,5350.8782,-541.57
2018-11-19T11:00:00,2018-11-20T07:00:00,short,5429.99,4879.2612,1611.8681
2018-11-20T10:00:00,2018-11-20T19:00:00,short,4656.0,4647.2304,-20.0054
2018-11-25T04:00:00,2018-11-25T04:00:00,short,3681.04,3805.7824,-662.8065
2018-12-07T05:00:00,2018-12-08T00:00:00,short,3437.22,3491.9877,-327.6
2018-12-19T05:00:00,2018-12-20T01:00:00,long,3667.16,3718.1091,184.3219
2018-12-20T14:00:00,2018-12-22T00:00:00,long,3969.5,3882.6604,-425.7589
2018-12-24T06:00:00,2018-12-24T15:00:00,long,4182.67,4091.0624,-415.5982
2019-01-06T23:00:00,2019-01-07T14:00:00,long,4061.47,4000.9308,-291.4277
2019-01-10T22:00:00,2019-01-12T02:00:00,short,3621.59,3696.7456,-380.6406
2019-01-28T11:00:00,2019-01-28T12:00:00,short,3416.5,3446.7812,-185.5579
2019-02-06T07:00:00,2019-02-08T14:00:00,short,3378.83,3394.505,-118.044
2019-02-11T05:00:00,2019-02-11T05:00:00,long,3651.32,3624.7931,-157.0963
2019-02-18T18:00:00,2019-02-20T02:00:00,long,3733.99,3880.2435,547.5354
2019-02-23T23:00:00,2019-02-24T18:00:00,long,4093.72,4071.5556,-132.0667
2019-03-16T08:00:00,2019-03-16T16:00:00,long,3951.37,3965.4643,8.7487
2019-03-21T03:00:00,2019-03-21T17:00:00,long,4031.9,4006.5815,-144.4978
2019-03-25T23:00:00,2019-03-26T03:00:00,short,3892.17,3912.2212,-126.0052
2019-03-29T14:00:00,2019-03-30T08:00:00,long,4068.89,4060.9037,-75.9695
2019-04-02T07:00:00,2019-04-02T09:00:00,long,4167.61,4727.2694,1997.8857
2019-04-03T21:00:00,2019-04-04T02:00:00,long,5133.79,5069.7689,-266.3719
2019-04-06T21:00:00,2019-04-06T21:00:00,long,5191.74,5120.4566,-283.6028
2019-04-08T05:00:00,2019-04-08T15:00:00,long,5260.65,5173.1483,-327.2407
2019-04-22T23:00:00,2019-04-22T23:00:00,long,5410.78,5356.9836,-211.5158
2019-04-23T09:00:00,2019-04-24T11:00:00,long,5515.84,5444.9948,-255.5709
2019-05-03T11:00:00,2019-05-03T21:00:00,long,5518.64,5657.334,351.1779
2019-05-07T07:00:00,2019-05-07T18:00:00,long,5918.86,5835.5269,-277.122
2019-05-09T05:00:00,2019-05-11T11:00:00,long,6012.88,6736.886,1871.9787
2019-05-12T02:00:00,2019-05-12T04:00:00,long,7071.96,7024.2073,-173.808
2019-05-12T12:00:00,2019-05-12T12:00:00,long,7526.34,7309.4385,-561.3758
2019-05-13T20:00:00,2019-05-14T03:00:00,long,7828.6,7593.5197,-564.1939
2019-05-14T12:00:00,2019-05-14T12:00:00,long,8324.83,8056.3272,-582.3315
2019-05-16T05:00:00,2019-05-16T08:00:00,long,8341.5,8111.4101,-487.4225
2019-05-27T05:00:00,2019-05-27T06:00:00,long,8891.45,8713.4451,-355.6853
2019-06-04T05:00:00,2019-06-07T11:00:00,short,7947.53,7934.0,-19.5754
2019-06-12T20:00:00,2019-06-13T07:00:00,long,8191.08,8061.5067,-283.7347
2019-06-16T06:00:00,2019-06-16T12:00:00,long,8961.01,9076.5914,146.3311
2019-06-17T19:00:00,2019-06-17T19:00:00,long,9398.23,9228.8234,-314.11
2019-06-21T06:00:00,2019-06-22T08:00:00,long,9736.73,10552.4463,1181.1175
2019-06-22T14:00:00,2019-06-22T18:00:00,long,10935.79,10686.6353,-407.5027
2019-06-25T10:00:00,2019-06-25T16:00:00,long,11290.43,11093.4001,-314.9171
2019-06-26T02:00:00,2019-06-26T13:00:00,long,11553.77,12391.2221,1047.787
2019-06-26T21:00:00,2019-06-26T21:00:00,long,13564.05,13151.562,-538.8804
2019-06-26T23:00:00,2019-06-27T00:00:00,long,13805.0,13349.3251,-561.394
2019-07-10T06:00:00,2019-07-10T18:00:00,long,12918.13,12602.8947,-411.8822
2019-07-12T01:00:00,2019-07-12T11:00:00,short,11138.4,11541.873,-574.9906
2019-07-14T20:00:00,2019-07-15T22:00:00,short,10425.7,10727.015,-449.2688
2019-07-16T22:00:00,2019-07-18T18:00:00,short,9672.42,10041.4534,-561.0696
2019-08-03T07:00:00,2019-08-04T08:00:00,long,10782.71,10626.3,-228.2291
2019-08-04T20:00:00,2019-08-05T01:00:00,long,10970.83,10826.6251,-206.8064
2019-08-05T05:00:00,2019-08-06T04:00:00,long,11209.96,11506.1061,295.0052
2019-08-06T11:00:00,2019-08-06T14:00:00,long,12139.97,11910.2326,-282.7532
2019-08-14T21:00:00,2019-08-15T12:00:00,short,10310.41,9968.0479,382.1518
2019-08-21T17:00:00,2019-08-22T00:00:00,short,9954.99,10158.0348,-304.8554
2019-08-22T06:00:00,2019-08-22T09:00:00,short,9808.72,10015.305,-306.1782
2019-08-28T23:00:00,2019-09-02T02:00:00,short,9692.64,9705.44,-53.6086
2019-09-03T01:00:00,2019-09-04T05:00:00,long,10415.14,10436.7579,-11.4531
2019-09-06T16:00:00,2019-09-06T21:00:00,long,10875.0,10746.6738,-182.3701
2019-09-19T08:00:00,2019-09-19T20:00:00,short,9815.0,9937.3519,-188.2079
2019-09-22T06:00:00,2019-09-22T11:00:00,short,9893.71,9994.753,-158.2935
2019-09-24T19:00:00,2019-09-25T00:00:00,short,9500.0,8316.3186,1438.048
2019-09-26T20:00:00,2019-09-26T22:00:00,short,7919.39,8139.2023,-407.9528
2019-10-06T23:00:00,2019-10-07T14:00:00,short,7839.0,7956.5007,-231.2379
2019-10-11T09:00:00,2019-10-11T09:00:00,long,8726.81,8625.0838,-184.5564
2019-10-15T21:00:00,2019-10-19T16:00:00,short,8184.63,8073.4508,131.7305
2019-10-23T17:00:00,2019-10-25T14:00:00,short,7536.77,7623.8661,-182.9575
2019-10-26T05:00:00,2019-10-26T06:00:00,long,9217.64,9634.9456,522.1202
2019-11-08T19:00:00,2019-11-10T21:00:00,short,8782.38,8904.2945,-217.9294
2019-11-11T15:00:00,2019-11-11T23:00:00,short,8641.64,8757.2948,-207.9203
2019-11-15T20:00:00,2019-11-17T14:00:00,short,8453.93,8557.35,-190.1498
2019-11-19T00:00:00,2019-11-22T13:00:00,short,8181.17,7684.0338,710.3278
2019-11-22T16:00:00,2019-11-23T00:00:00,short,7070.62,7255.5502,-379.16
2019-11-24T20:00:00,2019-11-25T15:00:00,short,7071.33,6874.1022,314.367
2019-12-17T00:00:00,2019-12-18T19:00:00,short,6910.19,6651.9568,444.8808
2019-12-23T05:00:00,2019-12-23T22:00:00,long,7521.88,7460.8179,-148.4584
