entry_time,exit_time,side,entry_price,exit_price,pnl
2017-09-13T11:00:00,2017-09-13T22:00:00,short,267.82,278.0724,-413.382
2017-09-14T12:00:00,2017-09-15T12:00:00,short,248.73,229.2177,724.4155
2017-09-18T13:00:00,2017-09-18T15:00:00,long,297.92,286.9183,-411.1324
2017-10-13T06:00:00,2017-10-13T07:00:00,long,315.06,322.6153,207.3487
2017-10-13T13:00:00,2017-10-15T09:00:00,long,342.5,331.5222,-353.792
2017-10-16T06:00:00,2017-10-16T07:00:00,long,349.89,340.3302,-295.3483
2017-10-18T03:00:00,2017-10-18T05:00:00,short,306.27,313.8218,-261.9368
2017-10-18T07:00:00,2017-10-18T16:00:00,short,302.28,308.5962,-220.0322
2017-11-01T23:00:00,2017-11-02T02:00:00,short,292.1,287.4869,115.0446
2017-11-08T21:00:00,2017-11-08T21:00:00,long,316.7,309.9423,-220.9685
2017-11-09T15:00:00,2017-11-09T21:00:00,long,326.3,319.7377,-204.7341
2017-11-23T09:00:00,2017-11-23T23:00:00,long,387.0,408.3482,451.3029
2017-11-24T13:00:00,2017-11-26T06:00:00,long,432.29,447.8039,299.3401
2017-11-27T05:00:00,2017-11-27T09:00:00,long,485.0,473.6926,-247.4494
2017-11-29T13:00:00,2017-11-29T15:00:00,long,509.99,495.3865,-289.6564
2017-11-30T14:00:00,2017-11-30T18:00:00,short,392.28,419.6069,-646.0924
2017-12-09T06:00:00,2017-12-09T17:00:00,long,469.15,451.609,-332.0572
2017-12-12T00:00:00,2017-12-13T02:00:00,long,515.24,604.5229,1343.3383
2017-12-13T11:00:00,2017-12-15T01:00:00,long,661.0,649.0043,-195.2437
2017-12-19T03:00:00,2017-12-19T10:00:00,long,813.48,785.0806,-342.5813
2017-12-22T14:00:00,2017-12-22T15:00:00,short,556.0,616.9361,-981.746
2017-12-24T12:00:00,2017-12-24T14:00:00,short,583.38,627.7315,-611.3206
2018-01-02T03:00:00,2018-01-02T03:00:00,long,857.85,828.3077,-265.9378
2018-01-03T19:00:00,2018-01-04T20:00:00,long,921.69,921.0983,-24.9314
2018-01-05T05:00:00,2018-01-05T14:00:00,long,1000.4,967.4534,-244.817
2018-01-08T01:00:00,2018-01-08T02:00:00,long,1174.6,1144.638,-187.2651
2018-01-08T04:00:00,2018-01-08T08:00:00,long,1196.1,1162.2182,-199.9189
2018-01-09T09:00:00,2018-01-09T10:00:00,long,1233.0,1176.6262,-301.1792
