entry_time,exit_time,side,entry_price,exit_price,pnl
2022-01-11T11:00:00,2022-01-11T19:00:00,long,42121.36,41414.1642,-197.643
2022-01-11T21:00:00,2022-01-11T21:00:00,short,41750.69,42420.6632,-186.9414
2022-01-11T22:00:00,2022-01-12T18:00:00,long,42734.07,43740.6021,197.2896
2022-01-14T07:00:00,2022-01-14T16:00:00,short,42609.94,41852.2791,145.3064
2022-01-15T06:00:00,2022-01-15T17:00:00,long,43159.26,42629.0381,-152.0271
2022-01-17T07:00:00,2022-01-17T10:00:00,short,42909.35,42382.3099,91.2061
2022-01-20T20:00:00,2022-01-21T02:00:00,long,43001.12,42531.1982,-137.6871
2022-01-21T05:00:00,2022-01-21T06:00:00,short,40654.72,39745.5525,189.3021
2022-01-25T07:00:00,2022-01-26T09:00:00,long,36130.0,37780.7922,424.0361
2022-01-27T11:00:00,2022-01-27T18:00:00,short,36024.07,36860.7818,-272.4044
2022-01-28T09:00:00,2022-01-28T13:00:00,long,37375.11,36583.1213,-244.0113
2022-01-28T18:00:00,2022-01-28T19:00:00,short,36310.32,37003.9888,-218.1479
2022-01-28T21:00:00,2022-01-29T19:00:00,long,37223.99,38213.8264,226.9956
2022-01-31T07:00:00,2022-01-31T15:00:00,short,36839.44,37355.0825,-167.8874
2022-02-01T00:00:00,2022-02-01T21:00:00,long,38495.66,39212.6182,151.2448
2022-02-02T22:00:00,2022-02-03T02:00:00,short,37366.79,36669.0438,154.6324
2022-02-04T15:00:00,2022-02-04T18:00:00,long,38034.37,37560.2813,-154.5109
2022-02-11T08:00:00,2022-02-12T11:00:00,short,43158.33,41859.4062,267.3134
2022-02-15T07:00:00,2022-02-15T15:00:00,long,43491.85,44266.3833,149.5356
2022-02-17T17:00:00,2022-02-17T18:00:00,short,43191.99,42501.2354,133.6237
2022-02-23T16:00:00,2022-02-23T22:00:00,long,38877.69,38251.4213,-198.4643
2022-02-25T07:00:00,2022-02-26T05:00:00,long,38569.97,40030.6787,355.138
2022-02-28T03:00:00,2022-02-28T06:00:00,short,37408.05,38250.5427,-269.7611
2022-02-28T21:00:00,2022-03-01T03:00:00,long,40860.33,42131.7382,288.7245
2022-03-04T00:00:00,2022-03-04T06:00:00,short,42264.59,41252.8287,221.8041
2022-03-09T07:00:00,2022-03-09T08:00:00,long,39243.6,40164.5125,220.5907
2022-03-10T17:00:00,2022-03-10T18:00:00,short,39090.41,39805.9002,-235.0083
2022-03-15T04:00:00,2022-03-15T05:00:00,long,39688.55,39126.3588,-184.849
2022-03-15T12:00:00,2022-03-15T18:00:00,short,38439.44,39004.9568,-187.9338
2022-03-15T21:00:00,2022-03-16T06:00:00,long,39193.48,39928.932,163.8086
2022-03-21T01:00:00,2022-03-21T06:00:00,short,41289.32,40727.9663,112.246
2022-03-22T09:00:00,2022-03-22T10:00:00,long,43046.09,42442.5358,-181.6548
2022-03-31T19:00:00,2022-03-31T20:00:00,short,46709.98,46004.748,127.3147
2022-04-02T08:00:00,2022-04-02T22:00:00,long,46613.38,45966.4364,-179.2216
2022-04-03T04:00:00,2022-04-03T08:00:00,short,45820.28,46359.3832,-154.5139
2022-04-03T18:00:00,2022-04-04T02:00:00,long,46465.84,47071.7632,103.1868
2022-04-04T08:00:00,2022-04-04T21:00:00,short,46036.73,45329.4958,128.8163
2022-04-05T06:00:00,2022-04-05T18:00:00,long,46666.08,46125.645,-153.3459
2022-04-05T23:00:00,2022-04-06T04:00:00,short,45914.13,45285.4349,111.1632
2022-04-14T01:00:00,2022-04-14T17:00:00,long,41268.53,40667.183,-184.0484
2022-04-14T22:00:00,2022-04-15T18:00:00,short,40000.0,40489.0977,-157.0806
2022-04-17T20:00:00,2022-04-17T20:00:00,long,40464.8,40211.3676,-93.8887
2022-04-17T21:00:00,2022-04-17T22:00:00,short,40224.55,39863.6309,60.1734
2022-04-19T03:00:00,2022-04-19T18:00:00,long,40944.99,41658.0644,145.5107
2022-04-22T04:00:00,2022-04-22T19:00:00,short,40497.0,39711.0374,168.61
2022-04-26T03:00:00,2022-04-26T18:00:00,long,40380.62,39749.4291,-194.0128
2022-04-26T22:00:00,2022-04-27T11:00:00,short,38388.77,39012.322,-197.1547
2022-04-28T10:00:00,2022-04-28T19:00:00,long,39308.48,39994.8059,144.8487
2022-04-29T16:00:00,2022-04-29T17:00:00,short,38735.84,39231.2724,-160.9413
2022-05-02T10:00:00,2022-05-02T15:00:00,long,39022.07,38567.5458,-146.5861
2022-05-03T15:00:00,2022-05-03T22:00:00,short,38423.42,37952.601,91.5378
2022-05-04T15:00:00,2022-05-04T22:00:00,long,38984.77,39510.4984,104.2782
2022-05-05T21:00:00,2022-05-05T22:00:00,short,37024.81,36226.2344,187.2845
2022-05-16T20:00:00,2022-05-17T07:00:00,short,29616.29,30258.7415,-253.575
2022-05-17T08:00:00,2022-05-17T22:00:00,long,30351.57,29751.1975,-227.5599
2022-05-18T11:00:00,2022-05-18T18:00:00,short,29718.26,29040.2838,194.0043
2022-05-19T23:00:00,2022-05-20T18:00:00,long,30179.8,29655.5749,-202.8026
2022-05-20T22:00:00,2022-05-21T11:00:00,short,28926.1,29456.2932,-208.5669
2022-05-24T03:00:00,2022-05-25T03:00:00,short,29188.8,29632.8761,-174.294
2022-05-25T09:00:00,2022-05-25T10:00:00,long,30048.4,29669.773,-146.2028
2022-05-26T13:00:00,2022-05-26T17:00:00,short,28974.16,28411.0924,152.0616
2022-06-01T23:00:00,2022-06-02T00:00:00,short,30131.81,29481.8604,174.6569
2022-06-06T01:00:00,2022-06-06T04:00:00,long,29927.58,30250.0923,74.2154
2022-06-07T10:00:00,2022-06-07T18:00:00,short,29466.03,29955.8258,-189.3556
2022-06-08T03:00:00,2022-06-08T07:00:00,long,31251.48,30646.5303,-210.9675
2022-06-09T00:00:00,2022-06-09T13:00:00,short,30117.01,30663.6682,-195.6333
2022-06-20T03:00:00,2022-06-20T05:00:00,long,20697.42,19960.9871,-348.3574
2022-06-22T14:00:00,2022-06-23T00:00:00,short,20414.62,19800.1407,235.9838
2022-06-23T17:00:00,2022-06-23T21:00:00,long,20552.04,20258.83,-153.9903
2022-06-23T21:00:00,2022-06-23T23:00:00,short,20258.83,20648.2278,-195.2527
2022-06-24T00:00:00,2022-06-25T02:00:00,long,20894.01,21433.1889,195.3421
2022-06-27T18:00:00,2022-06-28T12:00:00,short,20717.59,21001.267,-146.6659
2022-07-04T16:00:00,2022-07-04T17:00:00,long,19797.95,19562.8032,-128.2203
