entry_time,exit_time,side,entry_price,exit_price,pnl
2024-01-01T00:00:00,2024-01-02T05:12:00,long,29050.02,29077.76,27.74
2024-01-03T10:24:00,2024-01-04T15:36:00,long,30353.4,30543.8,190.4
2024-01-05T20:48:00,2024-01-07T02:00:00,long,30180.99,30317.94,136.95
2024-01-08T07:12:00,2024-01-09T12:24:00,long,30010.71,30078.31,67.6
2024-01-10T17:36:00,2024-01-11T22:48:00,long,30122.49,30106.61,-15.88
2024-01-13T04:00:00,2024-01-14T09:12:00,short,29440.88,29694.74,-253.86
2024-01-15T14:24:00,2024-01-16T19:36:00,short,30618.86,30207.06,411.8
2024-01-18T00:48:00,2024-01-19T06:00:00,short,29680.5,29615.72,64.78
2024-01-20T11:12:00,2024-01-21T16:24:00,long,29430.63,29488.49,57.86
2024-01-22T21:36:00,2024-01-24T02:48:00,short,29193.43,29235.97,-42.54
2024-01-25T08:00:00,2024-01-26T13:12:00,short,30207.45,30043.8,163.65
2024-01-27T18:24:00,2024-01-28T23:36:00,long,30946.23,30693.33,-252.9
2024-01-30T04:48:00,2024-01-31T10:00:00,short,29157.6,29183.04,-25.44
2024-02-01T15:12:00,2024-02-02T20:24:00,short,30154.7,29833.49,321.21
2024-02-04T01:36:00,2024-02-05T06:48:00,long,29091.65,29164.53,72.88
2024-02-06T12:00:00,2024-02-07T17:12:00,long,30710.64,30924.36,213.73
2024-02-08T22:24:00,2024-02-10T03:36:00,long,29760.25,29447.28,-312.97
2024-02-11T08:48:00,2024-02-12T14:00:00,long,29740.36,29899.76,159.4
2024-02-13T19:12:00,2024-02-15T00:24:00,long,30340.35,30299.9,-40.45
2024-02-16T05:36:00,2024-02-17T10:48:00,long,30218.26,29978.67,-239.6
2024-02-18T16:00:00,2024-02-19T21:12:00,long,30068.28,30125.54,57.26
2024-02-21T02:24:00,2024-02-22T07:36:00,short,30979.05,30706.39,272.66
2024-02-23T12:48:00,2024-02-24T18:00:00,long,30369.23,30609.81,240.58
2024-02-25T23:12:00,2024-02-27T04:24:00,long,30643.61,30404.87,-238.74
2024-02-28T09:36:00,2024-02-29T14:48:00,short,29802.33,29347.89,454.44
2024-03-01T20:00:00,2024-03-03T01:12:00,short,29425.25,29196.64,228.61
2024-03-04T06:24:00,2024-03-05T11:36:00,short,29791.26,29550.81,240.45
2024-03-06T16:48:00,2024-03-07T22:00:00,short,29279.26,29342.63,-63.37
2024-03-09T03:12:00,2024-03-10T08:24:00,short,30494.03,30682.43,-188.4
2024-03-11T13:36:00,2024-03-12T18:48:00,short,29438.64,29273.58,165.06
2024-03-14T00:00:00,2024-03-15T05:12:00,long,30019.05,30121.33,102.27
2024-03-16T10:24:00,2024-03-17T15:36:00,long,29305.68,29389.28,83.59
2024-03-18T20:48:00,2024-03-20T02:00:00,long,30584.16,30570.19,-13.97
2024-03-21T07:12:00,2024-03-22T12:24:00,short,30191.78,30107.73,84.04
2024-03-23T17:36:00,2024-03-24T22:48:00,short,30058.23,29617.61,440.62
2024-03-26T04:00:00,2024-03-27T09:12:00,long,30360.57,30338.79,-21.78
2024-03-28T14:24:00,2024-03-29T19:36:00,long,30363.42,30260.08,-103.34
2024-03-31T00:48:00,2024-04-01T06:00:00,short,29223.1,29209.38,13.73
2024-04-02T11:12:00,2024-04-03T16:24:00,short,29316.32,28946.32,369.99
2024-04-04T21:36:00,2024-04-06T02:48:00,short,30943.78,30887.25,56.53
2024-04-07T08:00:00,2024-04-08T13:12:00,long,30015.36,30285.26,269.9
2024-04-09T18:24:00,2024-04-10T23:36:00,long,29305.68,29529.39,223.71
2024-04-12T04:48:00,2024-04-13T10:00:00,long,30078.76,30172.75,93.99
2024-04-14T15:12:00,2024-04-15T20:24:00,long,30197.89,30005.97,-191.92
2024-04-17T01:36:00,2024-04-18T06:48:00,short,29038.95,28618.23,420.72
2024-04-19T12:00:00,2024-04-20T17:12:00,short,29478.9,29605.93,-127.02
2024-04-21T22:24:00,2024-04-23T03:36:00,long,30756.02,30886.0,129.98
2024-04-24T08:48:00,2024-04-25T14:00:00,short,30632.05,30609.74,22.31
2024-04-26T19:12:00,2024-04-28T00:24:00,long,29256.78,29057.15,-199.64
2024-04-29T05:36:00,2024-04-30T10:48:00,short,30055.35,29966.26,89.08
2024-05-01T16:00:00,2024-05-02T21:12:00,short,30928.73,30576.08,352.65
2024-05-04T02:24:00,2024-05-05T07:36:00,long,30425.9,30330.95,-94.95
2024-05-06T12:48:00,2024-05-07T18:00:00,short,30990.3,31066.65,-76.36
2024-05-08T23:12:00,2024-05-10T04:24:00,short,29242.01,29365.64,-123.63
2024-05-11T09:36:00,2024-05-12T14:48:00,long,29128.05,29429.96,301.91
