entry_time,exit_time,side,entry_price,exit_price,pnl
2022-01-12T19:00:00,2022-01-13T08:00:00,short,43960.92,43536.4085,66.7105
2022-01-20T20:00:00,2022-01-21T02:00:00,short,43001.12,42362.329,119.5674
2022-02-03T03:00:00,2022-02-03T20:00:00,long,36937.32,36895.417,-42.0972
2022-02-04T21:00:00,2022-02-04T21:00:00,short,39501.68,40473.6987,-280.425
2022-02-04T22:00:00,2022-02-05T04:00:00,short,40302.92,41366.0473,-290.1718
2022-02-15T08:00:00,2022-02-15T15:00:00,short,43611.81,44370.8995,-195.6046
2022-02-17T19:00:00,2022-02-17T23:00:00,long,42262.2,41474.5562,-202.6499
2022-02-18T00:00:00,2022-02-18T02:00:00,long,41296.29,40376.1556,-231.6575
2022-02-28T21:00:00,2022-03-01T03:00:00,short,40860.33,42131.7382,-305.5394
2022-03-04T21:00:00,2022-03-05T00:00:00,long,40669.16,39673.7515,-237.0221
2022-03-05T01:00:00,2022-03-05T03:00:00,long,39781.22,38766.125,-239.2524
2022-03-09T09:00:00,2022-03-09T17:00:00,short,41310.05,42443.5099,-248.7655
2022-03-10T11:00:00,2022-03-11T01:00:00,long,39249.88,39485.901,23.7731
2022-03-16T07:00:00,2022-03-16T07:00:00,short,40915.0,39219.1025,305.6603
2022-03-20T22:00:00,2022-03-21T00:00:00,long,41052.5,41648.469,94.7517
2022-03-31T21:00:00,2022-04-01T06:00:00,long,45668.0,44882.1827,-168.2576
2022-04-01T07:00:00,2022-04-01T15:00:00,long,44392.7,45268.296,136.376
2022-04-06T05:00:00,2022-04-06T17:00:00,long,45011.09,44210.4866,-172.421
2022-04-18T23:00:00,2022-04-19T16:00:00,short,40667.24,40732.6295,-37.4957
2022-04-19T18:00:00,2022-04-20T09:00:00,short,41467.39,41319.878,4.5548
2022-04-26T20:00:00,2022-04-27T00:00:00,long,38582.28,37808.7067,-186.4619
2022-05-04T13:00:00,2022-05-04T22:00:00,short,38993.59,39500.951,-126.8618
2022-05-05T00:00:00,2022-05-05T12:00:00,short,39834.48,39485.187,45.0209
2022-05-05T19:00:00,2022-05-05T19:00:00,long,38184.61,37607.7502,-141.6327
2022-05-05T20:00:00,2022-05-05T22:00:00,long,36892.21,36112.7316,-185.3071
2022-05-05T23:00:00,2022-05-06T17:00:00,long,36378.19,35521.5797,-198.9673
2022-05-16T04:00:00,2022-05-16T06:00:00,short,31275.27,30353.4675,193.7363
2022-05-22T14:00:00,2022-05-23T10:00:00,short,30124.5,30502.7578,-116.8081
2022-05-24T00:00:00,2022-05-24T15:00:00,long,29043.83,29363.7585,59.0535
2022-05-30T06:00:00,2022-05-30T06:00:00,short,29734.59,30081.3612,-109.2435
2022-05-30T07:00:00,2022-05-30T10:00:00,short,30209.92,30606.4975,-118.3995
2022-05-30T11:00:00,2022-05-31T00:00:00,short,30694.52,31125.8523,-123.171
2022-06-01T21:00:00,2022-06-02T00:00:00,long,30382.77,29764.1971,-165.4243
2022-06-02T01:00:00,2022-06-02T13:00:00,long,29607.36,29983.183,67.0016
2022-06-03T17:00:00,2022-06-04T08:00:00,long,29489.2,29638.8305,14.4499
2022-06-06T06:00:00,2022-06-06T08:00:00,short,30832.01,31268.7383,-120.4227
2022-06-06T09:00:00,2022-06-06T18:00:00,short,31195.19,31658.4766,-123.0876
2022-06-07T05:00:00,2022-06-07T05:00:00,long,30181.44,29568.228,-157.5021
2022-06-07T06:00:00,2022-06-07T19:00:00,long,29547.79,29974.1265,75.3552
2022-06-08T01:00:00,2022-06-08T07:00:00,short,31378.85,30313.712,207.0913
2022-07-04T16:00:00,2022-07-05T02:00:00,short,19797.95,20111.479,-129.9176
2022-07-10T19:00:00,2022-07-11T01:00:00,long,20858.17,21135.252,69.3708
2022-07-11T06:00:00,2022-07-11T17:00:00,long,20544.86,20634.968,9.418
2022-07-25T08:00:00,2022-07-26T00:00:00,long,21869.08,21963.8225,9.0646
2022-07-27T23:00:00,2022-07-27T23:00:00,short,22558.75,23033.8535,-164.9453
2022-07-28T00:00:00,2022-07-28T06:00:00,short,22797.55,23318.9504,-173.0842
2022-08-09T16:00:00,2022-08-09T18:00:00,long,23282.12,22951.4887,-111.8122
2022-08-10T17:00:00,2022-08-11T05:00:00,short,24032.0,24447.9509,-130.0685
